,2021,2020,2019,2018
intangibleAssets,972000000.0,781000000.0,851000000.0,1084000000.0
capitalSurplus,1432000000.0,1362000000.0,1304000000.0,1253000000.0
totalLiab,12451000000.0,12430000000.0,12038000000.0,11612000000.0
totalStockholderEquity,3625000000.0,3181000000.0,3026000000.0,3254000000.0
minorityInterest,1000000.0,1000000.0,4000000.0,4000000.0
otherCurrentLiab,899000000.0,688000000.0,694000000.0,656000000.0
totalAssets,16077000000.0,15612000000.0,15068000000.0,14870000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,211000000.0,149000000.0,497000000.0,157000000.0
retainedEarnings,24325000000.0,23114000000.0,22403000000.0,21217000000.0
otherLiab,1939000000.0,1936000000.0,2002000000.0,2041000000.0
goodWill,4965000000.0,4690000000.0,4492000000.0,4633000000.0
treasuryStock,-22138000000.0,-21301000000.0,-20687000000.0,-19222000000.0
otherAssets,1735000000.0,1625000000.0,1537000000.0,1533000000.0
cash,1527000000.0,2564000000.0,1981000000.0,1504000000.0
totalCurrentLiabilities,3470000000.0,2589000000.0,2154000000.0,3542000000.0
deferredLongTermAssetCharges,552000000.0,533000000.0,516000000.0,554000000.0
shortLongTermDebt,568000000.0,350000000.0,4000000.0,1350000000.0
otherStockholderEquity,-1502000000.0,-1642000000.0,-1705000000.0,-1677000000.0
propertyPlantEquipment,2031000000.0,1993000000.0,1935000000.0,1791000000.0
totalCurrentAssets,6374000000.0,6523000000.0,6253000000.0,5778000000.0
netTangibleAssets,-2312000000.0,-2290000000.0,-2317000000.0,-2463000000.0
netReceivables,2942000000.0,2621000000.0,2611000000.0,2799000000.0
longTermDebt,6909000000.0,7772000000.0,7754000000.0,6029000000.0
inventory,1694000000.0,1189000000.0,1164000000.0,1318000000.0
accountsPayable,585000000.0,534000000.0,472000000.0,524000000.0
longTermInvestments,,,,51000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3326000000.0,2704000000.0,3288000000.0,3394000000.0
netIncome,2694000000.0,2109000000.0,2521000000.0,2563000000.0
sellingGeneralAdministrative,2333000000.0,2150000000.0,2337000000.0,2371000000.0
grossProfit,5966000000.0,5199000000.0,5922000000.0,6164000000.0
ebit,3500000000.0,2895000000.0,3426000000.0,3604000000.0
operatingIncome,3500000000.0,2895000000.0,3426000000.0,3604000000.0
otherOperatingExpenses,,,,
interestExpense,-202000000.0,-206000000.0,-221000000.0,-257000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,632000000.0,595000000.0,767000000.0,831000000.0
totalRevenue,14455000000.0,12574000000.0,14109000000.0,14768000000.0
totalOperatingExpenses,10955000000.0,9679000000.0,10683000000.0,11164000000.0
costOfRevenue,8489000000.0,7375000000.0,8187000000.0,8604000000.0
totalOtherIncomeExpenseNet,-174000000.0,-191000000.0,-138000000.0,-210000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,2694000000.0,2109000000.0,2521000000.0,2563000000.0
netIncomeApplicableToCommonShares,2694000000.0,2109000000.0,2521000000.0,2563000000.0
investments,38000000.0,14000000.0,20000000.0,16000000.0
changeToLiabilities,37000000.0,19000000.0,-16000000.0,-46000000.0
totalCashflowsFromInvestingActivities,-984000000.0,-214000000.0,-183000000.0,-325000000.0
netBorrowings,-141000000.0,-4000000.0,422000000.0,-851000000.0
totalCashFromFinancingActivities,-2564000000.0,-2049000000.0,-2326000000.0,-3964000000.0
changeToOperatingActivities,166000000.0,58000000.0,-84000000.0,-33000000.0
issuanceOfStock,50000000.0,66000000.0,85000000.0,22000000.0
changeInCash,-1037000000.0,583000000.0,477000000.0,-1590000000.0
repurchaseOfStock,-1000000000.0,-706000000.0,-1500000000.0,-2000000000.0
effectOfExchangeRate,-46000000.0,39000000.0,-9000000.0,-112000000.0
totalCashFromOperatingActivities,2557000000.0,2807000000.0,2995000000.0,2811000000.0
depreciation,410000000.0,427000000.0,426000000.0,461000000.0
otherCashflowsFromInvestingActivities,-3000000.0,-3000000.0,-18000000.0,-4000000.0
dividendsPaid,-1463000000.0,-1379000000.0,-1321000000.0,-1124000000.0
changeToInventory,-450000000.0,43000000.0,98000000.0,-108000000.0
changeToAccountReceivables,-240000000.0,95000000.0,40000000.0,-60000000.0
otherCashflowsFromFinancingActivities,-10000000.0,-26000000.0,-12000000.0,-11000000.0
changeToNetincome,-109000000.0,22000000.0,17000000.0,75000000.0
capitalExpenditures,-296000000.0,-236000000.0,-326000000.0,-364000000.0
annualDilutedAverageShares,316400000.0,318300000.0,325600000.0,337100000.0
