,2022,2021,2020,2019,2018
intangibleAssets,4641000000,5549000000.0,5356000000.0,5632000000.0,6187000000.0
capitalSurplus,17224000000,17116000000.0,16865000000.0,16812000000.0,16549000000.0
totalLiab,24756000000,23137000000.0,22282000000.0,21458000000.0,26339000000.0
totalStockholderEquity,16268000000,17562000000.0,17447000000.0,19766000000.0,21164000000.0
minorityInterest,1134000000,1191000000.0,1086000000.0,1063000000.0,1294000000.0
deferredLongTermLiab,174000000,117000000.0,104000000.0,102000000.0,
otherCurrentLiab,4051000000,3666000000.0,3521000000.0,3873000000.0,5410000000.0
totalAssets,42158000000,41890000000.0,40815000000.0,42287000000.0,48797000000.0
commonStock,7000000,7000000.0,8000000.0,8000000.0,10000000.0
otherCurrentAssets,1353000000,867000000.0,778000000.0,930000000.0,4191000000.0
retainedEarnings,1151000000,2025000000.0,2469000000.0,4827000000.0,6604000000.0
otherLiab,5104000000,5478000000.0,5633000000.0,5680000000.0,5466000000.0
goodWill,17328000000,18335000000.0,17932000000.0,18178000000.0,18381000000.0
treasuryStock,-2114000000,-1586000000.0,-1895000000.0,-1881000000.0,-1999000000.0
otherAssets,3228000000,2338000000.0,2311000000.0,1883000000.0,8258000000.0
cash,2031000000,1336000000.0,1951000000.0,2805000000.0,185000000.0
totalCurrentLiabilities,11239000000,9098000000.0,8248000000.0,9070000000.0,11250000000.0
deferredLongTermAssetCharges,944000000,755000000.0,862000000.0,552000000.0,1265000000.0
shortLongTermDebt,865000000,226000000.0,262000000.0,501000000.0,1000000.0
otherStockholderEquity,-911000000,-434000000.0,-776000000.0,-795000000.0,-946000000.0
propertyPlantEquipment,4313000000,4604000000.0,4249000000.0,3348000000.0,3300000000.0
totalCurrentAssets,11685000000,9998000000.0,10053000000.0,12393000000.0,11823000000.0
longTermInvestments,963000000,1066000000.0,914000000.0,853000000.0,848000000.0
netTangibleAssets,-5701000000,-6322000000.0,-5841000000.0,-4044000000.0,-3404000000.0
netReceivables,5791000000,5738000000.0,5551000000.0,6844000000.0,5628000000.0
longTermDebt,7426000000,7506000000.0,7526000000.0,6708000000.0,9623000000.0
inventory,2510000000,2057000000.0,1773000000.0,1814000000.0,1819000000.0
accountsPayable,4241000000,3746000000.0,3120000000.0,3582000000.0,3407000000.0
researchDevelopment,295000000,275000000.0,274000000.0,319000000.0,310000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,1710000000,2614000000.0,903000000.0,1056000000.0,1546000000.0
netIncome,1532000000,1637000000.0,631000000.0,5674000000.0,2162000000.0
sellingGeneralAdministrative,5688000000,5009000000.0,5387000000.0,5713000000.0,5440000000.0
grossProfit,8343000000,8059000000.0,7411000000.0,7693000000.0,7667000000.0
ebit,2360000000,2775000000.0,1750000000.0,1661000000.0,1917000000.0
operatingIncome,2360000000,2775000000.0,1750000000.0,1661000000.0,1917000000.0
otherOperatingExpenses,,,,,
interestExpense,-227000000,-219000000.0,-240000000.0,-335000000.0,-409000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,-13000000,868000000.0,108000000.0,-233000000.0,197000000.0
totalRevenue,25299000000,23668000000.0,22317000000.0,23968000000.0,23400000000.0
totalOperatingExpenses,22939000000,20893000000.0,20567000000.0,22307000000.0,21483000000.0
costOfRevenue,16956000000,15609000000.0,14906000000.0,16275000000.0,15733000000.0
totalOtherIncomeExpenseNet,-650000000,-161000000.0,-847000000.0,-605000000.0,-371000000.0
discontinuedOperations,,124000000.0,124000000.0,4574000000.0,987000000.0
netIncomeFromContinuingOps,1723000000,1746000000.0,795000000.0,1289000000.0,1349000000.0
netIncomeApplicableToCommonShares,1532000000,1637000000.0,631000000.0,5674000000.0,2162000000.0
investments,,8000000.0,8000000.0,25000000.0,-1000000.0
changeToLiabilities,1270000000.0,813000000.0,-717000000.0,56000000.0,340000000.0
totalCashflowsFromInvestingActivities,-693000000.0,-1090000000.0,-258000000.0,12078000000.0,1196000000.0
netBorrowings,1966000000.0,-28000000.0,385000000.0,-3629000000.0,-2472000000.0
totalCashFromFinancingActivities,-516000000.0,-2131000000.0,-2937000000.0,-10554000000.0,-3752000000.0
changeToOperatingActivities,-369000000.0,-208000000.0,-81000000.0,-220000000.0,-170000000.0
issuanceOfStock,17000000.0,178000000.0,75000000.0,171000000.0,66000000.0
changeInCash,724000000.0,-618000000.0,-861000000.0,2621000000.0,-132000000.0
repurchaseOfStock,-1492000000.0,-1340000000.0,-2238000000.0,-6014000000.0,-300000000.0
effectOfExchangeRate,-53000000.0,116000000.0,115000000.0,-120000000.0,-106000000.0
totalCashFromOperatingActivities,1986000000.0,2487000000.0,2219000000.0,1202000000.0,2516000000.0
depreciation,830000000.0,845000000.0,822000000.0,825000000.0,824000000.0
otherCashflowsFromInvestingActivities,25000000.0,44000000.0,44000000.0,12625000000.0,-387000000.0
dividendsPaid,-916000000.0,-762000000.0,-790000000.0,-920000000.0,-954000000.0
changeToInventory,-773000000.0,-219000000.0,45000000.0,-72000000.0,-103000000.0
changeToAccountReceivables,-427000000.0,-143000000.0,534000000.0,-312000000.0,-475000000.0
otherCashflowsFromFinancingActivities,-91000000.0,-179000000.0,-369000000.0,-162000000.0,-92000000.0
changeToNetincome,363000000.0,-566000000.0,-46000000.0,-3527000000.0,-917000000.0
capitalExpenditures,-592000000.0,-552000000.0,-443000000.0,-586000000.0,-645000000.0
annualDilutedAverageShares,,721100000.0,753600000.0,874300000.0,
