,2022,2021,2020,2019
intangibleAssets,505597000.0,476065000.0,465491000.0,451136000.0
capitalSurplus,551360000.0,518960000.0,495005000.0,472029000.0
totalLiab,1073941000.0,1016864000.0,878786000.0,755816000.0
totalStockholderEquity,1381623000.0,1319292000.0,1549688000.0,1429013000.0
deferredLongTermLiab,143750000.0,127205000.0,113525000.0,90084000.0
otherCurrentLiab,330687000.0,319748000.0,318161000.0,339752000.0
totalAssets,2455564000.0,2336156000.0,2428474000.0,2184829000.0
commonStock,1039000.0,1038000.0,1036000.0,1035000.0
otherCurrentAssets,77306000.0,46215000.0,38235000.0,41457000.0
retainedEarnings,2636342000.0,2412496000.0,2235320000.0,2066073000.0
otherLiab,374340000.0,346553000.0,327136000.0,285854000.0
goodWill,687458000.0,687458000.0,686334000.0,666944000.0
treasuryStock,-1807118000.0,-1613202000.0,-1181673000.0,-1110124000.0
otherAssets,372157000.0,307188000.0,270168000.0,224827000.0
cash,48787000.0,50992000.0,213345000.0,93628000.0
totalCurrentLiabilities,543830000.0,520860000.0,494845000.0,469962000.0
propertyPlantEquipment,258578000.0,308458000.0,337380000.0,272474000.0
totalCurrentAssets,613524000.0,543737000.0,669101000.0,569448000.0
longTermInvestments,18250000.0,13250000.0,,
netTangibleAssets,188568000.0,155769000.0,397863000.0,310933000.0
netReceivables,386341000.0,359691000.0,343605000.0,349343000.0
longTermDebt,115000000.0,100000000.0,,
accountsPayable,21034000.0,18485000.0,9880000.0,9850000.0
researchDevelopment,121355000.0,109047000.0,109988000.0,96378000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,472267000.0,397725000.0,381076000.0,347235000.0
minorityInterest,,,,
netIncome,362916000.0,311469000.0,296668000.0,271885000.0
sellingGeneralAdministrative,218296000.0,187060000.0,197988000.0,185939000.0
grossProfit,814270000.0,694826000.0,688603000.0,629661000.0
ebit,474619000.0,398719000.0,380627000.0,347344000.0
operatingIncome,474619000.0,398719000.0,380627000.0,347344000.0
otherOperatingExpenses,,,,
interestExpense,-2384000.0,-1144000.0,-688000.0,-926000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,109351000.0,86256000.0,84408000.0,75350000.0
totalRevenue,1942884000.0,1758225000.0,1697067000.0,1552691000.0
totalOperatingExpenses,1468265000.0,1359506000.0,1316440000.0,1205347000.0
costOfRevenue,1128614000.0,1063399000.0,1008464000.0,923030000.0
totalOtherIncomeExpenseNet,-2352000.0,-994000.0,449000.0,-109000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,362916000.0,311469000.0,296668000.0,271885000.0
netIncomeApplicableToCommonShares,362916000.0,311469000.0,296668000.0,271885000.0
investments,-5000000.0,-8300000.0,-1150000.0,-1150000.0
changeToLiabilities,13218000.0,6447000.0,-4918000.0,16130000.0
totalCashflowsFromInvestingActivities,-196344000.0,-162250000.0,-197906000.0,-190635000.0
netBorrowings,14873000.0,99886000.0,-33000.0,-33000.0
totalCashFromFinancingActivities,-310492000.0,-462232000.0,-192909000.0,-178305000.0
changeToOperatingActivities,-81375000.0,-50014000.0,-6039000.0,-30276000.0
issuanceOfStock,11773000.0,10932000.0,9833000.0,9277000.0
changeInCash,-2205000.0,-162353000.0,119717000.0,62188000.0
repurchaseOfStock,-198068000.0,-439250000.0,-75288000.0,-68837000.0
totalCashFromOperatingActivities,504631000.0,462129000.0,510532000.0,431128000.0
depreciation,72588000.0,76443000.0,79345000.0,78028000.0
dividendsPaid,-139070000.0,-133800000.0,-127421000.0,-118745000.0
changeToAccountReceivables,-41508000.0,-6112000.0,10540000.0,-11777000.0
changeToNetincome,57052000.0,35518000.0,46199000.0,20354000.0
capitalExpenditures,-34659000.0,-22988000.0,-53538000.0,-53598000.0
annualDilutedAverageShares,73486000.0,75658000.0,76934000.0,77347000.0
