,2022,2021,2020,2019,2018
intangibleAssets,46392000000.0,53402000000.0,,47643000000.0,47611000000.0
totalLiab,107995000000.0,111616000000.0,,98257000000.0,93202000000.0
totalStockholderEquity,74023000000.0,63278000000.0,,59471000000.0,59752000000.0
otherCurrentLiab,1112000000.0,1392000000.0,,2266000000.0,818000000.0
totalAssets,182018000000.0,174894000000.0,,157728000000.0,152954000000.0
commonStock,3120000000.0,3120000000.0,,3120000000.0,3120000000.0
retainedEarnings,123060000000.0,113890000000.0,,110659000000.0,106216000000.0
otherLiab,31784000000.0,35388000000.0,,34799000000.0,34285000000.0
goodWill,35246000000.0,36393000000.0,,33639000000.0,30453000000.0
treasuryStock,-52157000000.0,-53732000000.0,,-54308000000.0,-49584000000.0
otherAssets,17155000000.0,11877000000.0,,10627000000.0,11305000000.0
cash,14487000000.0,13985000000.0,,17305000000.0,18107000000.0
totalCurrentLiabilities,45226000000.0,42493000000.0,,35964000000.0,31230000000.0
deferredLongTermAssetCharges,10223000000.0,8534000000.0,,7819000000.0,7640000000.0
shortLongTermDebt,2131000000.0,1799000000.0,,1100000000.0,2636000000.0
otherStockholderEquity,-13058000000.0,-15242000000.0,,-15891000000.0,-15222000000.0
propertyPlantEquipment,19862000000.0,19766000000.0,,18658000000.0,17035000000.0
totalCurrentAssets,60979000000.0,51237000000.0,,45274000000.0,46033000000.0
longTermInvestments,2384000000.0,2219000000.0,,1887000000.0,517000000.0
netTangibleAssets,-7615000000.0,-26517000000.0,,-21811000000.0,-18312000000.0
shortTermInvestments,17121000000.0,11200000000.0,,1982000000.0,1580000000.0
netReceivables,15283000000.0,13576000000.0,,14481000000.0,14098000000.0
longTermDebt,29985000000.0,32635000000.0,,26494000000.0,27687000000.0
inventory,10387000000.0,9344000000.0,,9020000000.0,8599000000.0
accountsPayable,11055000000.0,9505000000.0,,8544000000.0,7537000000.0
otherCurrentAssets,,,,326000000.0,1483000000.0
researchDevelopment,14714000000.0,12159000000.0,,11355000000.0,10775000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,22776000000.0,16497000000.0,,17328000000.0,17999000000.0
minorityInterest,,,,,
netIncome,20878000000.0,14714000000.0,,15119000000.0,15297000000.0
sellingGeneralAdministrative,24059000000.0,21684000000.0,,21885000000.0,22540000000.0
grossProfit,64020000000.0,54157000000.0,,54503000000.0,54490000000.0
ebit,25247000000.0,20314000000.0,,21263000000.0,21175000000.0
operatingIncome,25247000000.0,20314000000.0,,21263000000.0,21175000000.0
otherOperatingExpenses,,,,,
interestExpense,-183000000.0,-201000000.0,,-318000000.0,-1005000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,1898000000.0,1783000000.0,,2209000000.0,2702000000.0
totalRevenue,93775000000.0,82584000000.0,,82059000000.0,81581000000.0
totalOperatingExpenses,68528000000.0,62270000000.0,,60796000000.0,60406000000.0
costOfRevenue,29755000000.0,28427000000.0,,27556000000.0,27091000000.0
totalOtherIncomeExpenseNet,-2471000000.0,-3817000000.0,,-3935000000.0,-3176000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,20878000000.0,14714000000.0,,15119000000.0,15297000000.0
netIncomeApplicableToCommonShares,20878000000.0,14714000000.0,,15119000000.0,15297000000.0
investments,-5388000000.0,-8952000000.0,,-533000000.0,-1337000000.0
changeToLiabilities,2437000000.0,5141000000.0,,4060000000.0,3951000000.0
totalCashflowsFromInvestingActivities,-8683000000.0,-20825000000.0,,-6194000000.0,-3167000000.0
netBorrowings,-990000000.0,7095000000.0,,-2881000000.0,-3949000000.0
totalCashFromFinancingActivities,-14047000000.0,-6120000000.0,,-18015000000.0,-18510000000.0
changeToOperatingActivities,-3025000000.0,-2960000000.0,,371000000.0,-2119000000.0
issuanceOfStock,1036000000.0,1114000000.0,,954000000.0,949000000.0
changeInCash,502000000.0,-3320000000.0,,-802000000.0,283000000.0
repurchaseOfStock,-3456000000.0,-3221000000.0,,-6746000000.0,-5868000000.0
effectOfExchangeRate,-178000000.0,89000000.0,,-9000000.0,-241000000.0
totalCashFromOperatingActivities,23410000000.0,23536000000.0,,23416000000.0,22201000000.0
depreciation,7390000000.0,7231000000.0,,7009000000.0,6929000000.0
otherCashflowsFromInvestingActivities,-294000000.0,-1508000000.0,,382000000.0,-464000000.0
dividendsPaid,-11032000000.0,-10481000000.0,,-9917000000.0,-9494000000.0
changeToInventory,-1248000000.0,-265000000.0,,-277000000.0,-644000000.0
changeToAccountReceivables,-2402000000.0,774000000.0,,-289000000.0,-1185000000.0
otherCashflowsFromFinancingActivities,395000000.0,-627000000.0,,575000000.0,-148000000.0
changeToNetincome,-620000000.0,-1099000000.0,,-2577000000.0,-28000000.0
capitalExpenditures,-3652000000.0,-3347000000.0,,-3498000000.0,-3670000000.0
annualDilutedAverageShares,,2674000000.0,2670700000.0,2684300000.0,2728700000.0
