,2021,2020,2019,2018
intangibleAssets,284300000.0,266700000.0,185800000.0,118500000.0
capitalSurplus,6972600000.0,7156900000.0,7370500000.0,7672800000.0
totalLiab,4570100000.0,4834800000.0,4227100000.0,4540100000.0
totalStockholderEquity,4316900000.0,4543500000.0,4610600000.0,4823200000.0
otherCurrentLiab,998100000.0,948500000.0,851800000.0,865500000.0
totalAssets,8887000000.0,9378300000.0,8837700000.0,9363300000.0
otherCurrentAssets,45400000.0,50300000.0,66800000.0,25700000.0
retainedEarnings,-2653600000.0,-2669000000.0,-2741400000.0,-2831400000.0
otherLiab,862100000.0,804400000.0,838100000.0,820600000.0
goodWill,3762100000.0,3669600000.0,3337100000.0,3108800000.0
treasuryStock,-2100000.0,55600000.0,-18500000.0,-18200000.0
otherAssets,291200000.0,278200000.0,298000000.0,288100000.0
cash,922500000.0,1361900000.0,1215800000.0,2489000000.0
totalCurrentLiabilities,1876500000.0,2161100000.0,1543900000.0,1842500000.0
otherStockholderEquity,-2100000.0,55600000.0,-18500000.0,-18200000.0
propertyPlantEquipment,864300000.0,946900000.0,1000600000.0,951700000.0
totalCurrentAssets,2956600000.0,3271200000.0,3209800000.0,4581800000.0
longTermInvestments,728500000.0,945700000.0,806400000.0,314400000.0
netTangibleAssets,270500000.0,607200000.0,1087700000.0,1595900000.0
shortTermInvestments,330600000.0,422000000.0,742100000.0,1081000000.0
netReceivables,994400000.0,964100000.0,879700000.0,754600000.0
longTermDebt,1689300000.0,1705800000.0,1687000000.0,1789100000.0
inventory,272600000.0,210200000.0,90600000.0,80600000.0
accountsPayable,273700000.0,277000000.0,219500000.0,208800000.0
shortLongTermDebt,,421500000.0,,349900000.0
commonStock,,,,4823200000.0
researchDevelopment,1007200000,958400000,955700000,1003200000
effectOfAccountingCharges,,,,
incomeBeforeTax,310100000,265200000,414400000,532700000
minorityInterest,,,,
netIncome,252700000,257800000,345000000,566900000
sellingGeneralAdministrative,1293600000,1169600000,1183600000,1158500000
grossProfit,2740100000,2573700000,2616800000,2741200000
ebit,439300000,445700000,477500000,579500000
operatingIncome,439300000,445700000,477500000,579500000
otherOperatingExpenses,,,,7000000.0
interestExpense,-50800000,-77000000,-88700000,-103200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,57400000,7400000,69400000,-34200000
totalRevenue,4735400000,4445100000,4445400000,4647500000
totalOperatingExpenses,4296100000,3999400000,3967900000,4068000000
costOfRevenue,1995300000,1871400000,1828600000,1906300000
totalOtherIncomeExpenseNet,-129200000,-180500000,-63100000,-46800000
discontinuedOperations,,,,
netIncomeFromContinuingOps,252700000,257800000,345000000,566900000
netIncomeApplicableToCommonShares,252700000,257800000,345000000,566900000
investments,305800000,250700000,-140400000,771300000
changeToLiabilities,128900000,117500000,7300000,28200000
totalCashflowsFromInvestingActivities,13800000,-288900000,-528200000,564800000
netBorrowings,-423800000,416200000,-454800000,-16900000
totalCashFromFinancingActivities,-1131700000,-222400000,-1228800000,-968600000
changeToOperatingActivities,-320500000,-74700000,-141000000,-40900000
issuanceOfStock,56400000,54700000,55600000,56900000
changeInCash,-440300000,106500000,-1229300000,446700000
repurchaseOfStock,-443500000,-381100000,-554900000,-756600000
effectOfExchangeRate,-12100000,5800000,-1200000,-10600000
totalCashFromOperatingActivities,689700000,612000000,528900000,861100000
depreciation,237400000,212400000,210300000,210600000
otherCashflowsFromInvestingActivities,700000,44800000,44800000,44800000
dividendsPaid,-259100000,-264100000,-260100000,-249300000
changeToAccountReceivables,-31800000,-76100000,-118100000,96300000
otherCashflowsFromFinancingActivities,-61700000,-48100000,-14600000,-2700000
changeToNetincome,398700000,232300000,265900000,269200000
capitalExpenditures,-100000000,-100400000,-109600000,-147400000
