,2021,2020,2019,2018
intangibleAssets,23856000000.0,23968000000.0,24117000000.0,23967000000.0
capitalSurplus,21785000000.0,21677000000.0,21557000000.0,21471000000.0
totalLiab,25626000000.0,25949000000.0,26261000000.0,26385000000.0
totalStockholderEquity,24972000000.0,23829000000.0,23257000000.0,22533000000.0
otherCurrentLiab,592000000.0,451000000.0,656000000.0,899000000.0
totalAssets,50598000000.0,49779000000.0,49518000000.0,48918000000.0
commonStock,14000000.0,14000000.0,14000000.0,14000000.0
otherCurrentAssets,236000000.0,172000000.0,293000000.0,153000000.0
retainedEarnings,3199000000.0,2061000000.0,1582000000.0,1178000000.0
otherLiab,6201000000.0,6227000000.0,6264000000.0,6171000000.0
goodWill,20182000000.0,20184000000.0,20172000000.0,20011000000.0
treasuryStock,-26000000.0,77000000.0,104000000.0,-130000000.0
otherAssets,305000000.0,293000000.0,261000000.0,207000000.0
cash,567000000.0,240000000.0,75000000.0,83000000.0
totalCurrentLiabilities,6485000000.0,7694000000.0,6474000000.0,5702000000.0
deferredLongTermAssetCharges,42000000.0,45000000.0,29000000.0,26000000.0
shortLongTermDebt,163000000.0,2347000000.0,347000000.0,386000000.0
otherStockholderEquity,-26000000.0,77000000.0,104000000.0,-130000000.0
propertyPlantEquipment,3167000000.0,2857000000.0,2525000000.0,2310000000.0
totalCurrentAssets,3057000000.0,2388000000.0,2273000000.0,2159000000.0
longTermInvestments,31000000.0,89000000.0,170000000.0,264000000.0
netTangibleAssets,-19066000000.0,-20323000000.0,-21032000000.0,-21445000000.0
netReceivables,1274000000.0,1144000000.0,1184000000.0,1223000000.0
longTermDebt,11711000000.0,11150000000.0,12827000000.0,14207000000.0
inventory,966000000.0,817000000.0,703000000.0,669000000.0
accountsPayable,4316000000.0,3740000000.0,3176000000.0,2300000000.0
minorityInterest,,1000000.0,,
researchDevelopment,66000000,69000000,81000000,81000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2798000000,1753000000,1694000000,791000000
netIncome,2146000000,1325000000,1254000000,586000000
sellingGeneralAdministrative,3724000000,3398000000,3736000000,2515000000
grossProfit,7003000000,6530000000,6342000000,4015000000
ebit,3096000000,2891000000,2349000000,1364000000
operatingIncome,3096000000,2891000000,2349000000,1364000000
otherOperatingExpenses,-60000000,25000000,17000000,26000000
interestExpense,-500000000,-604000000,-654000000,-452000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,653000000,428000000,440000000,202000000
totalRevenue,12683000000,11618000000,11120000000,7442000000
totalOperatingExpenses,9587000000,8727000000,8771000000,6078000000
costOfRevenue,5680000000,5088000000,4778000000,3427000000
totalOtherIncomeExpenseNet,-298000000,-1138000000,-655000000,-573000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2145000000,1325000000,1254000000,589000000
netIncomeApplicableToCommonShares,2146000000,1325000000,1254000000,586000000
investments,578000000,-5000000,-16000000,-4000000
changeToLiabilities,762000000,624000000,583000000,206000000
totalCashflowsFromInvestingActivities,210000000,-316000000,-150000000,-19131000000
netBorrowings,-1775000000,-1003000000,-1324000000,8316000000
totalCashFromFinancingActivities,-2762000000,-1990000000,-2364000000,17577000000
changeToOperatingActivities,-240000000,-255000000,-222000000,-87000000
issuanceOfStock,140000000,140000000,140000000,9000000000
changeInCash,313000000,144000000,-28000000,44000000
repurchaseOfStock,-125000000,-125000000,-125000000,-125000000
effectOfExchangeRate,-9000000,-6000000,12000000,-15000000
totalCashFromOperatingActivities,2874000000,2456000000,2474000000,1613000000
depreciation,708000000,653000000,658000000,434000000
otherCashflowsFromInvestingActivities,-35000000,3000000,-8000000,-5000000
dividendsPaid,-955000000,-846000000,-844000000,-232000000
changeToInventory,-133000000,-107000000,-24000000,185000000
changeToAccountReceivables,-152000000,-5000000,-7000000,82000000
otherCashflowsFromFinancingActivities,-47000000,-141000000,-196000000,493000000
changeToNetincome,-331000000,312000000,196000000,136000000
capitalExpenditures,-423000000,-461000000,-330000000,-180000000
