,2022,2021,2020,2019,2018
intangibleAssets,189000000,272000000.0,361000000.0,490000000.0,645000000.0
capitalSurplus,2333000000,2219000000.0,2110000000.0,2013000000.0,1889000000.0
totalLiab,3937000000,3997000000.0,3921000000.0,3619000000.0,3391000000.0
totalStockholderEquity,4161000000,3784000000.0,3297000000.0,3004000000.0,2433000000.0
otherCurrentLiab,591000000,547000000.0,455000000.0,419000000.0,400000000.0
totalAssets,8098000000,7781000000.0,7218000000.0,6623000000.0,5824000000.0
commonStock,2000000,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,429000000,240000000.0,202000000.0,204000000.0,190000000.0
retainedEarnings,4554000000,3430000000.0,2536000000.0,1909000000.0,1212000000.0
otherLiab,551000000,706000000.0,902000000.0,824000000.0,634000000.0
goodWill,1582000000,1628000000.0,1537000000.0,1209000000.0,1171000000.0
treasuryStock,-2728000000,-1867000000.0,-1351000000.0,-920000000.0,-670000000.0
otherAssets,1121000000,1052000000.0,1085000000.0,1087000000.0,1029000000.0
cash,2042000000,2052000000.0,1756000000.0,1598000000.0,913000000.0
totalCurrentLiabilities,1407000000,1309000000.0,1081000000.0,1003000000.0,1462000000.0
deferredLongTermAssetCharges,667000000,711000000.0,740000000.0,755000000.0,750000000.0
otherStockholderEquity,-454000000,-442000000.0,-599000000.0,-578000000.0,-488000000.0
propertyPlantEquipment,910000000,877000000.0,777000000.0,576000000.0,555000000.0
totalCurrentAssets,4234000000,3834000000.0,3374000000.0,3215000000.0,2378000000.0
longTermInvestments,62000000,118000000.0,84000000.0,46000000.0,46000000.0
netTangibleAssets,2390000000,1884000000.0,1399000000.0,1305000000.0,617000000.0
netReceivables,905000000,765000000.0,659000000.0,708000000.0,656000000.0
longTermDebt,1793000000,1791000000.0,1789000000.0,1788000000.0,1291000000.0
inventory,858000000,777000000.0,757000000.0,705000000.0,619000000.0
accountsPayable,348000000,287000000.0,224000000.0,253000000.0,242000000.0
shortLongTermDebt,,,,,499000000.0
researchDevelopment,841000000,811000000.0,715000000.0,688000000.0,624000000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,1285000000,1010000000.0,761000000.0,715000000.0,-411000000.0
minorityInterest,,,,,
netIncome,1124000000,894000000.0,627000000.0,621000000.0,165000000.0
sellingGeneralAdministrative,1283000000,1186000000.0,1052000000.0,1112000000.0,1065000000.0
grossProfit,3450000000,3069000000.0,2533000000.0,2534000000.0,2111000000.0
ebit,1334000000,1089000000.0,778000000.0,754000000.0,435000000.0
operatingIncome,1334000000,1089000000.0,778000000.0,754000000.0,435000000.0
otherOperatingExpenses,-8000000,-17000000.0,-12000000.0,-20000000.0,-13000000.0
interestExpense,-79000000,-79000000.0,-78000000.0,-80000000.0,-83000000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,161000000,116000000.0,134000000.0,94000000.0,-576000000.0
totalRevenue,5420000000,4941000000.0,4221000000.0,4303000000.0,3878000000.0
totalOperatingExpenses,4086000000,3852000000.0,3443000000.0,3549000000.0,3443000000.0
costOfRevenue,1970000000,1872000000.0,1688000000.0,1769000000.0,1767000000.0
totalOtherIncomeExpenseNet,-49000000,-79000000.0,-17000000.0,-39000000.0,-846000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,1124000000,894000000.0,627000000.0,621000000.0,165000000.0
netIncomeApplicableToCommonShares,1124000000,894000000.0,627000000.0,621000000.0,165000000.0
changeToLiabilities,135000000.0,149000000.0,8000000.0,125000000.0,97000000.0
totalCashflowsFromInvestingActivities,-251000000.0,-353000000.0,-442000000.0,-196000000.0,-108000000.0
totalCashFromFinancingActivities,-861000000.0,-671000000.0,-413000000.0,-122000000.0,-341000000.0
changeToOperatingActivities,-196000000.0,18000000.0,-72000000.0,-26000000.0,-48000000.0
issuanceOfStock,63000000.0,59000000.0,58000000.0,67000000.0,64000000.0
changeInCash,-11000000.0,301000000.0,167000000.0,683000000.0,97000000.0
repurchaseOfStock,-923000000.0,-726000000.0,-464000000.0,-185000000.0,-138000000.0
effectOfExchangeRate,-43000000.0,3000000.0,6000000.0,3000000.0,-9000000.0
totalCashFromOperatingActivities,1144000000.0,1322000000.0,1016000000.0,998000000.0,555000000.0
depreciation,223000000.0,293000000.0,326000000.0,308000000.0,310000000.0
otherCashflowsFromInvestingActivities,,-1000000.0,32000000.0,5000000.0,5000000.0
changeToInventory,-125000000.0,-43000000.0,-73000000.0,-92000000.0,-61000000.0
changeToAccountReceivables,-204000000.0,-122000000.0,75000000.0,-26000000.0,-89000000.0
otherCashflowsFromFinancingActivities,-1000000.0,-4000000.0,-4000000.0,-4000000.0,-7000000.0
changeToNetincome,201000000.0,99000000.0,120000000.0,104000000.0,104000000.0
capitalExpenditures,-185000000.0,-174000000.0,-117000000.0,-120000000.0,-132000000.0
netBorrowings,,,-7000000.0,-7000000.0,-260000000.0
investments,-33000000.0,-33000000.0,-33000000.0,7000000.0,7000000.0
annualDilutedAverageShares,,187000000.0,189000000.0,191000000.0,
