,2021,2020,2019,2018
intangibleAssets,456395000.0,118952000.0,145464000.0,183872000.0
capitalSurplus,9591871000.0,5766511000.0,5765233000.0,6117254000.0
totalLiab,8335537000.0,5928460000.0,6051017000.0,5564365000.0
totalStockholderEquity,9899369000.0,5608024000.0,4864872000.0,5333761000.0
minorityInterest,224273000.0,77994000.0,81958000.0,100931000.0
deferredLongTermLiab,148461000.0,141567000.0,150330000.0,156155000.0
otherCurrentLiab,5366000.0,5366000.0,126274000.0,130262000.0
totalAssets,18459199000.0,11614498000.0,10997867000.0,10999100000.0
commonStock,6167000.0,4325000.0,4318000.0,4214000.0
retainedEarnings,299115000.0,,,
otherLiab,487642000.0,324538000.0,346183000.0,385328000.0
treasuryStock,2216000.0,-162812000.0,-904679000.0,-787707000.0
otherAssets,315104000.0,237044000.0,219235000.0,424230000.0
cash,334663000.0,293188000.0,123947000.0,143581000.0
totalCurrentLiabilities,240071000.0,151823000.0,296356000.0,305165000.0
deferredLongTermAssetCharges,6139000.0,13015000.0,13084000.0,13375000.0
otherStockholderEquity,2216000.0,-162812000.0,-904679000.0,-787707000.0
propertyPlantEquipment,14757707000.0,9331278000.0,9368461000.0,9273599000.0
totalCurrentAssets,589340000.0,512436000.0,342636000.0,345309000.0
longTermInvestments,2340653000.0,1414788000.0,922071000.0,772090000.0
netTangibleAssets,9442974000.0,5489072000.0,4719408000.0,5149889000.0
netReceivables,254677000.0,219248000.0,218689000.0,184528000.0
longTermDebt,7475702000.0,5355480000.0,5315767000.0,4873872000.0
accountsPayable,220308000.0,146457000.0,170082000.0,174903000.0
otherCurrentAssets,,,,17200000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,853076000.0,1003855000.0,410244000.0,500063000.0
netIncome,844059000.0,1000833000.0,410605000.0,497795000.0
sellingGeneralAdministrative,99830000.0,84517000.0,94342000.0,83997000.0
grossProfit,946674000.0,714924000.0,821933000.0,836203000.0
ebit,451524000.0,341452000.0,449712000.0,435573000.0
operatingIncome,451524000.0,341452000.0,449712000.0,435573000.0
otherOperatingExpenses,,,,
interestExpense,-204133000.0,-186904000.0,-177395000.0,-183339000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,3380000.0,978000.0,-3317000.0,1600000.0
totalRevenue,1364585000.0,1057893000.0,1158884000.0,1164762000.0
totalOperatingExpenses,913061000.0,716441000.0,709172000.0,729189000.0
costOfRevenue,417911000.0,342969000.0,336951000.0,328559000.0
totalOtherIncomeExpenseNet,401552000.0,662403000.0,-39468000.0,64490000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,849696000.0,1002877000.0,413561000.0,498463000.0
netIncomeApplicableToCommonShares,815601000.0,971230000.0,337389000.0,429708000.0
investments,32646000.0,214835000.0,-13483000.0,-2621000.0
changeToLiabilities,-104712000.0,5576000.0,-3611000.0,-9175000.0
totalCashflowsFromInvestingActivities,-476259000.0,-33273000.0,-120421000.0,253645000.0
netBorrowings,260090000.0,45846000.0,447277000.0,-389728000.0
totalCashFromFinancingActivities,-101141000.0,-387399000.0,-482841000.0,-986513000.0
changeToOperatingActivities,22350000.0,-25755000.0,-54576000.0,-54707000.0
issuanceOfStock,82989000.0,981000.0,204012000.0,591000.0
changeInCash,41475000.0,169241000.0,-19634000.0,-94932000.0
repurchaseOfStock,-20842000.0,-5379000.0,-3971000.0,-75126000.0
totalCashFromOperatingActivities,618875000.0,589913000.0,583628000.0,637936000.0
depreciation,407020000.0,308255000.0,296179000.0,290180000.0
dividendsPaid,-382132000.0,-379874000.0,-531565000.0,-529756000.0
changeToAccountReceivables,-18079000.0,-559000.0,-34160000.0,5229000.0
otherCashflowsFromFinancingActivities,-41246000.0,-48973000.0,-23594000.0,-25608000.0
changeToNetincome,-534863000.0,-701637000.0,-32509000.0,-96686000.0
otherCashflowsFromInvestingActivities,,2450000.0,4000000.0,16222000.0
annualDilutedAverageShares,511385000.0,431633000.0,421799000.0,421379000.0
