,2022,2021,2020,2019
intangibleAssets,1194414000.0,1185311000.0,1391413000.0,1560670000.0
capitalSurplus,1061798000.0,2175835000.0,2090113000.0,2017153000.0
totalLiab,11197998000.0,6895482000.0,6598950000.0,6330823000.0
totalStockholderEquity,1401351000.0,3377554000.0,2665424000.0,2659108000.0
minorityInterest,-2261000.0,-1912000.0,15586000.0,18585000.0
otherCurrentLiab,1524788000.0,918232000.0,720266000.0,646044000.0
totalAssets,12597088000.0,10271124000.0,9279960000.0,9008516000.0
commonStock,142000.0,153000.0,155000.0,159000.0
otherCurrentAssets,278448000.0,153166000.0,149844000.0,140675000.0
retainedEarnings,366882000.0,1277123000.0,654930000.0,714825000.0
otherLiab,1584828000.0,1298749000.0,1358609000.0,1388954000.0
goodWill,2320049000.0,2011172000.0,2045402000.0,2211858000.0
treasuryStock,-27471000.0,-75557000.0,-79774000.0,-73029000.0
otherAssets,937341000.0,612483000.0,498986000.0,472114000.0
cash,1584908000.0,1434610000.0,1234409000.0,1015994000.0
totalCurrentLiabilities,2871083000.0,2103227000.0,1699786000.0,1768486000.0
deferredLongTermAssetCharges,579173000.0,270461000.0,236797000.0,206141000.0
otherStockholderEquity,-27471000.0,-75557000.0,-79774000.0,-73029000.0
propertyPlantEquipment,976373000.0,765910000.0,620614000.0,448799000.0
totalCurrentAssets,7168911000.0,5696248000.0,4723545000.0,4315075000.0
netTangibleAssets,-2113112000.0,181071000.0,-771391000.0,-1113420000.0
shortTermInvestments,1123100000.0,1059912000.0,746063000.0,723391000.0
netReceivables,1926624000.0,1396531000.0,1207289000.0,1084128000.0
longTermDebt,6660718000.0,3422767000.0,3469670000.0,3173383000.0
inventory,2146889000.0,1575380000.0,1310985000.0,1262500000.0
accountsPayable,443338000.0,342083000.0,264280000.0,202416000.0
shortLongTermDebt,,,,249999000.0
researchDevelopment,1105254000,928487000,863864000,711030000
effectOfAccountingCharges,,,,
incomeBeforeTax,3489237000,2360454000,1316711000,1296231000
netIncome,3321807000,2078292000,1216785000,1175617000
sellingGeneralAdministrative,862578000,731441000,735977000,600848000
grossProfit,5619442000,4146569000,3356863000,2699527000
ebit,3651610000,2486641000,1757022000,1387649000
operatingIncome,3651610000,2486641000,1757022000,1387649000
otherOperatingExpenses,,,,
interestExpense,-160339000,-157328000,-160274000,-124604000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,167177000,283101000,101686000,121214000
totalRevenue,9211883000,6918734000,5806424000,4568904000
totalOperatingExpenses,5560273000,4432093000,4049402000,3181255000
costOfRevenue,3592441000,2772165000,2449561000,1869377000
totalOtherIncomeExpenseNet,-162373000,-126187000,-440311000,-91418000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3322060000,2077353000,1215025000,1175017000
netIncomeApplicableToCommonShares,3321807000,2078292000,1216785000,1175617000
investments,-112779000,-290918000,-21495000,763556000
changeToLiabilities,444718000,80537000,141610000,-22237000
totalCashflowsFromInvestingActivities,-876458000,-500404000,-258874000,-1180982000
netBorrowings,3222409000,-29657000,20799000,1181311000
totalCashFromFinancingActivities,-2257005000,-1497881000,-1299635000,-360005000
changeToOperatingActivities,327200000,149405000,-35796000,-98394000
issuanceOfStock,113014000,86098000,75634000,64828000
changeInCash,150298000,200201000,218415000,-388388000
repurchaseOfStock,-4052177000,-994969000,-875344000,-1132719000
effectOfExchangeRate,-28941000,13460000,-1926000,-33000
totalCashFromOperatingActivities,3312702000,2185026000,1778850000,1152632000
depreciation,363344000,329435000,348049000,233224000
otherCashflowsFromInvestingActivities,-4904000,3454000,5439000,4243000
dividendsPaid,-638528000,-559353000,-522421000,-469363000
changeToInventory,-567003000,-270100000,-74817000,-59561000
changeToAccountReceivables,-510326000,-203155000,-118362000,-146151000
otherCashflowsFromFinancingActivities,-901723000,-901723000,1697000,-1162000
changeToNetincome,-67038000,20612000,301381000,70134000
capitalExpenditures,-307320000,-231628000,-152675000,-130498000
