,2021,2020,2019,2018
intangibleAssets,810000000.0,832000000.0,29000000.0,
capitalSurplus,605000000.0,657000000.0,556000000.0,548000000.0
totalLiab,17100000000.0,16654000000.0,15089000000.0,14564000000.0
totalStockholderEquity,514000000.0,626000000.0,-33000000.0,-287000000.0
minorityInterest,223000000.0,243000000.0,227000000.0,241000000.0
otherCurrentLiab,1175000000.0,1172000000.0,1000000000.0,1056000000.0
totalAssets,17837000000.0,17523000000.0,15283000000.0,14518000000.0
commonStock,473000000.0,473000000.0,473000000.0,473000000.0
otherCurrentAssets,849000000.0,733000000.0,562000000.0,525000000.0
retainedEarnings,7858000000.0,7567000000.0,6686000000.0,5947000000.0
otherLiab,1791000000.0,1882000000.0,1654000000.0,1717000000.0
goodWill,1840000000.0,1895000000.0,1467000000.0,1474000000.0
treasuryStock,-8422000000.0,-8071000000.0,-7748000000.0,-7255000000.0
otherAssets,747000000.0,740000000.0,616000000.0,620000000.0
cash,270000000.0,303000000.0,442000000.0,539000000.0
totalCurrentLiabilities,6749000000.0,6443000000.0,6919000000.0,6536000000.0
shortLongTermDebt,315000000.0,263000000.0,759000000.0,713000000.0
otherStockholderEquity,-3239000000.0,-3172000000.0,-3294000000.0,-3299000000.0
propertyPlantEquipment,8585000000.0,8582000000.0,7846000000.0,7159000000.0
totalCurrentAssets,5565000000.0,5174000000.0,5057000000.0,5041000000.0
longTermInvestments,290000000.0,300000000.0,268000000.0,224000000.0
netTangibleAssets,-2136000000.0,-2101000000.0,-1529000000.0,-1761000000.0
netReceivables,2207000000.0,2235000000.0,2263000000.0,2164000000.0
longTermDebt,8107000000.0,7886000000.0,6242000000.0,6311000000.0
inventory,2239000000.0,1903000000.0,1790000000.0,1813000000.0
accountsPayable,3840000000.0,3336000000.0,3055000000.0,3190000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2323000000,3072000000,2773000000,1916000000
netIncome,1814000000,2352000000,2157000000,1410000000
sellingGeneralAdministrative,3286000000,3512000000,3199000000,3151000000
grossProfit,6142000000,7105000000,6451000000,6138000000
ebit,2843000000,3522000000,3254000000,3026000000
operatingIncome,2843000000,3522000000,3254000000,3026000000
otherOperatingExpenses,13000000,71000000,-2000000,-39000000
interestExpense,-256000000,-252000000,-261000000,-263000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,479000000,676000000,576000000,471000000
totalRevenue,19440000000,19140000000,18450000000,18486000000
totalOperatingExpenses,16597000000,15618000000,15196000000,15460000000
costOfRevenue,13298000000,12035000000,11999000000,12348000000
totalOtherIncomeExpenseNet,-520000000,-450000000,-481000000,-1110000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1844000000,2396000000,2197000000,1445000000
netIncomeApplicableToCommonShares,1814000000,2352000000,2157000000,1410000000
investments,-82000000,-63000000,-26000000,-81000000
changeToLiabilities,627000000,239000000,-153000000,392000000
totalCashflowsFromInvestingActivities,-1056000000,-2305000000,-1042000000,-902000000
netBorrowings,239000000,430000000,302000000,66000000
totalCashFromFinancingActivities,-1696000000,-1567000000,-1792000000,-2115000000
changeToOperatingActivities,-123000000,83000000,-37000000,27000000
issuanceOfStock,65000000,217000000,228000000,62000000
changeInCash,-33000000,-139000000,-97000000,-77000000
repurchaseOfStock,-400000000,-700000000,-800000000,-800000000
effectOfExchangeRate,-11000000,4000000,1000000,-30000000
totalCashFromOperatingActivities,2730000000,3729000000,2736000000,2970000000
depreciation,748000000,702000000,682000000,710000000
otherCashflowsFromInvestingActivities,-10000000,27000000,-45000000,5000000
dividendsPaid,-1516000000,-1451000000,-1408000000,-1386000000
changeToInventory,-417000000,-96000000,24000000,-127000000
changeToAccountReceivables,-37000000,95000000,-116000000,33000000
otherCashflowsFromFinancingActivities,-84000000,-63000000,-114000000,-57000000
changeToNetincome,122000000,312000000,185000000,461000000
capitalExpenditures,-1007000000,-1217000000,-1209000000,-877000000
