,2021,2020,2019,2018
intangibleAssets,15250000000.0,11044000000.0,10002000000.0,7478000000.0
capitalSurplus,18116000000.0,17601000000.0,17154000000.0,16520000000.0
totalLiab,69494000000.0,66012000000.0,65283000000.0,64158000000.0
totalStockholderEquity,22999000000.0,19299000000.0,18981000000.0,16981000000.0
minorityInterest,1861000000.0,1985000000.0,2117000000.0,2077000000.0
otherCurrentLiab,1859000000.0,2010000000.0,1636000000.0,598000000.0
totalAssets,94354000000.0,87296000000.0,86381000000.0,83216000000.0
commonStock,1760000000.0,1760000000.0,1760000000.0,1760000000.0
otherCurrentAssets,1018000000.0,152000000.0,57000000.0,113000000.0
retainedEarnings,69094000000.0,66555000000.0,65855000000.0,63234000000.0
otherLiab,10253000000.0,9986000000.0,9662000000.0,9960000000.0
goodWill,19363000000.0,17506000000.0,16764000000.0,14109000000.0
treasuryStock,-65971000000.0,-66617000000.0,-65788000000.0,-64533000000.0
otherAssets,5318000000.0,4870000000.0,5264000000.0,5563000000.0
cash,9684000000.0,6795000000.0,6480000000.0,9077000000.0
totalCurrentLiabilities,19950000000.0,14601000000.0,26973000000.0,28782000000.0
deferredLongTermAssetCharges,2129000000.0,2460000000.0,2412000000.0,2674000000.0
shortLongTermDebt,1338000000.0,490000000.0,4253000000.0,5003000000.0
otherStockholderEquity,-14330000000.0,-14601000000.0,-13544000000.0,-12814000000.0
propertyPlantEquipment,11338000000.0,12325000000.0,12210000000.0,9598000000.0
totalCurrentAssets,22545000000.0,19240000000.0,20411000000.0,24930000000.0
longTermInvestments,20540000000.0,22311000000.0,21730000000.0,21538000000.0
netTangibleAssets,-11614000000.0,-9251000000.0,-7785000000.0,-4606000000.0
shortTermInvestments,2941000000.0,4119000000.0,4695000000.0,7038000000.0
netReceivables,3512000000.0,3144000000.0,3971000000.0,3685000000.0
longTermDebt,38130000000.0,40125000000.0,27537000000.0,25416000000.0
inventory,3414000000.0,3266000000.0,3379000000.0,3071000000.0
accountsPayable,4602000000.0,3517000000.0,3804000000.0,2719000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,12425000000.0,9749000000.0,10786000000.0,8225000000.0
netIncome,9771000000.0,7747000000.0,8920000000.0,6434000000.0
sellingGeneralAdministrative,11867000000.0,9556000000.0,12005000000.0,11013000000.0
grossProfit,23298000000.0,19581000000.0,22647000000.0,21233000000.0
ebit,11438000000.0,10013000000.0,10631000000.0,10203000000.0
operatingIncome,11438000000.0,10013000000.0,10631000000.0,10203000000.0
otherOperatingExpenses,-7000000.0,12000000.0,11000000.0,17000000.0
interestExpense,-1597000000.0,-1437000000.0,-946000000.0,-950000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2621000000.0,1981000000.0,1801000000.0,1749000000.0
totalRevenue,38655000000.0,33014000000.0,37266000000.0,34300000000.0
totalOperatingExpenses,27217000000.0,23001000000.0,26635000000.0,24097000000.0
costOfRevenue,15357000000.0,13433000000.0,14619000000.0,13067000000.0
totalOtherIncomeExpenseNet,987000000.0,-264000000.0,155000000.0,-1978000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,9804000000.0,7768000000.0,8985000000.0,6476000000.0
netIncomeApplicableToCommonShares,9771000000.0,7747000000.0,8920000000.0,6434000000.0
investments,1029000000.0,252000000.0,2269000000.0,7188000000.0
changeToLiabilities,2843000000.0,-860000000.0,1318000000.0,-251000000.0
totalCashflowsFromInvestingActivities,-2765000000.0,-1477000000.0,-3976000000.0,5927000000.0
netBorrowings,228000000.0,-1862000000.0,-1841000000.0,-2995000000.0
totalCashFromFinancingActivities,-6786000000.0,-8070000000.0,-9004000000.0,-10347000000.0
changeToOperatingActivities,-592000000.0,585000000.0,-707000000.0,-796000000.0
issuanceOfStock,702000000.0,647000000.0,1012000000.0,1476000000.0
changeInCash,2915000000.0,373000000.0,-2581000000.0,2945000000.0
repurchaseOfStock,-111000000.0,-118000000.0,-1103000000.0,-1912000000.0
effectOfExchangeRate,-159000000.0,76000000.0,-72000000.0,-262000000.0
totalCashFromOperatingActivities,12625000000.0,9844000000.0,10471000000.0,7627000000.0
depreciation,1452000000.0,1536000000.0,1365000000.0,1086000000.0
otherCashflowsFromInvestingActivities,51000000.0,122000000.0,-56000000.0,-60000000.0
dividendsPaid,-7252000000.0,-7047000000.0,-6845000000.0,-6644000000.0
changeToInventory,-135000000.0,99000000.0,-183000000.0,-203000000.0
changeToAccountReceivables,-225000000.0,882000000.0,-158000000.0,27000000.0
otherCashflowsFromFinancingActivities,-353000000.0,310000000.0,-227000000.0,-272000000.0
changeToNetincome,77000000.0,-129000000.0,-180000000.0,1347000000.0
capitalExpenditures,-1367000000.0,-1177000000.0,-2054000000.0,-1548000000.0
annualDilutedAverageShares,4340000000.0,4323000000.0,4314000000.0,4299000000.0
