,2022,2021,2020,2019
intangibleAssets,942000000.0,997000000.0,1066000000.0,1258000000.0
capitalSurplus,3657000000.0,3461000000.0,3337000000.0,3245000000.0
totalLiab,39657000000.0,39112000000.0,36683000000.0,30283000000.0
totalStockholderEquity,9452000000.0,9576000000.0,8602000000.0,7886000000.0
minorityInterest,-23000000.0,-26000000.0,-29000000.0,-51000000.0
deferredLongTermLiab,151000000.0,81000000.0,,
otherCurrentLiab,6029000000.0,5441000000.0,3915000000.0,3568000000.0
totalAssets,49086000000.0,48662000000.0,45256000000.0,38118000000.0
commonStock,1918000000.0,1918000000.0,1918000000.0,1918000000.0
otherCurrentAssets,1082000000.0,1367000000.0,1179000000.0,1347000000.0
retainedEarnings,24066000000.0,23018000000.0,20978000000.0,19681000000.0
otherLiab,4099000000.0,4737000000.0,3805000000.0,3937000000.0
goodWill,3076000000.0,3076000000.0,3076000000.0,3087000000.0
treasuryStock,-20189000000.0,-18821000000.0,-17631000000.0,-16958000000.0
otherAssets,832000000.0,657000000.0,461000000.0,527000000.0
cash,1821000000.0,1687000000.0,399000000.0,429000000.0
totalCurrentLiabilities,16323000000.0,15366000000.0,14243000000.0,14274000000.0
shortLongTermDebt,451000000.0,844000000.0,1926000000.0,3103000000.0
otherStockholderEquity,-467000000.0,-630000000.0,-640000000.0,-346000000.0
propertyPlantEquipment,30484000000.0,29182000000.0,28685000000.0,21635000000.0
totalCurrentAssets,12174000000.0,12503000000.0,10890000000.0,10803000000.0
longTermInvestments,1578000000.0,2247000000.0,1078000000.0,808000000.0
netTangibleAssets,5434000000.0,5503000000.0,4460000000.0,3541000000.0
shortTermInvestments,1510000000.0,,,
netReceivables,1828000000.0,1781000000.0,1706000000.0,1589000000.0
longTermDebt,11294000000.0,11566000000.0,11349000000.0,11248000000.0
inventory,6783000000.0,7063000000.0,7084000000.0,6846000000.0
accountsPayable,7117000000.0,6679000000.0,6349000000.0,6059000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2051000000,3370000000,1981000000,3978000000
netIncome,1655000000,2585000000,1659000000,3110000000
sellingGeneralAdministrative,24800000000,25863000000,22525000000,22359000000
grossProfit,31333000000,31789000000,27846000000,27501000000
ebit,3709000000,3179000000,2672000000,2677000000
operatingIncome,3709000000,3179000000,2672000000,2677000000
otherOperatingExpenses,,,,
interestExpense,-571000000,-544000000,-603000000,-620000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,385000000,782000000,469000000,900000000
totalRevenue,137888000000,132498000000,122286000000,121852000000
totalOperatingExpenses,134179000000,129319000000,119614000000,119175000000
costOfRevenue,106555000000,100709000000,94440000000,94351000000
totalOtherIncomeExpenseNet,-1658000000,191000000,-691000000,1301000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1666000000,2588000000,1512000000,3078000000
netIncomeApplicableToCommonShares,1639000000,2556000000,1640000000,3076000000
changeToLiabilities,438000000.0,330000000.0,342000000.0,213000000.0
totalCashflowsFromInvestingActivities,-2611000000.0,-2814000000.0,-2611000000.0,-1186000000.0
netBorrowings,-1386000000.0,-848000000.0,-1141000000.0,-457000000.0
totalCashFromFinancingActivities,-3445000000.0,-2713000000.0,-2083000000.0,-2896000000.0
changeToOperatingActivities,-702000000.0,1270000000.0,-125000000.0,361000000.0
issuanceOfStock,172000000.0,127000000.0,55000000.0,65000000.0
changeInCash,134000000.0,1288000000.0,-30000000.0,82000000.0
repurchaseOfStock,-1647000000.0,-1324000000.0,-465000000.0,-2010000000.0
totalCashFromOperatingActivities,6190000000.0,6815000000.0,4664000000.0,4164000000.0
depreciation,3488000000.0,3440000000.0,3374000000.0,2545000000.0
otherCashflowsFromInvestingActivities,-150000000.0,-114000000.0,-83000000.0,-75000000.0
dividendsPaid,-589000000.0,-534000000.0,-486000000.0,-437000000.0
changeToInventory,80000000.0,7000000.0,-351000000.0,-354000000.0
changeToAccountReceivables,-61000000.0,-90000000.0,-36000000.0,-208000000.0
otherCashflowsFromFinancingActivities,5000000.0,-134000000.0,-46000000.0,-57000000.0
changeToNetincome,1276000000.0,-751000000.0,-57000000.0,-1792000000.0
capitalExpenditures,-2614000000.0,-2865000000.0,-3128000000.0,-2967000000.0
investments,,,,-157000000.0
