,2021,2020,2019,2018
intangibleAssets,846000000.0,1318000000.0,1309000000.0,1244000000.0
capitalSurplus,2885000000.0,3133000000.0,3374000000.0,3627000000.0
totalLiab,62451000000.0,61055000000.0,60313000000.0,56930000000.0
totalStockholderEquity,17846000000.0,17860000000.0,19119000000.0,18518000000.0
minorityInterest,1329000000.0,1321000000.0,2811000000.0,2868000000.0
deferredLongTermLiab,3476000000.0,3068000000.0,2840000000.0,2513000000.0
otherCurrentLiab,5761000000.0,5119000000.0,4583000000.0,4183000000.0
totalAssets,81626000000.0,80236000000.0,82243000000.0,78316000000.0
commonStock,2000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,5840000000.0,4838000000.0,4574000000.0,4820000000.0
retainedEarnings,14776000000.0,14150000000.0,15823000000.0,15773000000.0
otherLiab,22984000000.0,22528000000.0,21675000000.0,19345000000.0
goodWill,349000000.0,785000000.0,767000000.0,665000000.0
treasuryStock,183000000.0,574000000.0,-81000000.0,-885000000.0
otherAssets,5705000000.0,4858000000.0,4409000000.0,4033000000.0
cash,621000000.0,478000000.0,336000000.0,405000000.0
totalCurrentLiabilities,30181000000.0,27954000000.0,26488000000.0,26226000000.0
deferredLongTermAssetCharges,45000000.0,43000000.0,37000000.0,37000000.0
shortLongTermDebt,93000000.0,35000000.0,75000000.0,15000000.0
otherStockholderEquity,186000000.0,581000000.0,-68000000.0,-880000000.0
propertyPlantEquipment,10160000000.0,10821000000.0,16141000000.0,15511000000.0
totalCurrentAssets,14761000000.0,13027000000.0,12692000000.0,12391000000.0
longTermInvestments,49805000000.0,49427000000.0,46925000000.0,44472000000.0
netTangibleAssets,17388000000.0,16465000000.0,17705000000.0,17242000000.0
shortTermInvestments,4860000000.0,4674000000.0,4628000000.0,3869000000.0
netReceivables,3433000000.0,2995000000.0,3101000000.0,3140000000.0
longTermDebt,8980000000.0,10041000000.0,11443000000.0,11345000000.0
accountsPayable,24174000000.0,22706000000.0,21720000000.0,21984000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2182000000.0,-1464000000.0,1119000000.0,834000000.0
netIncome,1578000000.0,-931000000.0,932000000.0,636000000.0
sellingGeneralAdministrative,2931000000.0,3989000000.0,4851000000.0,4806000000.0
grossProfit,5537000000.0,3810000000.0,6660000000.0,6236000000.0
ebit,2606000000.0,-179000000.0,1809000000.0,1430000000.0
operatingIncome,2606000000.0,-179000000.0,1809000000.0,1430000000.0
otherOperatingExpenses,,,,
interestExpense,-424000000.0,-515000000.0,-591000000.0,-574000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,479000000.0,-173000000.0,248000000.0,128000000.0
totalRevenue,14657000000.0,12549000000.0,14931000000.0,14066000000.0
totalOperatingExpenses,12051000000.0,12728000000.0,13122000000.0,12636000000.0
costOfRevenue,9120000000.0,8739000000.0,8271000000.0,7830000000.0
totalOtherIncomeExpenseNet,-424000000.0,-1285000000.0,-690000000.0,-596000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1703000000.0,-1291000000.0,871000000.0,706000000.0
netIncomeApplicableToCommonShares,1578000000.0,-931000000.0,932000000.0,636000000.0
investments,-1289000000.0,-101000000.0,693000000.0,-465000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-1187000000.0,-1414000000.0,-671000000.0,-1444000000.0
netBorrowings,6000000.0,933000000.0,120000000.0,-178000000.0
totalCashFromFinancingActivities,-1289000000.0,-198000000.0,-1144000000.0,-2835000000.0
changeToOperatingActivities,2384000000.0,1381000000.0,169000000.0,272000000.0
changeInCash,143000000.0,142000000.0,-69000000.0,-67000000.0
repurchaseOfStock,-1136000000.0,-923000000.0,-1051000000.0,-1026000000.0
effectOfExchangeRate,-4000000.0,9000000.0,5000000.0,-10000000.0
totalCashFromOperatingActivities,2623000000.0,1745000000.0,1741000000.0,4222000000.0
depreciation,515000000.0,734000000.0,943000000.0,912000000.0
otherCashflowsFromInvestingActivities,87000000.0,-127000000.0,-206000000.0,-60000000.0
dividendsPaid,-65000000.0,-70000000.0,-76000000.0,-80000000.0
changeToAccountReceivables,-1409000000.0,-425000000.0,114000000.0,-131000000.0
otherCashflowsFromFinancingActivities,-94000000.0,-138000000.0,-137000000.0,-1551000000.0
changeToNetincome,-396000000.0,1557000000.0,77000000.0,831000000.0
capitalExpenditures,-482000000.0,-710000000.0,-1041000000.0,-995000000.0
annualDilutedAverageShares,260200000.0,280320000.0,303350000.0,319930000.0
