,2022,2021,2020,2019,2018
capitalSurplus,,8807891000.0,8676056000.0,8578219000.0,8496677000.0
totalLiab,,12211496000.0,11835776000.0,13325681000.0,13883224000.0
totalStockholderEquity,,20816425000.0,17994856000.0,15949517000.0,14581535000.0
minorityInterest,,179857000.0,104545000.0,84313000.0,101422000.0
otherCurrentLiab,,377021000.0,341765000.0,294138000.0,319109000.0
totalAssets,,33207778000.0,29935177000.0,29359511000.0,28566181000.0
commonStock,,33994000.0,33838000.0,33656000.0,33443000.0
otherCurrentAssets,,21927000.0,15211000.0,10673000.0,19574000.0
retainedEarnings,,14685329000.0,10564994000.0,8295001000.0,6487650000.0
otherLiab,,3791034000.0,2854761000.0,2146100000.0,1812159000.0
goodWill,,3442359000.0,3442359000.0,3442359000.0,3442359000.0
treasuryStock,,-2710789000.0,-1280032000.0,-957359000.0,-436235000.0
otherAssets,,905780000.0,863467000.0,835165000.0,1142828000.0
cash,,2754723000.0,2746867000.0,1211883000.0,1369973000.0
totalCurrentLiabilities,,4031160000.0,1381009000.0,1414620000.0,1715207000.0
deferredLongTermAssetCharges,,148445000.0,157622000.0,261914000.0,510413000.0
shortLongTermDebt,,718279000.0,1906000.0,15178000.0,
otherStockholderEquity,,-1341000.0,-805000.0,498000.0,-366000.0
propertyPlantEquipment,,339906000.0,411518000.0,279527000.0,319861000.0
totalCurrentAssets,,25102861000.0,22608688000.0,22202288000.0,21284918000.0
longTermInvestments,,3020636000.0,2187189000.0,2076236000.0,1835408000.0
netTangibleAssets,,17184367000.0,14362798000.0,12291642000.0,10901488000.0
netReceivables,,588683000.0,385300000.0,406030000.0,310670000.0
longTermDebt,,3934059000.0,5955758000.0,7776638000.0,8558356000.0
inventory,,19169397000.0,17175148000.0,18091614000.0,17346598000.0
accountsPayable,,1321247000.0,1037338000.0,1069179000.0,1325398000.0
researchDevelopment,,,,,
effectOfAccountingCharges,,,,,
incomeBeforeTax,,5819058000.0,3123788000.0,2434292000.0,2262684000.0
netIncome,,4430111000.0,2465036000.0,1849052000.0,1695831000.0
sellingGeneralAdministrative,,2195078000.0,2030541000.0,321188000.0,343934000.0
grossProfit,,7333336000.0,5171203000.0,2802295000.0,2334185000.0
ebit,,5684173000.0,3133314000.0,2467389000.0,2178381000.0
operatingIncome,,5684173000.0,3133314000.0,2467389000.0,2178381000.0
otherOperatingExpenses,,-545915000.0,7348000.0,13718000.0,-188130000.0
interestExpense,,-20142000.0,-22401000.0,-17620000.0,-11258000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,1362509000.0,656235000.0,592173000.0,545171000.0
totalRevenue,,27130676000.0,22488854000.0,22259561000.0,20571631000.0
totalOperatingExpenses,,21446503000.0,19355540000.0,19792172000.0,18393250000.0
costOfRevenue,,19797340000.0,17317651000.0,19457266000.0,18237446000.0
totalOtherIncomeExpenseNet,,134885000.0,-9526000.0,-33097000.0,84303000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,,4456549000.0,2467553000.0,1842119000.0,1717513000.0
netIncomeApplicableToCommonShares,,4377192000.0,2436647000.0,1832910000.0,1680964000.0
investments,,-114205000.0,-254886000.0,3474000.0,189100000.0
changeToLiabilities,,881309000.0,266488000.0,-14639000.0,412796000.0
totalCashflowsFromInvestingActivities,,-105086000.0,-280205000.0,19596000.0,-593954000.0
netBorrowings,,-1078983000.0,-2294141000.0,-1035464000.0,-1760318000.0
totalCashFromFinancingActivities,,-2404735000.0,-2446575000.0,-1629224000.0,-2195901000.0
changeToOperatingActivities,,-281821000.0,267151000.0,-496147000.0,-19118000.0
changeInCash,,22953000.0,1464039000.0,-127285000.0,-1098108000.0
repurchaseOfStock,,-1430212000.0,-321524000.0,-523074000.0,-299833000.0
totalCashFromOperatingActivities,,2532774000.0,4190819000.0,1482343000.0,1691747000.0
depreciation,,85954000.0,94553000.0,92200000.0,91181000.0
otherCashflowsFromInvestingActivities,,16000.0,1643000.0,1643000.0,14077000.0
dividendsPaid,,-309776000.0,-195043000.0,-51454000.0,-49159000.0
changeToInventory,,-1960614000.0,781362000.0,-623644000.0,-135870000.0
changeToAccountReceivables,,-289776000.0,25868000.0,312255000.0,-431183000.0
otherCashflowsFromFinancingActivities,,414236000.0,364133000.0,-19725000.0,-89652000.0
changeToNetincome,,-332389000.0,290361000.0,363266000.0,78110000.0
capitalExpenditures,,-65172000.0,-72752000.0,-86497000.0,-130439000.0
issuanceOfStock,,,,493000.0,3061000.0
annualDilutedAverageShares,,306612000.0,309407000.0,318422000.0,
