,2021,2020,2019,2018
intangibleAssets,3735500000.0,3961100000.0,4034500000.0,3911100000.0
totalLiab,10091400000.0,10614400000.0,10459300000.0,9194800000.0
totalStockholderEquity,10273400000.0,9436600000.0,7567000000.0,6971400000.0
minorityInterest,20600000.0,20700000.0,20100000.0,19100000.0
otherCurrentLiab,1078000000.0,1145000000.0,918800000.0,798800000.0
totalAssets,20385400000.0,20071700000.0,18046400000.0,16185300000.0
commonStock,8500000.0,9000000.0,9000000.0,11700000.0
retainedEarnings,10456800000.0,9479200000.0,7903600000.0,7079800000.0
otherLiab,1164900000.0,1354900000.0,1326000000.0,1274000000.0
goodWill,7958900000.0,7751500000.0,7865000000.0,7360300000.0
treasuryStock,-191900000.0,-161900000.0,-372400000.0,-1571200000.0
otherAssets,399600000.0,350900000.0,356500000.0,277700000.0
cash,1472700000.0,1320800000.0,337500000.0,426800000.0
totalCurrentLiabilities,2782900000.0,3078500000.0,2655800000.0,1878900000.0
deferredLongTermAssetCharges,21600000.0,20600000.0,8800000.0,1700000.0
shortLongTermDebt,1500000.0,376700000.0,415200000.0,10000000.0
otherStockholderEquity,-191900000.0,-161900000.0,-372400000.0,-463100000.0
propertyPlantEquipment,2897100000.0,2809300000.0,2724300000.0,1740300000.0
totalCurrentAssets,5330500000.0,5125400000.0,2981200000.0,2835400000.0
longTermInvestments,63800000.0,73500000.0,84900000.0,60500000.0
netTangibleAssets,-1421000000.0,-2276000000.0,-4332500000.0,-4300000000.0
shortTermInvestments,10900000.0,,9100000.0,
netReceivables,2978300000.0,3016600000.0,2025300000.0,1862300000.0
longTermDebt,5416500000.0,5419000000.0,5789800000.0,5990900000.0
inventory,401400000.0,423200000.0,244700000.0,237300000.0
accountsPayable,621300000.0,638900000.0,632300000.0,634600000.0
capitalSurplus,,110300000.0,26800000.0,1451100000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3126600000,2219100000,1104900000,1268300000
netIncome,2377300000,1556100000,823800000,883700000
sellingGeneralAdministrative,1853900000,1672000000,1624500000,1578400000
grossProfit,5624300000,4952800000,3252500000,3176400000
ebit,3489200000,3032900000,1384800000,1366300000
operatingIncome,3489200000,3032900000,1384800000,1366300000
otherOperatingExpenses,,,,
interestExpense,-212100000,-207400000,-240700000,-244200000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,747100000,662100000,280000000,384400000
totalRevenue,16120900000,13978500000,11554800000,11333400000
totalOperatingExpenses,12631700000,10945600000,10170000000,9967100000
costOfRevenue,10496600000,9025700000,8302300000,8157000000
totalOtherIncomeExpenseNet,-362600000,-813800000,-279900000,-98000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2379500000,1557000000,824900000,883900000
netIncomeApplicableToCommonShares,2377300000,1556100000,823800000,883700000
investments,-14600000.0,-39100000.0,-16300000.0,-22300000.0
changeToLiabilities,34800000.0,43100000.0,25300000.0,9500000.0
totalCashflowsFromInvestingActivities,-884600000.0,-643200000.0,-1283100000.0,206700000.0
netBorrowings,-375000000.0,-412200000.0,210100000.0,-695000000.0
totalCashFromFinancingActivities,-2065800000.0,-517400000.0,-252700000.0,-1389900000.0
changeToOperatingActivities,-344100000.0,252500000.0,-174700000.0,-30100000.0
issuanceOfStock,51700000.0,55900000.0,64700000.0,69100000.0
changeInCash,151900000.0,983300000.0,-89300000.0,110200000.0
repurchaseOfStock,-1715900000.0,-134500000.0,-490600000.0,-748000000.0
effectOfExchangeRate,-7300000.0,8600000.0,1800000.0,-12000000.0
totalCashFromOperatingActivities,3109600000.0,2135300000.0,1444700000.0,1305400000.0
depreciation,560100000.0,502400000.0,478100000.0,452700000.0
changeToInventory,2800000.0,-196600000.0,-21900000.0,-18900000.0
changeToAccountReceivables,42800000.0,-955900000.0,-123100000.0,-30800000.0
otherCashflowsFromFinancingActivities,-26600000.0,-26600000.0,-36900000.0,-16000000.0
changeToNetincome,339300000.0,838900000.0,338100000.0,-57800000.0
capitalExpenditures,-460400000.0,-381700000.0,-400200000.0,-379800000.0
otherCashflowsFromInvestingActivities,,3100000.0,3100000.0,18300000.0
