,2021,2020,2019,2018
intangibleAssets,13802000000,16184000000,16137000000,16223000000
capitalSurplus,40180000000,40202000000,40201000000,40151000000
totalLiab,36164000000,38647000000,34977000000,36290000000
totalStockholderEquity,44035000000,47317000000,49074000000,51596000000
minorityInterest,1406000000,2265000000,2561000000,5500000000
deferredLongTermLiab,62000000,96000000,90000000,148000000
otherCurrentLiab,4594000000,3946000000,3213000000,4255000000
totalAssets,81605000000,88229000000,86612000000,93386000000
commonStock,1000000,1000000,1000000,1000000
otherCurrentAssets,369000000,450000000,589000000,5964000000
retainedEarnings,18710000000,17178000000,16842000000,16529000000
otherLiab,10439000000,11961000000,11408000000,11046000000
goodWill,27038000000,28201000000,27019000000,26874000000
treasuryStock,-14856000000,-10064000000,-7970000000,-5085000000
otherAssets,950000000,1035000000,948000000,1386000000
cash,2823000000,3754000000,2700000000,4466000000
totalCurrentLiabilities,13643000000,13740000000,12160000000,12956000000
deferredLongTermAssetCharges,242000000,268000000,243000000,510000000
shortLongTermDebt,1709000000,751000000,1499000000,1523000000
otherStockholderEquity,-5048000000,-4690000000,-4814000000,-4456000000
propertyPlantEquipment,27019000000,29801000000,30089000000,29717000000
totalCurrentAssets,10159000000,10924000000,10352000000,17272000000
longTermInvestments,2637000000,2084000000,2067000000,1914000000
netTangibleAssets,3195000000,2932000000,5918000000,8499000000
netReceivables,4829000000,4590000000,4965000000,4830000000
longTermDebt,11335000000,12152000000,10576000000,12207000000
inventory,1733000000,1729000000,1697000000,1651000000
accountsPayable,3503000000,3095000000,3266000000,3219000000
researchDevelopment,143000000,152000000,184000000,113000000
effectOfAccountingCharges,,,,
incomeBeforeTax,5218000000,3469000000,3041000000,5105000000
netIncome,3826000000,2501000000,2285000000,4381000000
sellingGeneralAdministrative,2997000000,3016000000,3425000000,1625000000
grossProfit,13250000000,11860000000,11584000000,5816000000
ebit,5501000000,4106000000,3368000000,2215000000
operatingIncome,5501000000,4106000000,3368000000,2215000000
otherOperatingExpenses,-26000000,-40000000,-68000000,33000000
interestExpense,-170000000,-239000000,-246000000,-277000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1262000000,847000000,769000000,817000000
totalRevenue,30793000000,27243000000,28228000000,14836000000
totalOperatingExpenses,25292000000,23137000000,24860000000,12621000000
costOfRevenue,17543000000,15383000000,16644000000,9020000000
totalOtherIncomeExpenseNet,-283000000,-637000000,-327000000,2890000000
discontinuedOperations,5000000,4000000,102000000,108000000
netIncomeFromContinuingOps,3956000000,2622000000,2272000000,4288000000
netIncomeApplicableToCommonShares,3826000000,2501000000,2285000000,4381000000
changeToLiabilities,447000000.0,109000000.0,-174000000.0,287000000.0
totalCashflowsFromInvestingActivities,-3007000000.0,-2986000000.0,1129000000.0,5340000000.0
netBorrowings,-514000000.0,1313000000.0,-1260000000.0,-2908000000.0
totalCashFromFinancingActivities,-7588000000.0,-3345000000.0,-8992000000.0,-4996000000.0
changeToOperatingActivities,109000000.0,-229000000.0,-73000000.0,-97000000.0
issuanceOfStock,50000000.0,47000000.0,72000000.0,77000000.0
changeInCash,-931000000.0,1054000000.0,-1752000000.0,3986000000.0
repurchaseOfStock,-4612000000.0,-2457000000.0,-2658000000.0,-599000000.0
effectOfExchangeRate,-61000000.0,-44000000.0,-77000000.0,-60000000.0
totalCashFromOperatingActivities,9725000000.0,7429000000.0,6188000000.0,3702000000.0
depreciation,4635000000.0,4626000000.0,4675000000.0,1830000000.0
dividendsPaid,-2189000000.0,-2028000000.0,-1891000000.0,-1166000000.0
changeToInventory,-129000000.0,18000000.0,-81000000.0,-4000000.0
changeToAccountReceivables,754000000.0,109000000.0,167000000.0,-124000000.0
otherCashflowsFromFinancingActivities,-323000000.0,-220000000.0,-3255000000.0,-400000000.0
changeToNetincome,83000000.0,295000000.0,-611000000.0,-2571000000.0
capitalExpenditures,-3086000000.0,-3400000000.0,-3682000000.0,-1883000000.0
otherCashflowsFromInvestingActivities,,,-60000000.0,-23000000.0
