,2021,2020,2019,2018
intangibleAssets,746149000,814219000,850338000,928752000
capitalSurplus,1474093000,1444584000,1418239000,1415188000
totalLiab,6795493000,6665156000,7707299000,6554650000
totalStockholderEquity,5771744000,5655718000,5008876000,4782298000
minorityInterest,38917000,39659000,63781000,56454000
otherCurrentLiab,219338000,233519000,218937000,165694000
totalAssets,12606154000,12360533000,12779956000,11393402000
commonStock,3215000,3208000,3199000,3184000
otherCurrentAssets,58000000,57000000,54975000,56211000
retainedEarnings,5793515000,4776040000,4140136000,3598876000
otherLiab,643669000,666061000,652452000,634758000
goodWill,4539896000,4591569000,4406535000,4381458000
treasuryStock,-1499079000,-568114000,-552698000,-234950000
otherAssets,224972000,163662000,149848000,147945000
cash,274134000,312154000,523020000,331761000
totalCurrentLiabilities,2165446000,1988491000,2178512000,1690348000
deferredLongTermAssetCharges,31941000,16965000,10119000,3378000
shortLongTermDebt,20006000,103485000,317928000,121953000
otherStockholderEquity,-153130000,-99009000,-200885000,-174950000
propertyPlantEquipment,2660064000,2601827000,2542911000,1220162000
totalCurrentAssets,4254368000,4034032000,4687819000,4520949000
longTermInvestments,180705000,155224000,142505000,194136000
netTangibleAssets,485699000,249930000,-247997000,-527912000
netReceivables,1072772000,1073389000,1131132000,1154083000
longTermDebt,2740350000,2767544000,3707310000,4189578000
inventory,2610515000,2414612000,2772777000,2836075000
accountsPayable,1176015000,932406000,942795000,942398000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1422067000,890007000,758745000,678960000
netIncome,1090873000,638423000,541260000,480118000
sellingGeneralAdministrative,3584487000,3324249000,3581258000,3353278000
grossProfit,5321981000,4598990000,4872448000,4574857000
ebit,1477502000,1002449000,1000420000,947366000
operatingIncome,1477502000,1002449000,1000420000,947366000
otherOperatingExpenses,,,,
interestExpense,-72078000,-103784000,-138504000,-146377000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,330591000,249498000,215330000,191395000
totalRevenue,13088504000,11628830000,12506109000,11876674000
totalOperatingExpenses,11611002000,10626381000,11505689000,10929308000
costOfRevenue,7766523000,7029840000,7633661000,7301817000
totalOtherIncomeExpenseNet,-55435000,-112442000,-241675000,-268406000
discontinuedOperations,648000,-198000,645000,-4397000
netIncomeFromContinuingOps,1091476000,640509000,543415000,487565000
netIncomeApplicableToCommonShares,1090873000,638423000,541260000,480118000
changeToLiabilities,283185000.0,-64032000.0,3712000.0,-77621000.0
totalCashflowsFromInvestingActivities,-418758000.0,-165887000.0,-264853000.0,-1458939000.0
netBorrowings,85300000.0,-1364544000.0,-300558000.0,959037000.0
totalCashFromFinancingActivities,-985135000.0,-1512551000.0,-600669000.0,882995000.0
changeToOperatingActivities,29895000.0,-856000.0,26574000.0,6967000.0
changeInCash,-38020000.0,-222703000.0,197607000.0,57484000.0
repurchaseOfStock,-876844000.0,-117292000.0,-291813000.0,-60000000.0
effectOfExchangeRate,-1174000.0,11865000.0,-904000.0,-77311000.0
totalCashFromOperatingActivities,1367047000.0,1443870000.0,1064033000.0,710739000.0
depreciation,283091000.0,293964000.0,312082000.0,294077000.0
otherCashflowsFromInvestingActivities,-20959000.0,-2579000.0,12128000.0,38724000.0
dividendsPaid,-72873000.0,-72873000.0,-72873000.0,-72873000.0
changeToInventory,-234514000.0,433072000.0,15460000.0,-127153000.0
changeToAccountReceivables,-16234000.0,93588000.0,26419000.0,241000.0
otherCashflowsFromFinancingActivities,-120718000.0,-30715000.0,-8298000.0,-16042000.0
changeToNetincome,-4198000.0,14766000.0,112750000.0,136235000.0
capitalExpenditures,-293466000.0,-172695000.0,-265730000.0,-250027000.0
investments,,,,-60300000.0
