,2021,2020,2019,2018
intangibleAssets,3483000000.0,3698000000.0,3724000000.0,3941000000.0
capitalSurplus,94000000.0,221000000.0,,
totalLiab,39914000000.0,44672000000.0,44357000000.0,43427000000.0
totalStockholderEquity,10959000000.0,6015000000.0,3127000000.0,1394000000.0
otherCurrentLiab,9778000000.0,9390000000.0,8975000000.0,8374000000.0
totalAssets,50873000000.0,50710000000.0,47528000000.0,44876000000.0
commonStock,271000000.0,279000000.0,280000000.0,281000000.0
otherCurrentAssets,688000000.0,1150000000.0,531000000.0,418000000.0
retainedEarnings,21600000000.0,21636000000.0,18401000000.0,15434000000.0
otherLiab,13146000000.0,19070000000.0,18981000000.0,16425000000.0
goodWill,10813000000.0,10806000000.0,10604000000.0,10769000000.0
treasuryStock,-11006000000.0,-16121000000.0,-15554000000.0,-14321000000.0
otherAssets,7176000000.0,8831000000.0,8314000000.0,6739000000.0
cash,3604000000.0,3160000000.0,1514000000.0,772000000.0
totalCurrentLiabilities,13997000000.0,13933000000.0,13972000000.0,14398000000.0
deferredLongTermAssetCharges,2290000000.0,3475000000.0,3319000000.0,3208000000.0
shortLongTermDebt,6000000.0,500000000.0,1250000000.0,900000000.0
otherStockholderEquity,-11006000000.0,-16121000000.0,-15554000000.0,-14321000000.0
propertyPlantEquipment,8897000000.0,7213000000.0,6591000000.0,6124000000.0
totalCurrentAssets,19815000000.0,19378000000.0,17095000000.0,16103000000.0
longTermInvestments,689000000.0,784000000.0,1200000000.0,1200000000.0
netTangibleAssets,-3337000000.0,-8489000000.0,-11201000000.0,-13316000000.0
netReceivables,12542000000.0,11523000000.0,11431000000.0,11916000000.0
longTermDebt,11670000000.0,11669000000.0,11404000000.0,12604000000.0
inventory,2981000000.0,3545000000.0,3619000000.0,2997000000.0
accountsPayable,780000000.0,880000000.0,1281000000.0,2402000000.0
minorityInterest,,23000000.0,44000000.0,55000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,7550000000,8235000000,7241000000,5838000000
netIncome,6315000000,6833000000,6230000000,5046000000
sellingGeneralAdministrative,1241000000,-241000000,608000000,777000000
grossProfit,9097000000,8681000000,8367000000,7370000000
ebit,7821000000,8877000000,7698000000,6644000000
operatingIncome,7821000000,8877000000,7698000000,6644000000
otherOperatingExpenses,35000000,45000000,61000000,-51000000
interestExpense,-569000000,-591000000,-653000000,-668000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1235000000,1347000000,1011000000,792000000
totalRevenue,67044000000,65398000000,59812000000,53762000000
totalOperatingExpenses,59223000000,56521000000,52114000000,47118000000
costOfRevenue,57947000000,56717000000,51445000000,46392000000
totalOtherIncomeExpenseNet,-271000000,-642000000,-457000000,-806000000
discontinuedOperations,,-55000000.0,-55000000.0,-55000000.0
netIncomeFromContinuingOps,6315000000,6888000000,6230000000,5046000000
netIncomeApplicableToCommonShares,6315000000,6833000000,6230000000,5046000000
changeToLiabilities,464000000,119000000,-535000000,377000000
totalCashflowsFromInvestingActivities,-1161000000,-2010000000,-1241000000,-1075000000
netBorrowings,-500000000,-519000000,-1500000000,-150000000
totalCashFromFinancingActivities,-7616000000,-4527000000,-5328000000,-4152000000
changeToOperatingActivities,-267000000,-1197000000,81000000,-3574000000
changeInCash,444000000,1646000000,742000000,-2089000000
repurchaseOfStock,-4087000000,-1100000000,-1200000000,-1492000000
totalCashFromOperatingActivities,9221000000,8183000000,7311000000,3138000000
depreciation,1189000000,1124000000,1078000000,1055000000
otherCashflowsFromInvestingActivities,361000000,38000000,243000000,203000000
dividendsPaid,-2940000000,-2764000000,-2556000000,-2347000000
changeToInventory,564000000,74000000,-622000000,-119000000
changeToAccountReceivables,-1019000000,-92000000,485000000,-1659000000
otherCashflowsFromFinancingActivities,-89000000,-144000000,-72000000,-163000000
changeToNetincome,1755000000,1175000000,634000000,829000000
capitalExpenditures,-1522000000,-1766000000,-1484000000,-1278000000
