,2021,2020,2019,2018
capitalSurplus,2749000000.0,2704000000.0,2446000000.0,2045500000.0
totalLiab,12563000000.0,11822000000.0,11296000000.0,10640300000.0
totalStockholderEquity,5990000000.0,5688000000.0,5205000000.0,4585700000.0
deferredLongTermLiab,1917000000.0,1992000000.0,1819000000.0,1743500000.0
otherCurrentLiab,457000000.0,511000000.0,614000000.0,391200000.0
totalAssets,18553000000.0,17710000000.0,16701000000.0,15426000000.0
commonStock,3000000.0,2000000.0,2000000.0,2400000.0
otherCurrentAssets,344000000.0,204000000.0,231000000.0,159800000.0
retainedEarnings,3250000000.0,2994000000.0,2766000000.0,2545900000.0
otherLiab,3751000000.0,3743000000.0,3695000000.0,3749900000.0
treasuryStock,-12000000.0,-12000000.0,-9000000.0,-8100000.0
otherAssets,1980000000.0,2002000000.0,1830000000.0,1747200000.0
cash,39000000.0,54000000.0,16000000.0,20900000.0
totalCurrentLiabilities,2054000000.0,1297000000.0,2054000000.0,1644100000.0
shortLongTermDebt,633000000.0,8000000.0,657000000.0,256500000.0
otherStockholderEquity,-12000000.0,-12000000.0,-9000000.0,-8100000.0
propertyPlantEquipment,14987000000.0,14336000000.0,13527000000.0,12462400000.0
totalCurrentAssets,1069000000.0,887000000.0,876000000.0,785100000.0
longTermInvestments,517000000.0,485000000.0,468000000.0,431300000.0
netTangibleAssets,5990000000.0,5688000000.0,5205000000.0,4585700000.0
netReceivables,440000000.0,412000000.0,402000000.0,350400000.0
longTermDebt,6735000000.0,6769000000.0,5533000000.0,5246300000.0
inventory,246000000.0,217000000.0,227000000.0,211800000.0
accountsPayable,436000000.0,377000000.0,422000000.0,543300000.0
minorityInterest,,200000000.0,200000000.0,200000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,585000000.0,557000000.0,626000000.0,560000000.0
netIncome,659000000.0,614000000.0,557000000.0,512000000.0
sellingGeneralAdministrative,9000000.0,24000000.0,32000000.0,17000000.0
grossProfit,1556000000.0,1463000000.0,1456000000.0,1305000000.0
ebit,786000000.0,716000000.0,746000000.0,677000000.0
operatingIncome,786000000.0,716000000.0,746000000.0,677000000.0
otherOperatingExpenses,104000000.0,108000000.0,111000000.0,104000000.0
interestExpense,-292000000.0,-285000000.0,-283000000.0,-257000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-74000000.0,-57000000.0,69000000.0,48000000.0
totalRevenue,3669000000.0,3416000000.0,3648000000.0,3534000000.0
totalOperatingExpenses,2883000000.0,2700000000.0,2902000000.0,2857000000.0
costOfRevenue,2113000000.0,1953000000.0,2192000000.0,2229000000.0
totalOtherIncomeExpenseNet,-201000000.0,-159000000.0,-120000000.0,-117000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,659000000.0,614000000.0,557000000.0,512000000.0
netIncomeApplicableToCommonShares,659000000.0,614000000.0,557000000.0,512000000.0
changeToLiabilities,193000000.0,171000000.0,54000000.0,56000000.0
totalCashflowsFromInvestingActivities,-728000000.0,-951000000.0,-1287000000.0,-1067000000.0
netBorrowings,718000000.0,645000000.0,590000000.0,670000000.0
totalCashFromFinancingActivities,130000000.0,488000000.0,619000000.0,531000000.0
changeToOperatingActivities,-351000000.0,-373000000.0,-66000000.0,-106000000.0
issuanceOfStock,28000000.0,247000000.0,390000000.0,197000000.0
changeInCash,-16000000.0,38000000.0,-8000000.0,-8000000.0
totalCashFromOperatingActivities,582000000.0,501000000.0,660000000.0,528000000.0
depreciation,657000000.0,615000000.0,567000000.0,507000000.0
otherCashflowsFromInvestingActivities,441000000.0,415000000.0,353000000.0,567000000.0
dividendsPaid,-403000000.0,-377000000.0,-337000000.0,-312000000.0
changeToAccountReceivables,-530000000.0,-468000000.0,-472000000.0,-475000000.0
otherCashflowsFromFinancingActivities,-13000000.0,-27000000.0,-24000000.0,-24000000.0
changeToNetincome,-46000000.0,-58000000.0,20000000.0,34000000.0
capitalExpenditures,-1169000000.0,-1366000000.0,-1640000000.0,-1634000000.0
annualDilutedAverageShares,250700000.0,248700000.0,239000000.0,233600000.0
