,2021,2020,2019,2018
intangibleAssets,6970000000.0,8219000000.0,9567000000.0,10779000000.0
capitalSurplus,18972000000.0,20909000000.0,21874000000.0,22852000000.0
totalLiab,46153000000.0,48232000000.0,51272000000.0,50428000000.0
totalStockholderEquity,11840000000.0,11162000000.0,13470000000.0,19828000000.0
otherCurrentLiab,3334000000.0,1395000000.0,1501000000.0,1481000000.0
totalAssets,57993000000.0,59394000000.0,64742000000.0,70256000000.0
commonStock,1024000000.0,1097000000.0,1090000000.0,1080000000.0
otherCurrentAssets,9068000000.0,340000000.0,363000000.0,373000000.0
retainedEarnings,-5998000000.0,-8031000000.0,-6814000000.0,-1643000000.0
otherLiab,10385000000.0,10783000000.0,10278000000.0,9488000000.0
goodWill,15986000000.0,18870000000.0,21534000000.0,28031000000.0
treasuryStock,-2158000000.0,-2813000000.0,-2680000000.0,-2461000000.0
otherAssets,1155000000.0,1092000000.0,1108000000.0,1068000000.0
cash,354000000.0,406000000.0,1690000000.0,488000000.0
totalCurrentLiabilities,7169000000.0,6634000000.0,7258000000.0,5531000000.0
deferredLongTermAssetCharges,160000000.0,191000000.0,,
shortLongTermDebt,1535000000.0,2401000000.0,2265000000.0,614000000.0
otherStockholderEquity,-2158000000.0,-2813000000.0,-2680000000.0,-2461000000.0
propertyPlantEquipment,22346000000.0,28037000000.0,27765000000.0,26408000000.0
totalCurrentAssets,11536000000.0,3176000000.0,4768000000.0,3820000000.0
netTangibleAssets,-11116000000.0,-15927000000.0,-17631000000.0,-18982000000.0
netReceivables,1723000000.0,2035000000.0,2336000000.0,2532000000.0
longTermDebt,27177000000.0,29143000000.0,32209000000.0,35213000000.0
inventory,96000000.0,105000000.0,105000000.0,120000000.0
accountsPayable,758000000.0,1134000000.0,1724000000.0,1933000000.0
deferredLongTermLiab,,,254000000.0,260000000.0
longTermInvestments,,,,150000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2701000000,-782000000,-4766000000,-1563000000
minorityInterest,,,,
netIncome,2033000000,-1232000000,-5269000000,-1733000000
sellingGeneralAdministrative,3181000000,3323000000,3557000000,4165000000
grossProfit,11199000000,11778000000,12324000000,12581000000
ebit,4020000000,3745000000,3938000000,3296000000
operatingIncome,4020000000,3745000000,3938000000,3296000000
otherOperatingExpenses,,,,
interestExpense,-1522000000,-1668000000,-2021000000,-2177000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,668000000,450000000,503000000,170000000
totalRevenue,19687000000,20712000000,21458000000,22580000000
totalOperatingExpenses,15667000000,16967000000,17520000000,19284000000
costOfRevenue,8488000000,8934000000,9134000000,9999000000
totalOtherIncomeExpenseNet,-1319000000,-4527000000,-8704000000,-4859000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2033000000,-1232000000,-5269000000,-1733000000
netIncomeApplicableToCommonShares,2033000000,-1232000000,-5269000000,-1733000000
changeToLiabilities,-261000000,-543000000,-261000000,124000000
totalCashflowsFromInvestingActivities,-2712000000,-3564000000,-3570000000,-3078000000
netBorrowings,-1667000000,-3054000000,-750000000,-1661000000
totalCashFromFinancingActivities,-3807000000,-4250000000,-1911000000,-4023000000
changeToOperatingActivities,-28000000,-30000000,185000000,-193000000
changeInCash,-18000000,-1290000000,1199000000,-69000000
repurchaseOfStock,-1000000000,-1000000000,-1000000000,-1000000000
totalCashFromOperatingActivities,6501000000,6524000000,6680000000,7032000000
depreciation,3998000000,4710000000,4829000000,5120000000
otherCashflowsFromInvestingActivities,53000000,12000000,-35000000,-61000000
dividendsPaid,-1087000000,-1109000000,-1100000000,-2312000000
changeToAccountReceivables,-8000000,115000000,-5000000,25000000
otherCashflowsFromFinancingActivities,-53000000,-87000000,-61000000,-50000000
changeToNetincome,836000000,3477000000,7181000000,3614000000
capitalExpenditures,-2900000000,-3729000000,-3628000000,-3175000000
