,2021,2020,2019,2018
intangibleAssets,295000000.0,295000000.0,296000000.0,400000000.0
capitalSurplus,4224000000.0,4191000000.0,1581000000.0,1510000000.0
totalLiab,25906000000.0,25712000000.0,16063000000.0,16390000000.0
totalStockholderEquity,10414000000.0,8876000000.0,9832000000.0,9853000000.0
otherCurrentLiab,5646000000.0,4390000000.0,4457000000.0,4134000000.0
totalAssets,36320000000.0,34588000000.0,25895000000.0,26243000000.0
commonStock,888000000.0,888000000.0,808000000.0,808000000.0
otherCurrentAssets,329000000.0,10000000.0,48000000.0,43000000.0
retainedEarnings,15774000000.0,14777000000.0,17945000000.0,15967000000.0
otherLiab,5149000000.0,6527000000.0,4286000000.0,5702000000.0
goodWill,970000000.0,970000000.0,970000000.0,970000000.0
treasuryStock,-10472000000.0,-10980000000.0,-10502000000.0,-8432000000.0
otherAssets,587000000.0,732000000.0,527000000.0,1095000000.0
cash,12480000000.0,11063000000.0,2548000000.0,1854000000.0
totalCurrentLiabilities,9164000000.0,7506000000.0,8952000000.0,7905000000.0
shortLongTermDebt,371000000.0,137000000.0,739000000.0,608000000.0
otherStockholderEquity,388000000.0,-105000000.0,-61000000.0,20000000.0
propertyPlantEquipment,16432000000.0,17418000000.0,18126000000.0,18750000000.0
totalCurrentAssets,18036000000.0,15173000000.0,5974000000.0,5028000000.0
netTangibleAssets,9149000000.0,7611000000.0,8566000000.0,8483000000.0
shortTermInvestments,3024000000.0,2271000000.0,1524000000.0,1835000000.0
netReceivables,1357000000.0,1130000000.0,1086000000.0,568000000.0
longTermDebt,9901000000.0,9658000000.0,1305000000.0,1938000000.0
inventory,537000000.0,414000000.0,529000000.0,461000000.0
accountsPayable,1282000000.0,931000000.0,1574000000.0,1416000000.0
longTermInvestments,,,2000000.0,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1325000000.0,-4256000000.0,2957000000.0,3164000000.0
minorityInterest,,,,
netIncome,977000000.0,-3074000000.0,2300000000.0,2465000000.0
sellingGeneralAdministrative,196000000.0,168000000.0,225000000.0,227000000.0
grossProfit,2172000000.0,-1875000000.0,7020000000.0,7245000000.0
ebit,-1171000000.0,-5041000000.0,2948000000.0,3180000000.0
operatingIncome,-1171000000.0,-5041000000.0,2948000000.0,3180000000.0
otherOperatingExpenses,1875000000.0,1743000000.0,2628000000.0,2637000000.0
interestExpense,-431000000.0,-342000000.0,-82000000.0,-93000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,348000000.0,-1182000000.0,657000000.0,699000000.0
totalRevenue,15790000000.0,9048000000.0,22428000000.0,21965000000.0
totalOperatingExpenses,16961000000.0,14089000000.0,19480000000.0,18785000000.0
costOfRevenue,13618000000.0,10923000000.0,15408000000.0,14720000000.0
totalOtherIncomeExpenseNet,2496000000.0,785000000.0,9000000.0,-16000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,977000000.0,-3074000000.0,2300000000.0,2465000000.0
netIncomeApplicableToCommonShares,977000000.0,-3074000000.0,2300000000.0,2465000000.0
investments,-753000000.0,-744000000.0,324000000.0,-67000000.0
changeToLiabilities,629000000.0,1854000000.0,738000000.0,1051000000.0
totalCashflowsFromInvestingActivities,-1264000000.0,-16000000.0,-303000000.0,-2038000000.0
netBorrowings,524000000.0,8099000000.0,-615000000.0,-342000000.0
totalCashFromFinancingActivities,359000000.0,9658000000.0,-2990000000.0,-2496000000.0
changeToOperatingActivities,-28000000.0,109000000.0,-38000000.0,-227000000.0
issuanceOfStock,51000000.0,2342000000.0,40000000.0,35000000.0
changeInCash,1417000000.0,8515000000.0,694000000.0,359000000.0
totalCashFromOperatingActivities,2322000000.0,-1127000000.0,3987000000.0,4893000000.0
depreciation,1059000000.0,1052000000.0,1042000000.0,1046000000.0
changeToAccountReceivables,-701000000.0,-294000000.0,-94000000.0,117000000.0
otherCashflowsFromFinancingActivities,-216000000.0,-144000000.0,-43000000.0,143000000.0
changeToNetincome,173000000.0,-977000000.0,-138000000.0,286000000.0
capitalExpenditures,-511000000.0,-515000000.0,-1027000000.0,-1976000000.0
repurchaseOfStock,,-451000000.0,-2000000000.0,-2000000000.0
otherCashflowsFromInvestingActivities,,1243000000.0,400000000.0,5000000.0
dividendsPaid,,-188000000.0,-372000000.0,-332000000.0
annualDilutedAverageShares,609000000.0,565000000.0,539000000.0,574000000.0
