,2022,2021,2020,2019
intangibleAssets,33700000.0,36900000.0,38300000.0,37600000.0
totalLiab,3779300000.0,3728800000.0,4422300000.0,3052700000.0
totalStockholderEquity,360500000.0,480600000.0,240000000.0,-4600000.0
otherCurrentLiab,35300000.0,34400000.0,34900000.0,29700000.0
totalAssets,4139800000.0,4209400000.0,4662300000.0,3048100000.0
commonStock,148000000.0,147600000.0,147000000.0,146700000.0
otherCurrentAssets,7000000.0,15300000.0,,
retainedEarnings,1305500000.0,1244600000.0,1064600000.0,803600000.0
otherLiab,279700000.0,284900000.0,260200000.0,219700000.0
goodWill,318000000.0,334500000.0,303800000.0,205900000.0
treasuryStock,-1093000000.0,-911600000.0,-971600000.0,-954900000.0
otherAssets,172900000.0,80400000.0,65400000.0,20700000.0
cash,525000000.0,783500000.0,1364000000.0,12200000.0
totalCurrentLiabilities,699100000.0,618200000.0,1024900000.0,552800000.0
deferredLongTermAssetCharges,2700000.0,2200000.0,2300000.0,1800000.0
shortLongTermDebt,31300000.0,31300000.0,46000000.0,33700000.0
otherStockholderEquity,-828900000.0,-807300000.0,-903400000.0,-915600000.0
propertyPlantEquipment,1698200000.0,1665700000.0,1702000000.0,1597800000.0
totalCurrentAssets,1659600000.0,1781700000.0,2302600000.0,961500000.0
longTermInvestments,257400000.0,310200000.0,250200000.0,224600000.0
netTangibleAssets,8800000.0,109200000.0,-102100000.0,-248100000.0
netReceivables,447300000.0,366900000.0,342100000.0,340100000.0
longTermDebt,2689700000.0,2698800000.0,2982100000.0,2205600000.0
inventory,574400000.0,513500000.0,486700000.0,498300000.0
accountsPayable,402600000.0,359300000.0,244400000.0,289200000.0
researchDevelopment,16200000.0,12900000.0,15400000.0,15400000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,272700000.0,408300000.0,478200000.0,620800000.0
minorityInterest,,,,
netIncome,200900000.0,317800000.0,365900000.0,478600000.0
sellingGeneralAdministrative,368100000.0,345600000.0,322800000.0,316400000.0
grossProfit,832000000.0,832000000.0,895200000.0,1003500000.0
ebit,447700000.0,473500000.0,557000000.0,671700000.0
operatingIncome,447700000.0,473500000.0,557000000.0,671700000.0
otherOperatingExpenses,,,,
interestExpense,-107700000.0,-117300000.0,-106300000.0,-107100000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,71800000.0,90500000.0,112300000.0,133600000.0
totalRevenue,4098900000.0,3670900000.0,3792400000.0,3756500000.0
totalOperatingExpenses,3651200000.0,3197400000.0,3235400000.0,3084800000.0
costOfRevenue,3266900000.0,2838900000.0,2897200000.0,2753000000.0
totalOtherIncomeExpenseNet,-175000000.0,-65200000.0,-78800000.0,-50900000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,200900000.0,317800000.0,365900000.0,487200000.0
netIncomeApplicableToCommonShares,200900000.0,317800000.0,365900000.0,467800000.0
changeToLiabilities,16500000.0,104700000.0,-34900000.0,32900000.0
totalCashflowsFromInvestingActivities,-310500000.0,-162500000.0,-346000000.0,-423000000.0
netBorrowings,-61600000.0,-804300000.0,1277100000.0,-67700000.0
totalCashFromFinancingActivities,-363400000.0,-974000000.0,1125000000.0,-299600000.0
changeToOperatingActivities,25300000.0,-13900000.0,-18100000.0,-18100000.0
changeInCash,-258500000.0,-580500000.0,1351800000.0,-43400000.0
repurchaseOfStock,-158400000.0,-36100000.0,-28900000.0,-36400000.0
effectOfExchangeRate,-2700000.0,2800000.0,-1200000.0,-1700000.0
totalCashFromOperatingActivities,418100000.0,553200000.0,574000000.0,680900000.0
depreciation,192100000.0,187800000.0,182300000.0,157700000.0
otherCashflowsFromInvestingActivities,-20400000.0,-15300000.0,-39000000.0,-200000.0
dividendsPaid,-138400000.0,-135300000.0,-121300000.0,-113300000.0
changeToInventory,-63000000.0,-22000000.0,15300000.0,-15800000.0
changeToAccountReceivables,-76300000.0,-21000000.0,1100000.0,-25100000.0
otherCashflowsFromFinancingActivities,-5000000.0,1700000.0,-1900000.0,-82200000.0
changeToNetincome,111000000.0,3100000.0,59700000.0,64300000.0
capitalExpenditures,-290100000.0,-147200000.0,-167700000.0,-334200000.0
investments,,,-22600000.0,-22600000.0
annualDilutedAverageShares,145900000.0,147100000.0,147100000.0,147300000.0
