,2021,2020,2019,2018
intangibleAssets,695000000,751000000,869000000,965000000
capitalSurplus,6044000000,5986000000,5954000000,7041000000
totalLiab,24754000000,27299000000,22256000000,17882000000
totalStockholderEquity,11858000000,7971000000,8044000000,10257000000
minorityInterest,130000000,133000000,135000000,139000000
deferredLongTermLiab,7000000,10000000,11000000,12000000
otherCurrentLiab,928000000,482000000,266000000,254000000
totalAssets,36742000000,35403000000,30435000000,28278000000
commonStock,19000000,19000000,19000000,22000000
otherCurrentAssets,583000000,308000000,365000000,335000000
retainedEarnings,8563000000,4440000000,4435000000,6763000000
otherLiab,4349000000,4946000000,4151000000,3827000000
goodWill,1875000000,1953000000,1891000000,1814000000
treasuryStock,-2768000000,-2474000000,-2364000000,-3569000000
otherAssets,666000000,456000000,420000000,352000000
cash,1472000000,1763000000,858000000,332000000
totalCurrentLiabilities,7230000000,5502000000,5198000000,5513000000
deferredLongTermAssetCharges,174000000,39000000,38000000,31000000
shortLongTermDebt,9000000,8000000,157000000,21000000
otherStockholderEquity,-1803000000,-1943000000,-1784000000,-1363000000
propertyPlantEquipment,16502000000,15878000000,15598000000,12477000000
totalCurrentAssets,12217000000,11634000000,9510000000,10566000000
longTermInvestments,4787000000,4731000000,2147000000,2104000000
netTangibleAssets,9288000000,5267000000,5284000000,7478000000
shortTermInvestments,9000000,702000000,196000000,892000000
netReceivables,5212000000,4489000000,3455000000,4434000000
longTermDebt,11526000000,15629000000,11691000000,8542000000
inventory,4901000000,4344000000,4588000000,4515000000
accountsPayable,4291000000,2948000000,2928000000,3087000000
researchDevelopment,124000000,113000000,111000000,115000000
effectOfAccountingCharges,,,,
incomeBeforeTax,6779000000,1379000000,4045000000,5309000000
netIncome,5610000000,1420000000,3390000000,4688000000
sellingGeneralAdministrative,1261000000,1137000000,1199000000,1037000000
grossProfit,8776000000,3394000000,5426000000,6475000000
ebit,7391000000,2144000000,4116000000,5323000000
operatingIncome,7391000000,2144000000,4116000000,5323000000
otherOperatingExpenses,,,,
interestExpense,-526000000,-533000000,-354000000,-362000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1163000000,-43000000,648000000,613000000
totalRevenue,46173000000,27753000000,34727000000,39004000000
totalOperatingExpenses,38782000000,25609000000,30611000000,33681000000
costOfRevenue,37397000000,24359000000,29301000000,32529000000
totalOtherIncomeExpenseNet,-612000000,-765000000,-71000000,-14000000
discontinuedOperations,-6000000,-2000000,-7000000,-8000000
netIncomeFromContinuingOps,5616000000,1422000000,3397000000,4696000000
netIncomeApplicableToCommonShares,5596000000,1417000000,3384000000,4682000000
investments,575000000,-2891000000,702000000,389000000
changeToLiabilities,1301000000,217000000,-251000000,-199000000
totalCashflowsFromInvestingActivities,-1502000000,-4906000000,-1635000000,-3559000000
netBorrowings,-4221000000,3752000000,2482000000,416000000
totalCashFromFinancingActivities,-6385000000,2271000000,-2835000000,-3008000000
changeInCash,-288000000,877000000,487000000,-1127000000
repurchaseOfStock,-463000000,-4000000,-3752000000,-1854000000
effectOfExchangeRate,-96000000,108000000,-4000000,-31000000
totalCashFromOperatingActivities,7695000000,3404000000,4961000000,5471000000
depreciation,1217000000,1297000000,1253000000,1188000000
otherCashflowsFromInvestingActivities,-118000000,-68000000,-170000000,-104000000
dividendsPaid,-1486000000,-1405000000,-1462000000,-1554000000
changeToInventory,-742000000,340000000,-129000000,-141000000
changeToAccountReceivables,-1519000000,-246000000,367000000,433000000
otherCashflowsFromFinancingActivities,-215000000,-72000000,-103000000,-16000000
changeToNetincome,1773000000,339000000,310000000,-524000000
capitalExpenditures,-1959000000,-1947000000,-2694000000,-2105000000
