,2021,2020,2019,2018
intangibleAssets,1395366000.0,1224658000.0,1239095000.0,1030305000.0
capitalSurplus,2897695000.0,2386790000.0,2245619000.0,2268209000.0
totalLiab,14038851000.0,10450606000.0,9062163000.0,6824788000.0
totalStockholderEquity,-582651000.0,-471772000.0,1145820000.0,1098981000.0
minorityInterest,946118000.0,610469000.0,767632000.0,573117000.0
otherCurrentLiab,4510288000.0,2850456000.0,2509030000.0,2375987000.0
totalAssets,14402318000.0,10589303000.0,10975615000.0,8496886000.0
commonStock,2220000.0,2145000.0,2113000.0,2091000.0
otherCurrentAssets,24865000.0,11561000.0,9939000.0,21573000.0
retainedEarnings,-3327737000.0,-2676833000.0,-949334000.0,-1019223000.0
otherLiab,431581000.0,353267000.0,308821000.0,342044000.0
goodWill,2590869000.0,2129203000.0,1998498000.0,1822943000.0
treasuryStock,-154829000.0,-183874000.0,-152578000.0,-152096000.0
otherAssets,807505000.0,889543000.0,857569000.0,711760000.0
cash,4884729000.0,2537787000.0,2470362000.0,2371540000.0
totalCurrentLiabilities,6855722000.0,3796569000.0,4107599000.0,3749866000.0
shortLongTermDebt,585254000.0,53415000.0,37795000.0,82142000.0
otherStockholderEquity,-147964000.0,-177009000.0,-145713000.0,-145231000.0
propertyPlantEquipment,2630840000.0,2525637000.0,2519951000.0,946593000.0
totalCurrentAssets,6684093000.0,3649768000.0,4192899000.0,3848074000.0
longTermInvestments,293645000.0,170494000.0,167603000.0,137211000.0
netTangibleAssets,-4568886000.0,-3825633000.0,-2091773000.0,-1754267000.0
netReceivables,1085779000.0,501290000.0,1029448000.0,844520000.0
longTermDebt,5140784000.0,4855096000.0,3271262000.0,2732878000.0
inventory,33826000.0,22000000.0,16106000.0,12575000.0
accountsPayable,110623000.0,86356000.0,100237000.0,90253000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-611267000.0,-1856665000.0,185104000.0,131105000.0
netIncome,-650904000.0,-1724535000.0,69889000.0,60249000.0
sellingGeneralAdministrative,1921982000.0,1650890000.0,2307627000.0,2136309000.0
grossProfit,1912458000.0,458778000.0,3080787000.0,2819868000.0
ebit,-425801000.0,-1653507000.0,329169000.0,307530000.0
operatingIncome,-425801000.0,-1653507000.0,329169000.0,307530000.0
otherOperatingExpenses,,,,
interestExpense,-282440000.0,-226832000.0,-157521000.0,-140976000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,-2481000.0,-28875000.0,66892000.0,40765000.0
totalRevenue,6268447000.0,1861178000.0,11547969000.0,10787800000.0
totalOperatingExpenses,6694248000.0,3514685000.0,11218800000.0,10480270000.0
costOfRevenue,4355989000.0,1402400000.0,8467182000.0,7967932000.0
totalOtherIncomeExpenseNet,-185466000.0,-203158000.0,-144065000.0,-176425000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-608786000.0,-1827790000.0,118212000.0,90340000.0
netIncomeApplicableToCommonShares,-670675000.0,-1723355000.0,-4882000.0,-17651000.0
investments,-20157000.0,7761000.0,-55825000.0,-46497000.0
changeToLiabilities,2163671000.0,-552762000.0,42371000.0,667998000.0
totalCashflowsFromInvestingActivities,-566962000.0,-224062000.0,-691000000.0,-496909000.0
netBorrowings,794122000.0,1576378000.0,500133000.0,458271000.0
totalCashFromFinancingActivities,1171332000.0,1350082000.0,328889000.0,188784000.0
changeToOperatingActivities,95533000.0,141631000.0,-170486000.0,-266241000.0
issuanceOfStock,480248000.0,30647000.0,14104000.0,22568000.0
changeInCash,2341353000.0,72197000.0,96039000.0,549381000.0
repurchaseOfStock,-45845000.0,-47539000.0,-15353000.0,-55005000.0
effectOfExchangeRate,-43585000.0,29565000.0,-11633000.0,-84080000.0
totalCashFromOperatingActivities,1780568000.0,-1083388000.0,469783000.0,941586000.0
depreciation,416277000.0,461395000.0,417191000.0,376029000.0
otherCashflowsFromInvestingActivities,-2720000.0,31869000.0,-34277000.0,-54721000.0
changeToAccountReceivables,-485211000.0,490588000.0,-159792000.0,-135429000.0
otherCashflowsFromFinancingActivities,-57193000.0,-209404000.0,-169995000.0,-237050000.0
changeToNetincome,129536000.0,19550000.0,166192000.0,138674000.0
capitalExpenditures,-152734000.0,-213746000.0,-323566000.0,-239833000.0
annualDilutedAverageShares,217190862.0,212270944.0,210082696.0,207441468.0
