,2021,2020,2019,2018
intangibleAssets,3671000000.0,1753000000.0,1417000000.0,991000000.0
capitalSurplus,5061000000.0,4982000000.0,4787000000.0,4580000000.0
totalLiab,30257000000.0,27067000000.0,23245000000.0,19371000000.0
totalStockholderEquity,7312000000.0,6391000000.0,5893000000.0,5395000000.0
minorityInterest,100000000.0,126000000.0,98000000.0,94000000.0
deferredLongTermLiab,3798000000.0,3220000000.0,2838000000.0,2458000000.0
otherCurrentLiab,5197000000.0,5320000000.0,6149000000.0,5964000000.0
totalAssets,37669000000.0,33584000000.0,29236000000.0,24860000000.0
otherCurrentAssets,6049000000.0,5871000000.0,3717000000.0,3065000000.0
retainedEarnings,45648000000.0,38747000000.0,33984000000.0,27283000000.0
otherLiab,3341000000.0,2471000000.0,2158000000.0,1944000000.0
goodWill,7662000000.0,4960000000.0,4021000000.0,2904000000.0
treasuryStock,-43397000000.0,-37338000000.0,-32878000000.0,-26468000000.0
otherAssets,5646000000.0,4684000000.0,4154000000.0,3536000000.0
cash,7421000000.0,10113000000.0,6988000000.0,6682000000.0
totalCurrentLiabilities,13162000000.0,11847000000.0,11904000000.0,11593000000.0
deferredLongTermAssetCharges,486000000.0,491000000.0,543000000.0,570000000.0
shortLongTermDebt,792000000.0,649000000.0,,500000000.0
otherStockholderEquity,-809000000.0,-680000000.0,-673000000.0,-718000000.0
propertyPlantEquipment,1907000000.0,1902000000.0,1828000000.0,921000000.0
totalCurrentAssets,16949000000.0,19113000000.0,16902000000.0,16171000000.0
longTermInvestments,1834000000.0,1172000000.0,914000000.0,337000000.0
netTangibleAssets,-4021000000.0,-322000000.0,455000000.0,1500000000.0
shortTermInvestments,473000000.0,483000000.0,688000000.0,1696000000.0
netReceivables,3006000000.0,2646000000.0,5509000000.0,4728000000.0
longTermDebt,13109000000.0,12023000000.0,8527000000.0,5834000000.0
accountsPayable,738000000.0,527000000.0,489000000.0,537000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,10307000000.0,7760000000.0,9731000000.0,7204000000.0
netIncome,8687000000.0,6411000000.0,8118000000.0,5859000000.0
sellingGeneralAdministrative,7890000000.0,6559000000.0,6694000000.0,6073000000.0
grossProfit,18884000000.0,15301000000.0,16883000000.0,14950000000.0
ebit,10268000000.0,8162000000.0,9667000000.0,8418000000.0
operatingIncome,10268000000.0,8162000000.0,9667000000.0,8418000000.0
otherOperatingExpenses,,,,
interestExpense,-431000000.0,-380000000.0,-224000000.0,-186000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1620000000.0,1349000000.0,1613000000.0,1345000000.0
totalRevenue,18884000000.0,15301000000.0,16883000000.0,14950000000.0
totalOperatingExpenses,8616000000.0,7139000000.0,7216000000.0,6532000000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,39000000.0,-402000000.0,64000000.0,-1214000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,8687000000.0,6411000000.0,8118000000.0,5859000000.0
netIncomeApplicableToCommonShares,8687000000.0,6411000000.0,8118000000.0,5859000000.0
investments,-55000000.0,-10000000.0,532000000.0,12000000.0
changeToLiabilities,100000000.0,26000000.0,-42000000.0,101000000.0
totalCashflowsFromInvestingActivities,-5272000000.0,-1879000000.0,-1640000000.0,-506000000.0
netBorrowings,1374000000.0,3959000000.0,2224000000.0,991000000.0
totalCashFromFinancingActivities,-6555000000.0,-2152000000.0,-5867000000.0,-4966000000.0
changeToOperatingActivities,-870000000.0,-2339000000.0,-766000000.0,121000000.0
issuanceOfStock,61000000.0,97000000.0,126000000.0,104000000.0
changeInCash,-2517000000.0,3450000000.0,632000000.0,745000000.0
repurchaseOfStock,-6037000000.0,-4623000000.0,-6658000000.0,-5013000000.0
effectOfExchangeRate,-153000000.0,257000000.0,-44000000.0,-6000000.0
totalCashFromOperatingActivities,9463000000.0,7224000000.0,8183000000.0,6223000000.0
depreciation,848000000.0,703000000.0,621000000.0,459000000.0
otherCashflowsFromInvestingActivities,33000000.0,-172000000.0,-4000000.0,-14000000.0
dividendsPaid,-1741000000.0,-1605000000.0,-1345000000.0,-1044000000.0
changeToAccountReceivables,-7000000.0,1202000000.0,-690000000.0,-1395000000.0
otherCashflowsFromFinancingActivities,-212000000.0,20000000.0,-214000000.0,-4000000.0
changeToNetincome,-527000000.0,188000000.0,1000000.0,-17000000.0
capitalExpenditures,-407000000.0,-339000000.0,-422000000.0,-330000000.0
annualDilutedAverageShares,992000000.0,1006000015.0,1022000015.0,1047000015.0
