,2021,2020,2019,2018
intangibleAssets,8926000000.0,8989000000.0,8641000000.0,8380000000.0
capitalSurplus,5892000000.0,5851000000.0,5800000000.0,5814000000.0
totalLiab,24139000000.0,24271000000.0,24348000000.0,21471000000.0
totalStockholderEquity,1414000000.0,430000000.0,703000000.0,2225000000.0
otherCurrentLiab,2900000000.0,2237000000.0,2258000000.0,2545000000.0
totalAssets,25553000000.0,24701000000.0,25051000000.0,23696000000.0
commonStock,5000000.0,5000000.0,5000000.0,5000000.0
retainedEarnings,10305000000.0,9206000000.0,9644000000.0,8982000000.0
otherLiab,7301000000.0,8493000000.0,6826000000.0,6520000000.0
goodWill,9073000000.0,9175000000.0,9048000000.0,9039000000.0
treasuryStock,-14788000000.0,-14632000000.0,-14746000000.0,-12576000000.0
otherAssets,976000000.0,1024000000.0,866000000.0,883000000.0
cash,1393000000.0,877000000.0,225000000.0,316000000.0
totalCurrentLiabilities,6407000000.0,5752000000.0,6677000000.0,6437000000.0
deferredLongTermAssetCharges,228000000.0,249000000.0,154000000.0,171000000.0
shortLongTermDebt,798000000.0,1166000000.0,971000000.0,833000000.0
otherStockholderEquity,-342000000.0,-135000000.0,-361000000.0,-391000000.0
propertyPlantEquipment,2565000000.0,2266000000.0,2792000000.0,1956000000.0
totalCurrentAssets,3626000000.0,2825000000.0,3127000000.0,2706000000.0
longTermInvestments,387000000.0,422000000.0,577000000.0,732000000.0
netTangibleAssets,-16585000000.0,-17734000000.0,-16986000000.0,-15194000000.0
netReceivables,1982000000.0,1768000000.0,2395000000.0,2133000000.0
longTermDebt,9194000000.0,9057000000.0,9812000000.0,8351000000.0
accountsPayable,726000000.0,527000000.0,720000000.0,767000000.0
otherCurrentAssets,,,255000000.0,8000000.0
deferredLongTermLiab,,,,324000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1180000000,-466000000,1599000000,2345000000
minorityInterest,,,,
netIncome,1099000000,-267000000,1273000000,1907000000
sellingGeneralAdministrative,1311000000,1038000000,1789000000,1587000000
grossProfit,2653000000,1442000000,4057000000,3909000000
ebit,1712000000,467000000,2037000000,2521000000
operatingIncome,1712000000,467000000,2037000000,2521000000
otherOperatingExpenses,-590000000,-293000000,-11000000,-425000000
interestExpense,-420000000,-445000000,-394000000,-340000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,81000000,-199000000,326000000,438000000
totalRevenue,3415000000,2119000000,5373000000,5215000000
totalOperatingExpenses,1703000000,1652000000,3336000000,2694000000
costOfRevenue,762000000,677000000,1316000000,1306000000
totalOtherIncomeExpenseNet,-532000000,-933000000,-438000000,-176000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1099000000,-267000000,1273000000,1907000000
netIncomeApplicableToCommonShares,1099000000,-267000000,1273000000,1907000000
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-187000000.0,35000000.0,-284000000.0,-52000000.0
netBorrowings,-231000000.0,-616000000.0,1513000000.0,1120000000.0
totalCashFromFinancingActivities,-463000000.0,-1033000000.0,-1508000000.0,-2374000000.0
changeToOperatingActivities,110000000.0,-28000000.0,-273000000.0,-76000000.0
issuanceOfStock,2000000.0,2000000.0,7000000.0,4000000.0
changeInCash,527000000.0,641000000.0,-107000000.0,-69000000.0
repurchaseOfStock,-90000000.0,-253000000.0,-2408000000.0,-2955000000.0
totalCashFromOperatingActivities,1177000000.0,1639000000.0,1685000000.0,2357000000.0
depreciation,303000000.0,419000000.0,451000000.0,367000000.0
otherCashflowsFromInvestingActivities,-43000000.0,-57000000.0,-47000000.0,-10000000.0
otherCashflowsFromFinancingActivities,-144000000.0,-8000000.0,-8000000.0,-8000000.0
changeToNetincome,-335000000.0,1515000000.0,234000000.0,159000000.0
capitalExpenditures,-183000000.0,-135000000.0,-653000000.0,-556000000.0
dividendsPaid,,-156000000.0,-612000000.0,-543000000.0
