,2021,2020,2019,2018
intangibleAssets,795000000.0,691200000.0,665400000.0,
capitalSurplus,8231600000.0,7903600000.0,7653900000.0,7376000000.0
totalLiab,58455300000.0,60451700000.0,55721100000.0,39069600000.0
totalStockholderEquity,-4601000000.0,-7824900000.0,-8210300000.0,-6258400000.0
otherCurrentLiab,364000000.0,823600000.0,341800000.0,231700000.0
totalAssets,53854300000.0,52626800000.0,47510800000.0,32811200000.0
commonStock,16600000.0,16600000.0,16600000.0,16600000.0
otherCurrentAssets,52400000.0,185600000.0,24000000.0,202500000.0
retainedEarnings,57534700000.0,53908100000.0,52930500000.0,50487000000.0
otherLiab,5787600000.0,5752400000.0,5224200000.0,5009000000.0
goodWill,2782500000.0,2773100000.0,2677400000.0,2331500000.0
treasuryStock,-70383900000.0,-69653200000.0,-68811300000.0,-64138000000.0
otherAssets,3645900000.0,2800400000.0,1906500000.0,2381000000.0
cash,4709200000.0,3449100000.0,898500000.0,866000000.0
totalCurrentLiabilities,4020000000.0,6181200000.0,3621000000.0,2973500000.0
deferredLongTermAssetCharges,2357000000.0,2135700000.0,1138900000.0,1219400000.0
otherStockholderEquity,-2573700000.0,-2586800000.0,-2482700000.0,-2609500000.0
propertyPlantEquipment,38272600000.0,38785900000.0,37421200000.0,22842700000.0
totalCurrentAssets,7148500000.0,6243200000.0,3557900000.0,4053200000.0
longTermInvestments,1209800000.0,1333000000.0,1282400000.0,1202800000.0
netTangibleAssets,-8178500000.0,-11289200000.0,-11553100000.0,-8589900000.0
netReceivables,2204400000.0,2435300000.0,2363000000.0,2454000000.0
longTermDebt,35626800000.0,35196800000.0,34118100000.0,31087100000.0
inventory,55600000.0,51100000.0,50200000.0,51100000.0
accountsPayable,1006800000.0,741300000.0,988200000.0,1207900000.0
shortLongTermDebt,,2243600000.0,59100000.0,100000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9127900000.0,6140700000.0,8018100000.0,7816100000.0
minorityInterest,,,,
netIncome,7545200000.0,4730500000.0,6025400000.0,5924300000.0
sellingGeneralAdministrative,2377800000.0,2245000000.0,1966900000.0,1985400000.0
grossProfit,12580200000.0,9752100000.0,11179400000.0,10832600000.0
ebit,9873100000.0,7213300000.0,8954700000.0,8625700000.0
operatingIncome,9873100000.0,7213300000.0,8954700000.0,8625700000.0
otherOperatingExpenses,-400000.0,-6800000.0,-4700000.0,6700000.0
interestExpense,-1185800000.0,-1218100000.0,-1121900000.0,-981200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1582700000.0,1410200000.0,1992700000.0,1891800000.0
totalRevenue,23222900000.0,19207800000.0,21364400000.0,21257900000.0
totalOperatingExpenses,13349800000.0,11994500000.0,12409700000.0,12632200000.0
costOfRevenue,10642700000.0,9455700000.0,10185000000.0,10425300000.0
totalOtherIncomeExpenseNet,-745200000.0,-1072600000.0,-936600000.0,-809600000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,7545200000.0,4730500000.0,6025400000.0,5924300000.0
netIncomeApplicableToCommonShares,7545200000.0,4730500000.0,6025400000.0,5924300000.0
changeToLiabilities,225000000.0,-137500000.0,-26800000.0,129400000.0
totalCashflowsFromInvestingActivities,-2165700000.0,-1545800000.0,-3071100000.0,-2455100000.0
netBorrowings,-1070500000.0,2238200000.0,3236300000.0,2130800000.0
totalCashFromFinancingActivities,-5595600000.0,-2249000000.0,-4994800000.0,-5949600000.0
changeToOperatingActivities,284000000.0,44400000.0,-3900000.0,-87400000.0
issuanceOfStock,285700000.0,295500000.0,350500000.0,403200000.0
changeInCash,1260100000.0,2550600000.0,32500000.0,-1597800000.0
repurchaseOfStock,-845500000.0,-907800000.0,-4976200000.0,-5207700000.0
effectOfExchangeRate,-120100000.0,80200000.0,-23700000.0,-159800000.0
totalCashFromOperatingActivities,9141500000.0,6265200000.0,8122100000.0,6966700000.0
depreciation,1868100000.0,1751400000.0,1617900000.0,1482000000.0
otherCashflowsFromInvestingActivities,-53900000.0,57400000.0,-628500000.0,-302900000.0
dividendsPaid,-3918600000.0,-3752900000.0,-3581900000.0,-3255900000.0
changeToInventory,-62200000.0,-68600000.0,128800000.0,-1900000.0
changeToAccountReceivables,309900000.0,-6800000.0,27000000.0,-479400000.0
otherCashflowsFromFinancingActivities,-46700000.0,-122000000.0,-23500000.0,-20000000.0
changeToNetincome,-726000000.0,-4600000.0,180300000.0,33100000.0
capitalExpenditures,-2040000000.0,-1640800000.0,-2393700000.0,-2741700000.0
annualDilutedAverageShares,751800000.0,750100000.0,764900000.0,785600000.0
