,2022,2021,2020,2019
intangibleAssets,4043100000.0,4794800000.0,5702300000.0,6685600000.0
capitalSurplus,2535900000.0,2403100000.0,2675100000.0,2679600000.0
totalLiab,10304700000.0,11141700000.0,11840600000.0,13062500000.0
totalStockholderEquity,5894800000.0,5337100000.0,5585500000.0,5287500000.0
otherCurrentLiab,121500000.0,43400000.0,38000000.0,46900000.0
totalAssets,16199500000.0,16478800000.0,17426100000.0,18350000000.0
commonStock,600000.0,500000.0,200000.0,200000.0
otherCurrentAssets,206200000.0,200500000.0,194500000.0,191600000.0
retainedEarnings,4175200000.0,3393500000.0,3432400000.0,3210600000.0
otherLiab,1089400000.0,1025500000.0,1235100000.0,1741800000.0
goodWill,6673600000.0,6670600000.0,6664800000.0,6663900000.0
treasuryStock,-816900000.0,-460000000.0,-522200000.0,-602900000.0
otherAssets,1909000000.0,1859200000.0,1846200000.0,1789000000.0
cash,317400000.0,280000000.0,401000000.0,428600000.0
totalCurrentLiabilities,1399000000.0,2409600000.0,1637400000.0,2374500000.0
deferredLongTermAssetCharges,1797100000.0,1749200000.0,1748500000.0,1677200000.0
otherStockholderEquity,-20600000.0,-26200000.0,-21600000.0,-20700000.0
propertyPlantEquipment,1121200000.0,1009000000.0,995600000.0,996700000.0
totalCurrentAssets,2452600000.0,2145200000.0,2217200000.0,2214800000.0
netTangibleAssets,-4821900000.0,-6128300000.0,-6781600000.0,-8062000000.0
shortTermInvestments,2000000.0,2000000.0,2000000.0,2300000.0
netReceivables,1072600000.0,997700000.0,934000000.0,880600000.0
longTermDebt,7687400000.0,7581200000.0,8873400000.0,8946200000.0
inventory,854400000.0,665000000.0,685700000.0,711700000.0
accountsPayable,344700000.0,292400000.0,246800000.0,226400000.0
shortLongTermDebt,,1322900000.0,608800000.0,1360800000.0
researchDevelopment,989100000.0,836400000.0,877800000.0,826300000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1482500000.0,339500000.0,150400000.0,204500000.0
minorityInterest,,,,
netIncome,1285500000.0,349400000.0,570600000.0,355900000.0
sellingGeneralAdministrative,718900000.0,610300000.0,676600000.0,682900000.0
grossProfit,4449600000.0,3378800000.0,3242100000.0,2931300000.0
ebit,1879100000.0,999800000.0,693800000.0,748000000.0
operatingIncome,1879100000.0,999800000.0,693800000.0,748000000.0
otherOperatingExpenses,,,,
interestExpense,-257000000.0,-356900000.0,-497300000.0,-502900000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,197000000.0,-9900000.0,-420200000.0,-151400000.0
totalRevenue,6820900000.0,5438400000.0,5274200000.0,5349500000.0
totalOperatingExpenses,4941800000.0,4438600000.0,4580400000.0,4601500000.0
costOfRevenue,2371300000.0,2059600000.0,2032100000.0,2418200000.0
totalOtherIncomeExpenseNet,-396600000.0,-660300000.0,-543400000.0,-543500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1285500000.0,349400000.0,570600000.0,355900000.0
netIncomeApplicableToCommonShares,1285500000.0,349400000.0,570600000.0,355900000.0
changeToLiabilities,192700000.0,17600000.0,11400000.0,-180700000.0
totalCashflowsFromInvestingActivities,-477700000.0,-173300000.0,-133200000.0,-6811000000.0
netBorrowings,-1376000000.0,-1414600000.0,-1069900000.0,5109800000.0
totalCashFromFinancingActivities,-2327600000.0,-1864200000.0,-1438200000.0,4663500000.0
changeToOperatingActivities,79400000.0,-16700000.0,-13100000.0,-24200000.0
issuanceOfStock,70500000.0,60300000.0,58800000.0,42600000.0
changeInCash,37400000.0,-121000000.0,-27600000.0,-472700000.0
repurchaseOfStock,-509800000.0,-64600000.0,-68100000.0,-71800000.0
totalCashFromOperatingActivities,2842700000.0,1916500000.0,1543800000.0,1674800000.0
depreciation,1143500000.0,1153300000.0,1215600000.0,876400000.0
otherCashflowsFromInvestingActivities,-121700000.0,-89000000.0,-71500000.0,-18600000.0
dividendsPaid,-503800000.0,-388300000.0,-350100000.0,-344400000.0
changeToInventory,-177800000.0,18400000.0,28800000.0,341600000.0
changeToAccountReceivables,-74900000.0,-63700000.0,-53300000.0,238800000.0
otherCashflowsFromFinancingActivities,-8500000.0,-57000000.0,-8900000.0,-72700000.0
changeToNetincome,323100000.0,352600000.0,-314500000.0,126700000.0
capitalExpenditures,-370100000.0,-92600000.0,-67600000.0,-228900000.0
investments,,,2700000.0,1286900000.0
annualDilutedAverageShares,565900000.0,541200000.0,512400000.0,499800000.0
