,2022,2021,2020,2019
intangibleAssets,15595000000.0,17740000000.0,19063000000.0,21193000000.0
capitalSurplus,24566000000.0,26319000000.0,26165000000.0,36704000000.0
totalLiab,38259000000.0,41481000000.0,39817000000.0,39482000000.0
totalStockholderEquity,52551000000.0,51428000000.0,50737000000.0,50091000000.0
minorityInterest,171000000.0,174000000.0,135000000.0,121000000.0
otherCurrentLiab,1156000000.0,990000000.0,867000000.0,1772000000.0
totalAssets,90981000000.0,93083000000.0,90689000000.0,89694000000.0
otherCurrentAssets,2319000000.0,1956000000.0,2206000000.0,2526000000.0
retainedEarnings,30250000000.0,28594000000.0,28132000000.0,16098000000.0
otherLiab,4790000000.0,5765000000.0,6656000000.0,8009000000.0
goodWill,40502000000.0,41961000000.0,39841000000.0,39959000000.0
treasuryStock,-2265000000.0,-3485000000.0,-3560000000.0,-2711000000.0
otherAssets,4644000000.0,3895000000.0,3486000000.0,
cash,3714000000.0,3593000000.0,4140000000.0,4393000000.0
totalCurrentLiabilities,12394000000.0,8509000000.0,10366000000.0,6987000000.0
deferredLongTermAssetCharges,3403000000.0,3169000000.0,2832000000.0,
shortLongTermDebt,3724000000.0,11000000.0,2446000000.0,500000000.0
otherStockholderEquity,-2265000000.0,-3485000000.0,-3560000000.0,-2711000000.0
propertyPlantEquipment,6267000000.0,6219000000.0,5755000000.0,4042000000.0
totalCurrentAssets,23059000000.0,22548000000.0,22031000000.0,24084000000.0
longTermInvestments,914000000.0,720000000.0,513000000.0,416000000.0
netTangibleAssets,-3546000000.0,-8273000000.0,-8167000000.0,-11061000000.0
shortTermInvestments,6859000000.0,7224000000.0,6808000000.0,5455000000.0
netReceivables,5551000000.0,5462000000.0,4645000000.0,7951000000.0
longTermDebt,20316000000.0,26316000000.0,21976000000.0,24476000000.0
inventory,4616000000.0,4313000000.0,4229000000.0,3753000000.0
accountsPayable,2276000000.0,2106000000.0,1996000000.0,1953000000.0
researchDevelopment,2746000000.0,2493000000.0,2331000000.0,2330000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,5517000000.0,3895000000.0,4055000000.0,5197000000.0
netIncome,5039000000.0,3606000000.0,4789000000.0,4631000000.0
sellingGeneralAdministrative,10028000000.0,9866000000.0,9882000000.0,10273000000.0
grossProfit,21657000000.0,19762000000.0,19644000000.0,21493000000.0
ebit,7016000000.0,5515000000.0,5162000000.0,6709000000.0
operatingIncome,7016000000.0,5515000000.0,5162000000.0,6709000000.0
otherOperatingExpenses,134000000.0,105000000.0,513000000.0,417000000.0
interestExpense,-553000000.0,-925000000.0,-1092000000.0,-1444000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,456000000.0,265000000.0,-751000000.0,547000000.0
totalRevenue,31686000000.0,30117000000.0,28913000000.0,30557000000.0
totalOperatingExpenses,24670000000.0,24602000000.0,23751000000.0,23848000000.0
costOfRevenue,10029000000.0,10355000000.0,9269000000.0,9064000000.0
totalOtherIncomeExpenseNet,-1499000000.0,-1620000000.0,-1107000000.0,-1512000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5061000000.0,3630000000.0,4806000000.0,4650000000.0
netIncomeApplicableToCommonShares,5039000000.0,3606000000.0,4789000000.0,4631000000.0
investments,-190000000.0,-463000000.0,-1465000000.0,2151000000.0
changeToLiabilities,213000000.0,531000000.0,-44000000.0,399000000.0
totalCashflowsFromInvestingActivities,-1659000000.0,-2866000000.0,-3203000000.0,-774000000.0
netBorrowings,-1000000.0,-570000000.0,-559000000.0,-867000000.0
totalCashFromFinancingActivities,-5336000000.0,-4136000000.0,-4198000000.0,-5431000000.0
changeToOperatingActivities,-65000000.0,-549000000.0,-609000000.0,-624000000.0
issuanceOfStock,429000000.0,474000000.0,662000000.0,992000000.0
changeInCash,121000000.0,-547000000.0,-253000000.0,724000000.0
repurchaseOfStock,-2544000000.0,-652000000.0,-1326000000.0,-2877000000.0
effectOfExchangeRate,-231000000.0,215000000.0,-86000000.0,-78000000.0
totalCashFromOperatingActivities,7346000000.0,6240000000.0,7234000000.0,7007000000.0
depreciation,2707000000.0,2702000000.0,2663000000.0,2659000000.0
otherCashflowsFromInvestingActivities,-10000000.0,-54000000.0,-37000000.0,36000000.0
dividendsPaid,-3383000000.0,-3120000000.0,-2894000000.0,-2693000000.0
changeToInventory,-560000000.0,78000000.0,-577000000.0,-274000000.0
changeToAccountReceivables,-477000000.0,-761000000.0,1291000000.0,-581000000.0
otherCashflowsFromFinancingActivities,163000000.0,-268000000.0,-81000000.0,14000000.0
changeToNetincome,489000000.0,633000000.0,-279000000.0,797000000.0
capitalExpenditures,-1368000000.0,-1355000000.0,-1213000000.0,-1134000000.0
annualDilutedAverageShares,1351400000.0,1354000000.0,1351100000.0,1357500000.0
