,2021,2020,2019,2018
intangibleAssets,18333000000.0,18688000000.0,19068000000.0,20179000000.0
capitalSurplus,33511000000.0,33812000000.0,32680000000.0,32474000000.0
totalLiab,691959000000.0,720329000000.0,674081000000.0,634580000000.0
totalStockholderEquity,67482000000.0,74558000000.0,66144000000.0,52741000000.0
minorityInterest,267000000.0,259000000.0,238000000.0,217000000.0
deferredLongTermLiab,107000000.0,108000000.0,158000000.0,210000000.0
otherCurrentLiab,10869000000.0,10017000000.0,4523000000.0,4984000000.0
totalAssets,759708000000.0,795146000000.0,740463000000.0,687538000000.0
commonStock,12000000.0,12000000.0,12000000.0,12000000.0
otherCurrentAssets,15500000000.0,15661000000.0,8231000000.0,9058000000.0
retainedEarnings,41197000000.0,36491000000.0,33078000000.0,28926000000.0
otherLiab,549825000000.0,579388000000.0,548480000000.0,518190000000.0
goodWill,9535000000.0,10112000000.0,9308000000.0,9422000000.0
treasuryStock,-7238000000.0,4243000000.0,374000000.0,-8671000000.0
otherAssets,289767000000.0,314225000000.0,298221000000.0,278416000000.0
cash,20047000000.0,19795000000.0,16598000000.0,15821000000.0
totalCurrentLiabilities,65834000000.0,62270000000.0,53838000000.0,49354000000.0
deferredLongTermAssetCharges,189000000.0,94000000.0,65000000.0,
shortLongTermDebt,281000000.0,238000000.0,418000000.0,415000000.0
otherStockholderEquity,10919000000.0,18072000000.0,13052000000.0,1722000000.0
propertyPlantEquipment,2210000000.0,2614000000.0,2788000000.0,1400000000.0
totalCurrentAssets,67839000000.0,66844000000.0,57016000000.0,54754000000.0
longTermInvestments,372024000000.0,382663000000.0,354062000000.0,323367000000.0
netTangibleAssets,55675000000.0,62147000000.0,55601000000.0,42035000000.0
shortTermInvestments,7176000000.0,3904000000.0,3850000000.0,3937000000.0
netReceivables,18438000000.0,19155000000.0,21630000000.0,21095000000.0
longTermDebt,75174000000.0,77095000000.0,69984000000.0,67032000000.0
accountsPayable,22173000000.0,22147000000.0,21917000000.0,18893000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8126000000.0,6927000000.0,6795000000.0,6307000000.0
netIncome,6554000000.0,5407000000.0,5899000000.0,5123000000.0
sellingGeneralAdministrative,,,,
grossProfit,20712000000.0,20077000000.0,20484000000.0,20021000000.0
ebit,9044000000.0,7838000000.0,7856000000.0,7490000000.0
operatingIncome,9044000000.0,7838000000.0,7856000000.0,7490000000.0
otherOperatingExpenses,11668000000.0,12239000000.0,12628000000.0,12531000000.0
interestExpense,-920000000.0,-913000000.0,-955000000.0,-1122000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1551000000.0,1509000000.0,886000000.0,1179000000.0
totalRevenue,71080000000.0,67842000000.0,69620000000.0,67941000000.0
totalOperatingExpenses,62036000000.0,60004000000.0,61764000000.0,60451000000.0
costOfRevenue,50368000000.0,47765000000.0,49136000000.0,47920000000.0
totalOtherIncomeExpenseNet,-918000000.0,-911000000.0,-1061000000.0,-1183000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6575000000.0,5418000000.0,5909000000.0,5128000000.0
netIncomeApplicableToCommonShares,6353000000.0,5191000000.0,5721000000.0,4982000000.0
investments,-14234000000.0,-13355000000.0,-10935000000.0,1862000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-11187000000.0,-18569000000.0,-17586000000.0,-5634000000.0
netBorrowings,1251000000.0,4415000000.0,2428000000.0,-2729000000.0
totalCashFromFinancingActivities,-1375000000.0,10729000000.0,4568000000.0,-2801000000.0
changeToOperatingActivities,3595000000.0,4022000000.0,7706000000.0,9073000000.0
changeInCash,252000000.0,3197000000.0,777000000.0,3120000000.0
repurchaseOfStock,-4303000000.0,-1151000000.0,-2285000000.0,-3992000000.0
effectOfExchangeRate,-478000000.0,163000000.0,9000000.0,-183000000.0
totalCashFromOperatingActivities,12596000000.0,11639000000.0,13786000000.0,11738000000.0
depreciation,460000000.0,412000000.0,368000000.0,352000000.0
otherCashflowsFromInvestingActivities,-4583000000.0,739000000.0,-966000000.0,-427000000.0
dividendsPaid,-1842000000.0,-1859000000.0,-1821000000.0,-1819000000.0
changeToAccountReceivables,389000000.0,842000000.0,-514000000.0,-1809000000.0
otherCashflowsFromFinancingActivities,4019000000.0,8366000000.0,6246000000.0,4465000000.0
changeToNetincome,766000000.0,760000000.0,-168000000.0,-2217000000.0
annualDilutedAverageShares,825540267.0,892910600.0,915338098.0,958613542.0
