,2021,2020,2019,2018
intangibleAssets,634000000.0,623000000.0,894000000.0,1294000000.0
capitalSurplus,55811000000.0,50018000000.0,45851000000.0,42906000000.0
totalLiab,41108000000.0,31026000000.0,32322000000.0,13207000000.0
totalStockholderEquity,124879000000.0,128290000000.0,101054000000.0,84127000000.0
otherCurrentLiab,12698000000.0,10018000000.0,11186000000.0,4494000000.0
totalAssets,165987000000.0,159316000000.0,133376000000.0,97334000000.0
otherCurrentAssets,149000000.0,241000000.0,8000000.0,10000000.0
retainedEarnings,69761000000.0,77345000000.0,55692000000.0,41981000000.0
otherLiab,6721000000.0,6414000000.0,7745000000.0,6190000000.0
goodWill,19197000000.0,19050000000.0,18715000000.0,18301000000.0
treasuryStock,-693000000.0,927000000.0,-489000000.0,-760000000.0
otherAssets,2751000000.0,2758000000.0,2673000000.0,2576000000.0
cash,16601000000.0,17576000000.0,19079000000.0,10019000000.0
totalCurrentLiabilities,21135000000.0,14981000000.0,15053000000.0,7017000000.0
otherStockholderEquity,-693000000.0,927000000.0,-489000000.0,-760000000.0
propertyPlantEquipment,69964000000.0,54981000000.0,44783000000.0,24683000000.0
totalCurrentAssets,66666000000.0,75670000000.0,66225000000.0,50480000000.0
longTermInvestments,6775000000.0,6234000000.0,86000000.0,
netTangibleAssets,105048000000.0,108617000000.0,81445000000.0,64532000000.0
shortTermInvestments,31397000000.0,44378000000.0,35776000000.0,31095000000.0
netReceivables,14039000000.0,11335000000.0,9518000000.0,7587000000.0
accountsPayable,4083000000.0,1331000000.0,1363000000.0,820000000.0
commonStock,,,,42906000000.0
researchDevelopment,24655000000,18447000000,13600000000,10273000000
effectOfAccountingCharges,,,,
incomeBeforeTax,47284000000,33180000000,24812000000,25361000000
minorityInterest,,,,
netIncome,39370000000,29146000000,18485000000,22112000000
sellingGeneralAdministrative,23872000000,18155000000,15341000000,11297000000
grossProfit,95280000000,69273000000,57927000000,46483000000
ebit,46753000000,32671000000,28986000000,24913000000
operatingIncome,46753000000,32671000000,28986000000,24913000000
otherOperatingExpenses,,,,
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,7914000000,4034000000,6327000000,3249000000
totalRevenue,117929000000,85965000000,70697000000,55838000000
totalOperatingExpenses,71176000000,53294000000,41711000000,30925000000
costOfRevenue,22649000000,16692000000,12770000000,9355000000
totalOtherIncomeExpenseNet,531000000,509000000,-4174000000,448000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,39370000000,29146000000,18485000000,22112000000
netIncomeApplicableToCommonShares,39370000000,29146000000,18485000000,22111000000
investments,12132000000,-14520000000,-4254000000,2449000000
changeToLiabilities,1623000000,91000000,236000000,274000000
totalCashflowsFromInvestingActivities,-7570000000,-30059000000,-19864000000,-11603000000
netBorrowings,-663000000,-580000000,-775000000,500000000
totalCashFromFinancingActivities,-50728000000,-10292000000,-7299000000,-15572000000
changeToOperatingActivities,2187000000,-1302000000,8975000000,91000000
changeInCash,-1089000000,-1325000000,9155000000,1920000000
repurchaseOfStock,-50052000000,-9836000000,-6539000000,-16087000000
effectOfExchangeRate,-474000000,279000000,4000000,-179000000
totalCashFromOperatingActivities,57683000000,38747000000,36314000000,29274000000
depreciation,7967000000,6862000000,5741000000,4315000000
otherCashflowsFromInvestingActivities,-284000000,-36000000,-36000000,-36000000
changeToAccountReceivables,-3110000000,-1512000000,-1961000000,-1892000000
otherCashflowsFromFinancingActivities,-13000000,124000000,15000000,15000000
changeToNetincome,9646000000,5462000000,4838000000,4374000000
capitalExpenditures,-18567000000,-15115000000,-15102000000,-13915000000
