,2021,2020,2019,2018
intangibleAssets,899980000.0,951607000.0,928879000.0,961810000.0
capitalSurplus,1911131000.0,1885142000.0,1868250000.0,1852173000.0
totalLiab,5796301000.0,5786593000.0,5260232000.0,5659064000.0
totalStockholderEquity,8421425000.0,8534316000.0,8119841000.0,7433814000.0
minorityInterest,6791000.0,6842000.0,6607000.0,6245000.0
deferredLongTermLiab,49644000.0,59847000.0,69039000.0,
otherCurrentLiab,48220000.0,60364000.0,59108000.0,62135000.0
totalAssets,14224517000.0,14327751000.0,13386680000.0,13099123000.0
commonStock,729000.0,776000.0,790000.0,797000.0
otherCurrentAssets,20156000.0,31343000.0,27679000.0,74919000.0
retainedEarnings,7692064000.0,7559191000.0,7232337000.0,6588197000.0
otherLiab,852274000.0,823732000.0,801106000.0,877224000.0
goodWill,2607909000.0,2650831000.0,2570027000.0,2520966000.0
treasuryStock,-1182499000.0,-910793000.0,-981536000.0,-1007353000.0
otherAssets,451439000.0,447292000.0,436397000.0,407149000.0
cash,268895000.0,768625000.0,134785000.0,119050000.0
totalCurrentLiabilities,2946355000.0,2371248000.0,2712583000.0,3266239000.0
deferredLongTermAssetCharges,401795000.0,387445000.0,367358000.0,407149000.0
shortLongTermDebt,1084000.0,369230000.0,352717000.0,401036000.0
otherStockholderEquity,-966952000.0,-695145000.0,-765824000.0,-791608000.0
propertyPlantEquipment,5026832000.0,4914367000.0,5021920000.0,4699902000.0
totalCurrentAssets,5238357000.0,5363654000.0,4429457000.0,4509296000.0
netTangibleAssets,4913536000.0,4931878000.0,4620935000.0,3951038000.0
shortTermInvestments,323000000.0,571741000.0,42500000.0,
netReceivables,1839985000.0,1709493000.0,1526619000.0,1606159000.0
longTermDebt,1661892000.0,2318789000.0,1493174000.0,1510431000.0
inventory,2391672000.0,1913020000.0,2282328000.0,2287615000.0
accountsPayable,1228621000.0,1016897000.0,824956000.0,811879000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1289993000,584374000,749545000,1049201000
netIncome,1033159000,515595000,744211000,861704000
sellingGeneralAdministrative,1928482000,1768221000,1835949000,1711157000
grossProfit,3288830000,2533073000,2764345000,2885133000
ebit,1360348000,764852000,928396000,1173976000
operatingIncome,1360348000,764852000,928396000,1173976000
otherOperatingExpenses,,,,
interestExpense,-57252000,-52379000,-41272000,-38827000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,256445000,68647000,4974000,184346000
totalRevenue,11200613000,9552197000,9970672000,9983634000
totalOperatingExpenses,9840265000,8787345000,9042276000,8809658000
costOfRevenue,7911783000,7019124000,7206327000,7098501000
totalOtherIncomeExpenseNet,-70355000,-180478000,-178851000,-124775000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1033548000,515727000,744571000,864855000
netIncomeApplicableToCommonShares,1033159000,515595000,744211000,857812000
investments,243335000,-529241000,10500000,30867000
changeToLiabilities,360791000,255466000,-52065000,-69847000
totalCashflowsFromInvestingActivities,-556754000,-954798000,-616044000,-1332203000
netBorrowings,-320235000,20191000,-673698000,517932000
totalCashFromFinancingActivities,-1232225000,-188185000,-789877000,198029000
changeToOperatingActivities,12378000,-63412000,-6995000,-72518000
changeInCash,-499730000,633840000,15735000,34166000
repurchaseOfStock,-900334000,-188625000,-100080000,-284069000
effectOfExchangeRate,-19870000,6984000,2895000,-13004000
totalCashFromOperatingActivities,1309119000,1769839000,1418761000,1181344000
depreciation,707361000,721405000,686336000,521765000
changeToInventory,-519229000,357516000,7212000,-255391000
changeToAccountReceivables,-207047000,-54977000,81953000,13856000
otherCashflowsFromFinancingActivities,-11656000,-19751000,-16099000,-35834000
changeToNetincome,-78294000,38246000,-41891000,181775000
capitalExpenditures,-676120000,-425557000,-545462000,-794110000
