,2022,2021,2020,2019,2018
intangibleAssets,,3593600000.0,3355400000.0,2923400000.0,2916900000.0
totalLiab,,8480300000.0,8149700000.0,6905400000.0,7074200000.0
totalStockholderEquity,,4411000000.0,3926100000.0,3444200000.0,3170900000.0
minorityInterest,,14500000.0,13900000.0,12500000.0,11300000.0
otherCurrentLiab,,109800000.0,117700000.0,86000000.0,
totalAssets,,12905800000.0,12089700000.0,10362100000.0,10256400000.0
commonStock,,2055100000.0,1981300000.0,1888600000.0,1770600000.0
otherCurrentAssets,,70600000.0,60900000.0,54700000.0,51700000.0
retainedEarnings,,2782400000.0,2415600000.0,2055800000.0,1760200000.0
otherLiab,,1177100000.0,1245900000.0,1125200000.0,1019600000.0
goodWill,,5335800000.0,4986300000.0,4505200000.0,4527900000.0
treasuryStock,,-426500000.0,-470800000.0,-500200000.0,-359900000.0
otherAssets,,202200000.0,176300000.0,120300000.0,102200000.0
cash,,351700000.0,423600000.0,155400000.0,96600000.0
totalCurrentLiabilities,,3223800000.0,3046500000.0,2154400000.0,2001700000.0
shortLongTermDebt,,762800000.0,256600000.0,90900000.0,83500000.0
otherStockholderEquity,,-426500000.0,-470800000.0,-500200000.0,-359900000.0
propertyPlantEquipment,,1277100000.0,1165200000.0,952600000.0,941500000.0
totalCurrentAssets,,2195800000.0,2083600000.0,1550200000.0,1479900000.0
longTermInvestments,,301300000.0,322900000.0,310400000.0,288000000.0
netTangibleAssets,,-4518400000.0,-4415600000.0,-3984400000.0,-4273900000.0
netReceivables,,549500000.0,528500000.0,502900000.0,518100000.0
longTermDebt,,3855100000.0,3628300000.0,3494900000.0,3914300000.0
inventory,,1182300000.0,1032600000.0,801200000.0,786300000.0
accountsPayable,,1064200000.0,1032300000.0,846900000.0,710000000.0
researchDevelopment,,87300000.0,68600000.0,67300000.0,69400000.0
effectOfAccountingCharges,,,,,
incomeBeforeTax,,948000000.0,922300000.0,860100000.0,776100000.0
netIncome,,755300000.0,747400000.0,702700000.0,933400000.0
sellingGeneralAdministrative,,1310400000.0,1203000000.0,1081800000.0,1081800000.0
grossProfit,,2505600000.0,2300400000.0,2145300000.0,2093300000.0
ebit,,1107900000.0,1028800000.0,996200000.0,942100000.0
operatingIncome,,1107900000.0,1028800000.0,996200000.0,942100000.0
otherOperatingExpenses,,,,,
interestExpense,,-136600000.0,-135600000.0,-165200000.0,-174600000.0
extraordinaryItems,,,,,
nonRecurring,,,,,
otherItems,,,,,
incomeTaxExpense,,192700000.0,174900000.0,157400000.0,-157300000.0
totalRevenue,,6317900000.0,5601300000.0,5347400000.0,5302800000.0
totalOperatingExpenses,,5210000000.0,4572500000.0,4351200000.0,4360700000.0
costOfRevenue,,3812300000.0,3300900000.0,3202100000.0,3209500000.0
totalOtherIncomeExpenseNet,,-159900000.0,-106500000.0,-136100000.0,-166000000.0
discontinuedOperations,,,,,
netIncomeFromContinuingOps,,755300000.0,747400000.0,702700000.0,933400000.0
netIncomeApplicableToCommonShares,,755300000.0,747400000.0,702700000.0,933400000.0
investments,,65400000.0,65400000.0,65400000.0,65400000.0
changeToLiabilities,,34900000.0,164200000.0,128200000.0,72800000.0
totalCashflowsFromInvestingActivities,,-908600000.0,-1025600000.0,-171000000.0,-158500000.0
netBorrowings,,397700000.0,555800000.0,-406700000.0,-466500000.0
totalCashFromFinancingActivities,,22000000.0,220900000.0,-725800000.0,-751100000.0
changeToOperatingActivities,,-81400000.0,133800000.0,-81500000.0,-91800000.0
issuanceOfStock,,13500000.0,56600000.0,90900000.0,78200000.0
changeInCash,,-71900000.0,268200000.0,58800000.0,-90200000.0
repurchaseOfStock,,-24000000.0,-60300000.0,-107800000.0,-73900000.0
effectOfExchangeRate,,-13600000.0,31600000.0,8800000.0,-1800000.0
totalCashFromOperatingActivities,,828300000.0,1041300000.0,946800000.0,821200000.0
depreciation,,173700000.0,152600000.0,145100000.0,136700000.0
otherCashflowsFromInvestingActivities,,10400000.0,2700000.0,2700000.0,14800000.0
dividendsPaid,,-363300000.0,-330100000.0,-302200000.0,-273400000.0
changeToInventory,,-153700000.0,-200200000.0,-20900000.0,-10000000.0
changeToAccountReceivables,,-22600000.0,4800000.0,12200000.0,19800000.0
otherCashflowsFromFinancingActivities,,-1900000.0,-1100000.0,-1100000.0,-15500000.0
changeToNetincome,,109500000.0,26300000.0,47300000.0,-253700000.0
capitalExpenditures,,-278000000.0,-225300000.0,-173700000.0,-169100000.0
annualDilutedAverageShares,,269900000.0,269100000.0,268200000.0,
