,2021,2020,2019,2018
intangibleAssets,116377000.0,95354000.0,60986000.0,2962000.0
capitalSurplus,330262000.0,329742000.0,342541000.0,341860000.0
totalLiab,489143000.0,376368000.0,184839000.0,87661000.0
totalStockholderEquity,1041309000.0,955061000.0,770091000.0,607878000.0
otherCurrentLiab,40456000.0,42750000.0,19462000.0,17453000.0
totalAssets,1530452000.0,1331429000.0,954930000.0,695539000.0
commonStock,123000.0,123000.0,122000.0,122000.0
otherCurrentAssets,130027000.0,156081000.0,10346000.0,5200000.0
retainedEarnings,956966000.0,799369000.0,591086000.0,463252000.0
otherLiab,251825000.0,133326000.0,,2810000.0
goodWill,154789000.0,147388000.0,146861000.0,59713000.0
treasuryStock,-246042000.0,-174173000.0,-163658000.0,-197356000.0
cash,506735000.0,460858000.0,270124000.0,246322000.0
totalCurrentLiabilities,160056000.0,149430000.0,86848000.0,84851000.0
otherStockholderEquity,-13330000.0,-4650000.0,-10270000.0,-12394000.0
propertyPlantEquipment,167021000.0,161128000.0,153194000.0,63010000.0
totalCurrentAssets,1092265000.0,927559000.0,456054000.0,419464000.0
netTangibleAssets,770143000.0,712319000.0,562244000.0,545203000.0
netReceivables,403662000.0,262449000.0,62017000.0,57535000.0
accountsPayable,48718000.0,44354000.0,20021000.0,28345000.0
longTermInvestments,,,137835000.0,146966000.0
otherAssets,,,,3424000.0
deferredLongTermAssetCharges,,,,3424000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,333923000,374359000,257424000,218086000
minorityInterest,,,,
netIncome,257888000,299377000,204902000,172852000
sellingGeneralAdministrative,265770000,244293000,206821000,176035000
grossProfit,656477000,655033000,484560000,411699000
ebit,337260000,374744000,250882000,212584000
operatingIncome,337260000,374744000,250882000,212584000
otherOperatingExpenses,,,,
interestExpense,-842000,-1142000,-1142000,-1142000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,76035000,74982000,52522000,45234000
totalRevenue,698951000,689125000,511352000,435565000
totalOperatingExpenses,361691000,314381000,260470000,222981000
costOfRevenue,42474000,34092000,26792000,23866000
totalOtherIncomeExpenseNet,-3337000,-385000,6542000,5502000
discontinuedOperations,,,,
netIncomeFromContinuingOps,257888000,299377000,204902000,172852000
netIncomeApplicableToCommonShares,257888000,299377000,204902000,172852000
changeToLiabilities,96214000.0,139332000.0,-820000.0,14524000.0
totalCashflowsFromInvestingActivities,-67694000.0,68867000.0,-122051000.0,-50296000.0
totalCashFromFinancingActivities,-189775000.0,-145112000.0,-118100000.0,-92673000.0
changeToOperatingActivities,-7394000.0,7196000.0,2859000.0,-1240000.0
issuanceOfStock,7096000.0,4007000.0,1207000.0,2973000.0
changeInCash,17517000.0,333797000.0,26795000.0,79308000.0
repurchaseOfStock,-97079000.0,-58553000.0,-43076000.0,-33214000.0
effectOfExchangeRate,-7105000.0,5553000.0,1011000.0,-1640000.0
totalCashFromOperatingActivities,282091000.0,404489000.0,265935000.0,223917000.0
depreciation,53946000.0,42838000.0,32652000.0,23080000.0
dividendsPaid,-99792000.0,-90566000.0,-76231000.0,-62432000.0
changeToAccountReceivables,-141311000.0,-200886000.0,-2962000.0,-5117000.0
changeToNetincome,29966000.0,35162000.0,27190000.0,16930000.0
capitalExpenditures,-17493000.0,-15010000.0,-12292000.0,-35888000.0
investments,,137792000.0,10109000.0,-2742000.0
otherCashflowsFromInvestingActivities,,,-30000.0,39000.0
