,2021,2020,2019,2018
intangibleAssets,1065000000.0,508000000.0,486800000.0,501300000.0
capitalSurplus,3470400000.0,3440800000.0,3418800000.0,3396100000.0
totalLiab,7855400000.0,4687500000.0,4778300000.0,4602000000.0
totalStockholderEquity,6535300000.0,5890700000.0,5350800000.0,4946400000.0
minorityInterest,2300000.0,2600000.0,2500000.0,3000000.0
otherCurrentLiab,194500000.0,138700000.0,156700000.0,67700000.0
totalAssets,14393000000.0,10580800000.0,10131600000.0,9551400000.0
commonStock,600000.0,600000.0,600000.0,600000.0
otherCurrentAssets,230100000.0,166300000.0,141200000.0,134600000.0
retainedEarnings,3161900000.0,2607700000.0,2077200000.0,1693300000.0
otherLiab,1431500000.0,1130800000.0,1066400000.0,1077300000.0
goodWill,3494400000.0,2414000000.0,2396800000.0,2399100000.0
treasuryStock,-97600000.0,-158400000.0,-145800000.0,-143600000.0
otherAssets,1043300000.0,295200000.0,133400000.0,128000000.0
cash,258400000.0,207300000.0,21000000.0,44900000.0
totalCurrentLiabilities,752600000.0,499300000.0,838500000.0,786700000.0
shortLongTermDebt,100000.0,,340000000.0,390000000.0
otherStockholderEquity,-97600000.0,-158400000.0,-145800000.0,-143600000.0
propertyPlantEquipment,6764700000.0,5695300000.0,5687900000.0,5157200000.0
totalCurrentAssets,2025600000.0,1668300000.0,1426700000.0,1365800000.0
netTangibleAssets,1975900000.0,2968700000.0,2467200000.0,2046000000.0
netReceivables,784500000.0,585700000.0,573700000.0,523300000.0
longTermDebt,5100800000.0,2625800000.0,2433600000.0,2730400000.0
inventory,752600000.0,709000000.0,690800000.0,663000000.0
accountsPayable,356200000.0,207800000.0,229600000.0,210800000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,855500000.0,889300000.0,748300000.0,576100000.0
netIncome,702500000.0,721000000.0,611900000.0,470000000.0
sellingGeneralAdministrative,329200000.0,303500000.0,308400000.0,283600000.0
grossProfit,1349000000.0,1256500000.0,1183200000.0,970600000.0
ebit,1031900000.0,939200000.0,879700000.0,687000000.0
operatingIncome,1031900000.0,939200000.0,879700000.0,687000000.0
otherOperatingExpenses,-12100000.0,13800000.0,-4900000.0,-4900000.0
interestExpense,-142700000.0,-118100000.0,-129300000.0,-137100000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,153200000.0,168200000.0,136300000.0,105700000.0
totalRevenue,5084700000.0,4432100000.0,4422300000.0,3980400000.0
totalOperatingExpenses,4052800000.0,3492900000.0,3542600000.0,3293400000.0
costOfRevenue,3735700000.0,3175600000.0,3239100000.0,3009800000.0
totalOtherIncomeExpenseNet,-176400000.0,-49900000.0,-131400000.0,-110900000.0
discontinuedOperations,500000.0,500000.0,500000.0,500000.0
netIncomeFromContinuingOps,702300000.0,721100000.0,612000000.0,470400000.0
netIncomeApplicableToCommonShares,702300000.0,720400000.0,611000000.0,469200000.0
changeToLiabilities,109800000.0,-34000000.0,25900000.0,20100000.0
totalCashflowsFromInvestingActivities,-3474600000.0,-409700000.0,-385900000.0,-1948200000.0
netBorrowings,2465500000.0,-152500000.0,-361100000.0,86400000.0
totalCashFromFinancingActivities,2291400000.0,-357000000.0,-604100000.0,-158400000.0
changeToOperatingActivities,-104000000.0,-20200000.0,-34200000.0,-179900000.0
issuanceOfStock,1300000.0,2300000.0,13700000.0,7300000.0
changeInCash,-45500000.0,283400000.0,-23900000.0,-1401500000.0
repurchaseOfStock,-19500000.0,-64500000.0,-126300000.0,-112300000.0
totalCashFromOperatingActivities,1137700000.0,1050100000.0,966100000.0,705100000.0
depreciation,451700000.0,393500000.0,371500000.0,344000000.0
otherCashflowsFromInvestingActivities,14900000.0,-127200000.0,-800000.0,80200000.0
dividendsPaid,-147800000.0,-140300000.0,-129800000.0,-116400000.0
changeToInventory,73200000.0,-19300000.0,-27700000.0,-22000000.0
changeToAccountReceivables,-194400000.0,6100000.0,-50400000.0,-10600000.0
otherCashflowsFromFinancingActivities,-8100000.0,-2000000.0,-600000.0,-23400000.0
changeToNetincome,98900000.0,3000000.0,69100000.0,83500000.0
capitalExpenditures,-423100000.0,-359700000.0,-393500000.0,-455400000.0
annualDilutedAverageShares,62600000.0,62400000.0,62710000.0,63147000.0
