,2021,2020,2019,2018
intangibleAssets,3285000000,3180000000,3270000000,1872000000
capitalSurplus,1112000000,943000000,862000000,817000000
totalLiab,23166000000,23789000000,23414000000,13994000000
totalStockholderEquity,11009000000,9104000000,7793000000,7511000000
minorityInterest,213000000,156000000,150000000,73000000
deferredLongTermLiab,314000000,282000000,252000000,247000000
otherCurrentLiab,277000000,518000000,179000000,598000000
totalAssets,34388000000,33049000000,31357000000,21578000000
commonStock,561000000,561000000,561000000,561000000
otherCurrentAssets,641000000,504000000,470000000,439000000
retainedEarnings,18389000000,16272000000,15199000000,14347000000
otherLiab,3699000000,4513000000,4068000000,3560000000
goodWill,16317000000,15517000000,14671000000,9599000000
treasuryStock,-9053000000,-8672000000,-8829000000,-8214000000
otherAssets,3339000000,2914000000,2957000000,2811000000
cash,1752000000,2089000000,1155000000,1066000000
totalCurrentLiabilities,6654000000,6556000000,6679000000,4924000000
deferredLongTermAssetCharges,551000000,702000000,676000000,680000000
shortLongTermDebt,17000000,517000000,1215000000,314000000
otherStockholderEquity,-4575000000,-5110000000,-5055000000,-4647000000
propertyPlantEquipment,2715000000,2750000000,2779000000,701000000
totalCurrentAssets,8264000000,8155000000,7068000000,5934000000
longTermInvestments,468000000,533000000,612000000,661000000
netTangibleAssets,-8593000000,-9593000000,-10148000000,-3960000000
netReceivables,5871000000,5562000000,5443000000,4429000000
longTermDebt,10933000000,10796000000,10741000000,5510000000
accountsPayable,3086000000,2779000000,2746000000,2234000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,4208000000,2793000000,2439000000,2244000000
netIncome,3143000000,2016000000,1742000000,1650000000
sellingGeneralAdministrative,,,,
grossProfit,8710000000,7434000000,7183000000,6560000000
ebit,4752000000,3663000000,2942000000,2983000000
operatingIncome,4752000000,3663000000,2942000000,2983000000
otherOperatingExpenses,3958000000,3771000000,4241000000,3577000000
interestExpense,-444000000,-515000000,-524000000,-290000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1034000000,747000000,666000000,574000000
totalRevenue,19820000000,17224000000,16652000000,14950000000
totalOperatingExpenses,15068000000,13561000000,13710000000,11967000000
costOfRevenue,11110000000,9790000000,9469000000,8390000000
totalOtherIncomeExpenseNet,-544000000,-870000000,-503000000,-739000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3174000000,2046000000,1773000000,1670000000
netIncomeApplicableToCommonShares,3143000000,2016000000,1742000000,1650000000
investments,13000000,107000000,92000000,4000000
changeToLiabilities,225000000,241000000,120000000,23000000
totalCashflowsFromInvestingActivities,-1164000000,-793000000,-4395000000,-1089000000
netBorrowings,-273000000,-778000000,5110000000,328000000
totalCashFromFinancingActivities,-1297000000,-925000000,4331000000,-1310000000
changeToOperatingActivities,-611000000,-340000000,-843000000,-207000000
issuanceOfStock,161000000,132000000,158000000,93000000
changeInCash,700000000,2175000000,2432000000,-139000000
repurchaseOfStock,-1260000000,-132000000,-574000000,-742000000
effectOfExchangeRate,-355000000,511000000,135000000,-168000000
totalCashFromOperatingActivities,3516000000,3382000000,2361000000,2428000000
depreciation,1074000000,1096000000,962000000,494000000
otherCashflowsFromInvestingActivities,4000000,-3000000,-66000000,-8000000
dividendsPaid,-1014000000,-932000000,-880000000,-800000000
changeToAccountReceivables,-252000000,-75000000,-130000000,-78000000
otherCashflowsFromFinancingActivities,1089000000,785000000,517000000,-189000000
changeToNetincome,-18000000,384000000,468000000,586000000
capitalExpenditures,-406000000,-348000000,-421000000,-314000000
