,2021,2020,2019,2018
intangibleAssets,5288000000.0,5835000000.0,6379000000.0,2657000000.0
capitalSurplus,6429000000.0,6162000000.0,5907000000.0,5643000000.0
totalLiab,31955000000.0,34413000000.0,34533000000.0,26652000000.0
totalStockholderEquity,15046000000.0,12867000000.0,10063000000.0,9796000000.0
minorityInterest,71000000.0,64000000.0,63000000.0,52000000.0
otherCurrentLiab,2090000000.0,2346000000.0,2092000000.0,1852000000.0
totalAssets,47072000000.0,47344000000.0,44659000000.0,36500000000.0
commonStock,9000000.0,9000000.0,9000000.0,9000000.0
otherCurrentAssets,229000000.0,193000000.0,719000000.0,246000000.0
retainedEarnings,45821000000.0,43821000000.0,42135000000.0,40636000000.0
otherLiab,6180000000.0,7774000000.0,7075000000.0,5905000000.0
goodWill,13486000000.0,13802000000.0,13444000000.0,10051000000.0
treasuryStock,-37213000000.0,-37125000000.0,-37988000000.0,-36492000000.0
otherAssets,2346000000.0,2226000000.0,1461000000.0,1138000000.0
cash,4564000000.0,4634000000.0,2353000000.0,2853000000.0
totalCurrentLiabilities,9035000000.0,7948000000.0,9222000000.0,7244000000.0
deferredLongTermAssetCharges,581000000.0,871000000.0,521000000.0,365000000.0
shortLongTermDebt,1291000000.0,794000000.0,1841000000.0,759000000.0
otherStockholderEquity,-6750000000.0,-7721000000.0,-8139000000.0,-6866000000.0
propertyPlantEquipment,10287000000.0,10285000000.0,10191000000.0,8738000000.0
totalCurrentAssets,15403000000.0,14982000000.0,12971000000.0,13709000000.0
longTermInvestments,262000000.0,214000000.0,213000000.0,207000000.0
netTangibleAssets,-3728000000.0,-6770000000.0,-9760000000.0,-2912000000.0
shortTermInvestments,201000000.0,404000000.0,98000000.0,380000000.0
netReceivables,4770000000.0,4830000000.0,4963000000.0,5123000000.0
longTermDebt,16056000000.0,17989000000.0,17518000000.0,13428000000.0
inventory,4985000000.0,4239000000.0,4134000000.0,4366000000.0
accountsPayable,2994000000.0,2561000000.0,2228000000.0,2266000000.0
researchDevelopment,1977000000.0,1862000000.0,1874000000.0,1816000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,7214000000.0,6790000000.0,5643000000.0,7000000000.0
netIncome,5921000000.0,5449000000.0,4517000000.0,5349000000.0
sellingGeneralAdministrative,6812000000.0,6667000000.0,6893000000.0,6527000000.0
grossProfit,16579000000.0,15685000000.0,15072000000.0,16110000000.0
ebit,7790000000.0,7156000000.0,6305000000.0,7767000000.0
operatingIncome,7790000000.0,7156000000.0,6305000000.0,7767000000.0
otherOperatingExpenses,,,,
interestExpense,-488000000.0,-529000000.0,-448000000.0,-350000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1285000000.0,1337000000.0,1114000000.0,1637000000.0
totalRevenue,35355000000.0,32184000000.0,32136000000.0,32765000000.0
totalOperatingExpenses,27565000000.0,25028000000.0,25831000000.0,24998000000.0
costOfRevenue,18776000000.0,16499000000.0,17064000000.0,16655000000.0
totalOtherIncomeExpenseNet,-576000000.0,-366000000.0,-662000000.0,-767000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,5929000000.0,5453000000.0,4529000000.0,5363000000.0
netIncomeApplicableToCommonShares,5921000000.0,5449000000.0,4517000000.0,5349000000.0
investments,204000000.0,232000000.0,-192000000.0,669000000.0
changeToLiabilities,518000000.0,252000000.0,-117000000.0,408000000.0
totalCashflowsFromInvestingActivities,-1317000000.0,-580000000.0,-6444000000.0,222000000.0
netBorrowings,-1145000000.0,-1875000000.0,3249000000.0,933000000.0
totalCashFromFinancingActivities,-6145000000.0,-5300000000.0,-1124000000.0,-6701000000.0
issuanceOfStock,639000000.0,429000000.0,547000000.0,485000000.0
changeInCash,-70000000.0,2281000000.0,-500000000.0,-200000000.0
repurchaseOfStock,-2199000000.0,-368000000.0,-1407000000.0,-4870000000.0
effectOfExchangeRate,-62000000.0,48000000.0,-2000000.0,-160000000.0
totalCashFromOperatingActivities,7454000000.0,8113000000.0,7070000000.0,6439000000.0
depreciation,1915000000.0,1911000000.0,1593000000.0,1488000000.0
otherCashflowsFromInvestingActivities,31000000.0,10000000.0,72000000.0,9000000.0
dividendsPaid,-3420000000.0,-3388000000.0,-3316000000.0,-3193000000.0
changeToInventory,-903000000.0,-91000000.0,370000000.0,-509000000.0
changeToAccountReceivables,-122000000.0,165000000.0,345000000.0,-305000000.0
otherCashflowsFromFinancingActivities,-20000000.0,-98000000.0,-197000000.0,-56000000.0
changeToNetincome,369000000.0,295000000.0,157000000.0,-126000000.0
capitalExpenditures,-1603000000.0,-1501000000.0,-1699000000.0,-1577000000.0
annualDilutedAverageShares,585300000.0,582200000.0,585100000.0,602000000.0
