,2021,2020,2019,2018
intangibleAssets,1072386000.0,1059046000.0,1052105000.0,1045878000.0
capitalSurplus,4652620000.0,4537982000.0,4397511000.0,4238170000.0
totalLiab,1237833000.0,1041856000.0,979071000.0,915990000.0
totalStockholderEquity,6566951000.0,5160860000.0,4171281000.0,3610901000.0
otherCurrentLiab,73861000.0,71509000.0,59970000.0,54769000.0
totalAssets,7804784000.0,6202716000.0,5150352000.0,4526891000.0
commonStock,3200000.0,3193000.0,3182000.0,3155000.0
otherCurrentAssets,33892000.0,24802000.0,29689000.0,38874000.0
retainedEarnings,7809549000.0,6432074000.0,5022480000.0,3914645000.0
otherLiab,255327000.0,274502000.0,292323000.0,314845000.0
goodWill,1331643000.0,1331643000.0,1331643000.0,1331643000.0
treasuryStock,-5898418000.0,-5812389000.0,-5251892000.0,-4545069000.0
otherAssets,280916000.0,289371000.0,107408000.0,100249000.0
cash,1326462000.0,1180413000.0,797957000.0,637513000.0
totalCurrentLiabilities,965076000.0,749988000.0,661097000.0,601145000.0
deferredLongTermAssetCharges,225221000.0,241650000.0,84777000.0,85687000.0
otherStockholderEquity,-69165000.0,3034000.0,-32387000.0,-32864000.0
propertyPlantEquipment,336910000.0,337410000.0,329982000.0,243051000.0
totalCurrentAssets,4682110000.0,3140955000.0,2316309000.0,1804170000.0
longTermInvestments,100819000.0,44291000.0,12905000.0,1900000.0
netTangibleAssets,4162922000.0,2770171000.0,1787533000.0,1233380000.0
shortTermInvestments,1749727000.0,881354000.0,533063000.0,320650000.0
netReceivables,896004000.0,665943000.0,540001000.0,484519000.0
inventory,593357000.0,333085000.0,360731000.0,277705000.0
accountsPayable,404263000.0,296800000.0,274045000.0,248760000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1801419000.0,1626157000.0,1415962000.0,1293272000.0
minorityInterest,,,,
netIncome,1377475000.0,1409594000.0,1107835000.0,993004000.0
sellingGeneralAdministrative,1305746000.0,1090527000.0,1104346000.0,985156000.0
grossProfit,3108513000.0,2723880000.0,2518585000.0,2295375000.0
ebit,1802767000.0,1633353000.0,1414239000.0,1310219000.0
operatingIncome,1802767000.0,1633353000.0,1414239000.0,1310219000.0
otherOperatingExpenses,,,,
interestExpense,-19000.0,-39000.0,-56000.0,-60000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,423944000.0,216563000.0,308127000.0,300268000.0
totalRevenue,5541352000.0,4598638000.0,4200819000.0,3807183000.0
totalOperatingExpenses,3738585000.0,2965285000.0,2786580000.0,2496964000.0
costOfRevenue,2432839000.0,1874758000.0,1682234000.0,1511808000.0
totalOtherIncomeExpenseNet,-1348000.0,-7196000.0,1723000.0,-16947000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1377475000.0,1409594000.0,1107835000.0,993004000.0
netIncomeApplicableToCommonShares,1377475000.0,1409594000.0,1107835000.0,993004000.0
investments,-924544000.0,-379785000.0,-216300000.0,355400000.0
changeToLiabilities,91639000.0,-2784000.0,3974000.0,-10115000.0
totalCashflowsFromInvestingActivities,-992022000.0,-472487000.0,-326724000.0,272956000.0
netBorrowings,2928000.0,-3086000.0,-13569000.0,-1886000.0
totalCashFromFinancingActivities,34821000.0,-526068000.0,-628506000.0,-1316111000.0
changeToOperatingActivities,82185000.0,48044000.0,349000.0,30094000.0
issuanceOfStock,45723000.0,72936000.0,92363000.0,27851000.0
changeInCash,146049000.0,382456000.0,160444000.0,108891000.0
repurchaseOfStock,-13830000.0,-595918000.0,-707300000.0,-1342076000.0
effectOfExchangeRate,-52491000.0,16848000.0,1912000.0,-9835000.0
totalCashFromOperatingActivities,1155741000.0,1364163000.0,1113762000.0,1161881000.0
depreciation,50155000.0,57030000.0,60727000.0,56979000.0
otherCashflowsFromInvestingActivities,-11353000.0,-26423000.0,-1265000.0,-11814000.0
changeToInventory,-277793000.0,30304000.0,-85222000.0,-26146000.0
changeToAccountReceivables,-254228000.0,-119672000.0,-59941000.0,-38412000.0
changeToNetincome,90006000.0,-74291000.0,68454000.0,55818000.0
capitalExpenditures,-43868000.0,-48722000.0,-101661000.0,-61941000.0
annualDilutedAverageShares,535639000.0,534807000.0,546608000.0,564254000.0
