,2021,2020,2019,2018
intangibleAssets,390000000.0,339000000.0,99000000.0,100000000.0
capitalSurplus,236000000.0,199000000.0,175000000.0,643000000.0
totalLiab,9579000000.0,7436000000.0,4827000000.0,5507000000.0
totalStockholderEquity,2630000000.0,2096000000.0,1960000000.0,1647000000.0
otherCurrentLiab,370000000.0,375000000.0,278000000.0,687000000.0
totalAssets,12209000000.0,9532000000.0,6787000000.0,7154000000.0
otherCurrentAssets,11000000.0,10000000.0,41000000.0,476000000.0
retainedEarnings,2399000000.0,1860000000.0,1781000000.0,1012000000.0
otherLiab,41000000.0,64000000.0,42000000.0,44000000.0
goodWill,982000000.0,692000000.0,143000000.0,143000000.0
treasuryStock,-5000000.0,37000000.0,4000000.0,-8000000.0
otherAssets,369000000.0,253000000.0,198000000.0,261000000.0
cash,4438000000.0,4154000000.0,2452000000.0,2826000000.0
totalCurrentLiabilities,7047000000.0,4965000000.0,3269000000.0,4246000000.0
deferredLongTermAssetCharges,106000000.0,69000000.0,79000000.0,117000000.0
otherStockholderEquity,-5000000.0,37000000.0,4000000.0,-8000000.0
propertyPlantEquipment,404000000.0,372000000.0,380000000.0,188000000.0
totalCurrentAssets,10064000000.0,7876000000.0,5967000000.0,6462000000.0
netTangibleAssets,1258000000.0,1065000000.0,1718000000.0,1404000000.0
shortTermInvestments,3202000000.0,1875000000.0,1946000000.0,1681000000.0
netReceivables,2177000000.0,1672000000.0,1406000000.0,1330000000.0
longTermDebt,2173000000.0,2127000000.0,1237000000.0,1020000000.0
accountsPayable,4155000000.0,3304000000.0,2276000000.0,2351000000.0
shortLongTermDebt,,,18000000.0,240000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,875000000,961000000,972000000,999000000
minorityInterest,,,,
netIncome,659000000,673000000,737000000,707000000
sellingGeneralAdministrative,2034000000,1480000000,1296000000,1333000000
grossProfit,3280000000,2555000000,2435000000,3007000000
ebit,1078000000,956000000,1044000000,1131000000
operatingIncome,1078000000,956000000,1044000000,1131000000
otherOperatingExpenses,37000000,31000000,6000000,444000000
interestExpense,-120000000,-102000000,-87000000,-115000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,216000000,288000000,235000000,292000000
totalRevenue,26984000000,18375000000,16340000000,18144000000
totalOperatingExpenses,25906000000,17419000000,15296000000,17013000000
costOfRevenue,23704000000,15820000000,13905000000,15137000000
totalOtherIncomeExpenseNet,-203000000,5000000,-57000000,-132000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,659000000,673000000,737000000,707000000
netIncomeApplicableToCommonShares,659000000,673000000,737000000,707000000
investments,-1384000000,427000000,-234000000,1001000000
changeToLiabilities,133000000,212000000,47000000,24000000
totalCashflowsFromInvestingActivities,-1653000000,-400000000,-293000000,1143000000
netBorrowings,17000000,859000000,-20000000,-662000000
totalCashFromFinancingActivities,-183000000,217000000,-559000000,-1193000000
changeToOperatingActivities,1498000000,974000000,-382000000,-794000000
changeInCash,283000000,1715000000,-418000000,-364000000
repurchaseOfStock,-181000000,-614000000,-54000000,-54000000
totalCashFromOperatingActivities,2119000000,1898000000,434000000,-314000000
depreciation,90000000,50000000,56000000,57000000
otherCashflowsFromInvestingActivities,-63000000,2000000,-2000000,-18000000
changeToAccountReceivables,-415000000,-100000000,-76000000,-530000000
otherCashflowsFromFinancingActivities,-19000000,-28000000,-485000000,-531000000
changeToNetincome,106000000,65000000,34000000,101000000
capitalExpenditures,-77000000,-74000000,-57000000,-30000000
