,2021,2020,2019,2018
capitalSurplus,33262000000.0,33208000000.0,33157000000.0,33729000000.0
totalLiab,51792000000.0,54938000000.0,55449000000.0,47887000000.0
totalStockholderEquity,26206000000.0,22199000000.0,33694000000.0,35175000000.0
minorityInterest,7375000000.0,8021000000.0,9413000000.0,9878000000.0
otherCurrentLiab,2278000000.0,3777000000.0,3521000000.0,2154000000.0
totalAssets,85373000000.0,85158000000.0,98556000000.0,92940000000.0
commonStock,10000000.0,10000000.0,10000000.0,10000000.0
otherCurrentAssets,568000000.0,14113000000.0,12028000000.0,646000000.0
retainedEarnings,12905000000.0,4650000000.0,15990000000.0,14755000000.0
otherLiab,7999000000.0,9531000000.0,9181000000.0,7691000000.0
goodWill,8256000000.0,8256000000.0,15650000000.0,20184000000.0
treasuryStock,-19971000000.0,-15669000000.0,-15463000000.0,-13319000000.0
otherAssets,2400000000.0,2637000000.0,3204000000.0,3777000000.0
cash,5291000000.0,415000000.0,1393000000.0,1687000000.0
totalCurrentLiabilities,17898000000.0,15663000000.0,16948000000.0,13216000000.0
deferredLongTermAssetCharges,2000000.0,3000000.0,20000000.0,29000000.0
shortLongTermDebt,498000000.0,1761000000.0,648000000.0,474000000.0
otherStockholderEquity,-67000000.0,-512000000.0,-320000000.0,-144000000.0
propertyPlantEquipment,38812000000.0,40556000000.0,42676000000.0,45058000000.0
totalCurrentAssets,30496000000.0,28287000000.0,30458000000.0,18023000000.0
longTermInvestments,5409000000.0,5422000000.0,6568000000.0,5898000000.0
netTangibleAssets,17950000000.0,13943000000.0,18044000000.0,14991000000.0
shortTermInvestments,5548000000.0,,,
netReceivables,11034000000.0,5760000000.0,7233000000.0,5853000000.0
longTermDebt,24443000000.0,28154000000.0,27483000000.0,26401000000.0
inventory,8055000000.0,7999000000.0,9804000000.0,9837000000.0
accountsPayable,13700000000.0,7803000000.0,11222000000.0,9366000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2817000000.0,-13612000000.0,3233000000.0,3697000000.0
netIncome,9738000000.0,-9826000000.0,2637000000.0,2780000000.0
sellingGeneralAdministrative,2601000000.0,2721000000.0,3196000000.0,2085000000.0
grossProfit,10443000000.0,4163000000.0,12047000000.0,9237000000.0
ebit,3757000000.0,-2600000000.0,5065000000.0,4576000000.0
operatingIncome,3757000000.0,-2600000000.0,5065000000.0,4576000000.0
otherOperatingExpenses,721000000.0,667000000.0,561000000.0,406000000.0
interestExpense,-1267000000.0,-1333000000.0,-1231000000.0,-945000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,264000000.0,-2430000000.0,784000000.0,764000000.0
totalRevenue,120451000000.0,69896000000.0,111275000000.0,86284000000.0
totalOperatingExpenses,116694000000.0,72496000000.0,106210000000.0,81708000000.0
costOfRevenue,110008000000.0,65733000000.0,99228000000.0,77047000000.0
totalOtherIncomeExpenseNet,-940000000.0,-11012000000.0,-1832000000.0,-879000000.0
discontinuedOperations,8448000000.0,1205000000.0,806000000.0,673000000.0
netIncomeFromContinuingOps,2553000000.0,-11182000000.0,2449000000.0,2933000000.0
netIncomeApplicableToCommonShares,9736000000.0,-9827000000.0,2636000000.0,2779000000.0
investments,-5719000000.0,-348000000.0,-966000000.0,-393000000.0
changeToLiabilities,6260000000.0,-2927000000.0,2453000000.0,-2801000000.0
totalCashflowsFromInvestingActivities,14797000000.0,-3257000000.0,-6261000000.0,-7670000000.0
netBorrowings,-6273000000.0,2726000000.0,1201000000.0,5444000000.0
totalCashFromFinancingActivities,-14419000000.0,-135000000.0,-3376000000.0,222000000.0
changeToOperatingActivities,3000000.0,-19000000.0,-9000000.0,-9000000.0
issuanceOfStock,106000000.0,11000000.0,10000000.0,24000000.0
changeInCash,4738000000.0,-973000000.0,-196000000.0,-1290000000.0
repurchaseOfStock,-4654000000.0,-4654000000.0,-1950000000.0,-3287000000.0
totalCashFromOperatingActivities,4360000000.0,2419000000.0,9441000000.0,6158000000.0
depreciation,3364000000.0,3375000000.0,3225000000.0,2170000000.0
otherCashflowsFromInvestingActivities,21827000000.0,-272000000.0,-403000000.0,-298000000.0
dividendsPaid,-1484000000.0,-1510000000.0,-1398000000.0,-954000000.0
changeToInventory,-33000000.0,1750000000.0,-362000000.0,965000000.0
changeToAccountReceivables,-5299000000.0,1465000000.0,-1717000000.0,1277000000.0
otherCashflowsFromFinancingActivities,-2114000000.0,-1362000000.0,-1239000000.0,-1005000000.0
changeToNetincome,-9752000000.0,8532000000.0,3181000000.0,1697000000.0
capitalExpenditures,-1464000000.0,-2787000000.0,-4810000000.0,-3179000000.0
annualDilutedAverageShares,638000000.0,649000000.0,664000000.0,526000000.0
