,2021,2020,2019,2018
intangibleAssets,22933000000.0,14101000000.0,14196000000.0,13104000000.0
capitalSurplus,44238000000.0,39588000000.0,39660000000.0,38808000000.0
totalLiab,67437000000.0,66184000000.0,58396000000.0,55755000000.0
totalStockholderEquity,38184000000.0,25317000000.0,25907000000.0,26701000000.0
minorityInterest,73000000.0,87000000.0,94000000.0,181000000.0
otherCurrentLiab,3276000000.0,4917000000.0,3152000000.0,3614000000.0
totalAssets,105694000000.0,91588000000.0,84397000000.0,82637000000.0
commonStock,1788000000.0,1788000000.0,1788000000.0,1788000000.0
otherCurrentAssets,5424000000.0,6919000000.0,3950000000.0,4345000000.0
retainedEarnings,53696000000.0,47362000000.0,46602000000.0,42579000000.0
otherLiab,11650000000.0,12162000000.0,12672000000.0,13662000000.0
goodWill,21264000000.0,18882000000.0,19425000000.0,18253000000.0
treasuryStock,-61538000000.0,-63421000000.0,-62143000000.0,-56474000000.0
otherAssets,9400000000.0,10728000000.0,5263000000.0,5313000000.0
cash,8096000000.0,8050000000.0,9676000000.0,7965000000.0
totalCurrentLiabilities,23872000000.0,27327000000.0,22220000000.0,22206000000.0
deferredLongTermAssetCharges,692000000.0,782000000.0,719000000.0,656000000.0
shortLongTermDebt,2300000000.0,2300000000.0,1901000000.0,
otherStockholderEquity,-4429000000.0,-6634000000.0,-6193000000.0,-5545000000.0
propertyPlantEquipment,20865000000.0,18688000000.0,16126000000.0,13291000000.0
totalCurrentAssets,30266000000.0,27764000000.0,27483000000.0,25875000000.0
longTermInvestments,966000000.0,1425000000.0,1904000000.0,6801000000.0
netTangibleAssets,-6013000000.0,-7666000000.0,-7714000000.0,-4656000000.0
netReceivables,10779000000.0,7240000000.0,7105000000.0,7226000000.0
longTermDebt,30690000000.0,25360000000.0,22736000000.0,19887000000.0
inventory,5953000000.0,5554000000.0,5978000000.0,5440000000.0
accountsPayable,6389000000.0,4665000000.0,4315000000.0,4098000000.0
shortTermInvestments,,,774000000.0,899000000.0
researchDevelopment,10203000000,10152000000,8594000000,9254000000
effectOfAccountingCharges,,,,
incomeBeforeTax,13879000000,5863000000,7171000000,8701000000
netIncome,13049000000,7067000000,9843000000,6220000000
sellingGeneralAdministrative,9403000000,8569000000,8829000000,9587000000
grossProfit,35463000000,29963000000,28061000000,28943000000
ebit,15857000000,11242000000,10638000000,10102000000
operatingIncome,15857000000,11242000000,10638000000,10102000000
otherOperatingExpenses,,,,
interestExpense,-806000000,-831000000,-893000000,-772000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1521000000,1340000000,1565000000,2508000000
totalRevenue,48704000000,41518000000,39121000000,42294000000
totalOperatingExpenses,32847000000,30276000000,28483000000,32192000000
costOfRevenue,13241000000,11555000000,11060000000,13351000000
totalOtherIncomeExpenseNet,-1978000000,-5379000000,-3467000000,-1401000000
discontinuedOperations,704000000,2548000000,4153000000,4153000000
netIncomeFromContinuingOps,12358000000,4523000000,5606000000,6193000000
netIncomeApplicableToCommonShares,13049000000,7067000000,9843000000,6220000000
investments,1025000000,1717000000,5420000000,7258000000
changeToLiabilities,405000000,684000000,443000000,230000000
totalCashflowsFromInvestingActivities,-16555000000,-9443000000,-2629000000,4314000000
netBorrowings,1631000000,5011000000,1248000000,837000000
totalCashFromFinancingActivities,2593000000,-2832000000,-8861000000,-13160000000
changeToOperatingActivities,-997000000,-4202000000,-250000000,-1281000000
issuanceOfStock,202000000,89000000,361000000,591000000
changeInCash,14000000,-1781000000,1967000000,1871000000
repurchaseOfStock,-840000000,-1281000000,-4780000000,-9091000000
effectOfExchangeRate,-133000000,253000000,17000000,-205000000
totalCashFromOperatingActivities,14109000000,10241000000,13440000000,10922000000
depreciation,3123000000,3218000000,3077000000,4520000000
otherCashflowsFromInvestingActivities,-225000000,-125000000,274000000,102000000
dividendsPaid,-6610000000,-6215000000,-5695000000,-5172000000
changeToInventory,-674000000,-895000000,-473000000,-911000000
changeToAccountReceivables,-2033000000,-1002000000,92000000,-418000000
otherCashflowsFromFinancingActivities,8210000000,-436000000,5000000,-325000000
changeToNetincome,1776000000,4557000000,2597000000,1735000000
capitalExpenditures,-4448000000,-4429000000,-3369000000,-2615000000
