,2022,2021,2020,2019
intangibleAssets,11298000000,7800000000,7038000000,7750000000
totalLiab,198298000000,191791000000,183007000000,184226000000
totalStockholderEquity,166542000000,141988000000,118304000000,102330000000
otherCurrentLiab,59384000000,52612000000,46001000000,45860000000
totalAssets,364840000000,333779000000,301311000000,286556000000
commonStock,86939000000,83111000000,80552000000,78520000000
otherCurrentAssets,16932000000,13471000000,11517000000,10133000000
retainedEarnings,84281000000,57055000000,34566000000,24150000000
otherLiab,30853000000,31681000000,34492000000,35699000000
goodWill,67524000000,49711000000,43351000000,42026000000
treasuryStock,-4678000000,1822000000,3186000000,-340000000
otherAssets,21897000000,15075000000,13138000000,14723000000
cash,13931000000,14224000000,13576000000,11356000000
totalCurrentLiabilities,95082000000,88657000000,72310000000,69420000000
deferredLongTermAssetCharges,13515000000,7181000000,6405000000,7536000000
shortLongTermDebt,2749000000,8072000000,3749000000,5516000000
otherStockholderEquity,-4678000000,1822000000,3186000000,-340000000
propertyPlantEquipment,87546000000,70803000000,52904000000,43856000000
totalCurrentAssets,169684000000,184406000000,181915000000,175552000000
longTermInvestments,6891000000,5984000000,2965000000,2649000000
netTangibleAssets,87720000000,84477000000,67915000000,52554000000
shortTermInvestments,90818000000,116032000000,122916000000,122476000000
netReceivables,44261000000,38043000000,32011000000,29524000000
longTermDebt,47032000000,50074000000,59578000000,66662000000
inventory,3742000000,2636000000,1895000000,2063000000
accountsPayable,19000000000,15163000000,12530000000,9382000000
researchDevelopment,24512000000,20716000000,19269000000,16876000000
effectOfAccountingCharges,,,,
incomeBeforeTax,83716000000,71102000000,53036000000,43688000000
minorityInterest,,,,
netIncome,72738000000,61271000000,44281000000,39240000000
sellingGeneralAdministrative,27725000000,25224000000,24709000000,23098000000
grossProfit,135620000000,115856000000,96937000000,82933000000
ebit,83383000000,69916000000,52959000000,42959000000
operatingIncome,83383000000,69916000000,52959000000,42959000000
otherOperatingExpenses,,,,
interestExpense,-2047000000,-2330000000,-2591000000,-2686000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,10978000000,9831000000,8755000000,4448000000
totalRevenue,198270000000,168088000000,143015000000,125843000000
totalOperatingExpenses,114887000000,98172000000,90056000000,82884000000
costOfRevenue,62650000000,52232000000,46078000000,42910000000
totalOtherIncomeExpenseNet,333000000,1186000000,77000000,729000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,72738000000,61271000000,44281000000,39240000000
netIncomeApplicableToCommonShares,72738000000,61271000000,44281000000,39240000000
investments,18438000000,2876000000,6980000000,540000000
changeToLiabilities,8052000000,7431000000,5230000000,4694000000
totalCashflowsFromInvestingActivities,-30311000000,-27577000000,-12223000000,-15773000000
netBorrowings,-9023000000,-3750000000,-5518000000,-4000000000
totalCashFromFinancingActivities,-58876000000,-48486000000,-46031000000,-36887000000
changeToOperatingActivities,-345000000,1160000000,-673000000,-1542000000
issuanceOfStock,1841000000,1693000000,1343000000,1142000000
changeInCash,-293000000,648000000,2220000000,-590000000
repurchaseOfStock,-32696000000,-27385000000,-22968000000,-19543000000
effectOfExchangeRate,-141000000,-29000000,-201000000,-115000000
totalCashFromOperatingActivities,89035000000,76740000000,60675000000,52185000000
depreciation,14600000000,10900000000,12300000000,11600000000
otherCashflowsFromInvestingActivities,-2825000000,-922000000,-1241000000,-1241000000
dividendsPaid,-18135000000,-16521000000,-15137000000,-13811000000
changeToInventory,-1123000000,-737000000,168000000,597000000
changeToAccountReceivables,-6834000000,-6481000000,-2577000000,-2812000000
otherCashflowsFromFinancingActivities,-863000000,-2523000000,-3751000000,-675000000
changeToNetincome,1251000000,5505000000,5577000000,-2521000000
capitalExpenditures,-23886000000,-20622000000,-15441000000,-13925000000
