,2021,2020,2019,2018
intangibleAssets,1105000000,1234000000,1327000000,1230000000
capitalSurplus,987000000,759000000,499000000,419000000
totalLiab,12212000000,11417000000,11325000000,10685000000
totalStockholderEquity,-40000000,-558000000,-700000000,-1293000000
minorityInterest,17000000,17000000,17000000,17000000
deferredLongTermLiab,124000000,105000000,107000000,98000000
otherCurrentLiab,1967000000,1821000000,1654000000,1467000000
totalAssets,12189000000,10876000000,10642000000,9409000000
commonStock,2000000,2000000,2000000,2000000
otherCurrentAssets,259000000,242000000,272000000,354000000
retainedEarnings,1350000000,1127000000,1239000000,1051000000
otherLiab,2148000000,2363000000,2276000000,2300000000
goodWill,2565000000,2219000000,2067000000,1514000000
treasuryStock,-2379000000,-2446000000,-2440000000,-2765000000
otherAssets,1555000000,1525000000,1439000000,1404000000
cash,1874000000,1254000000,1001000000,1257000000
totalCurrentLiabilities,4063000000,3489000000,3439000000,3096000000
deferredLongTermAssetCharges,916000000,966000000,943000000,985000000
shortLongTermDebt,1000000,1000000,3000000,31000000
otherStockholderEquity,-2379000000,-2446000000,-2440000000,-2765000000
propertyPlantEquipment,1424000000,1490000000,1546000000,895000000
totalCurrentAssets,5412000000,4327000000,4178000000,4272000000
longTermInvestments,128000000,81000000,85000000,94000000
netTangibleAssets,-3710000000,-4011000000,-4094000000,-4037000000
netReceivables,2491000000,2323000000,2458000000,2305000000
longTermDebt,5688000000,5158000000,5097000000,5289000000
inventory,788000000,508000000,447000000,356000000
accountsPayable,1086000000,776000000,779000000,777000000
researchDevelopment,734000000,686000000,687000000,637000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1552000000,1174000000,1001000000,1102000000
netIncome,1245000000,949000000,868000000,966000000
sellingGeneralAdministrative,1230000000,1212000000,1325000000,1179000000
grossProfit,4048000000,3637000000,3948000000,3539000000
ebit,1850000000,1523000000,1727000000,1478000000
operatingIncome,1850000000,1523000000,1727000000,1478000000
otherOperatingExpenses,-2000000,1000000,1000000,57000000
interestExpense,-215000000,-233000000,-237000000,-240000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,302000000,221000000,130000000,133000000
totalRevenue,8171000000,7414000000,7887000000,7343000000
totalOperatingExpenses,6321000000,5891000000,6160000000,5865000000
costOfRevenue,4123000000,3777000000,3939000000,3804000000
totalOtherIncomeExpenseNet,-298000000,-349000000,-726000000,-376000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1250000000,953000000,871000000,969000000
netIncomeApplicableToCommonShares,1245000000,949000000,868000000,966000000
investments,16000000,11000000,16000000,95000000
changeToLiabilities,612000000,-141000000,114000000,280000000
totalCashflowsFromInvestingActivities,-742000000,-437000000,-934000000,-1266000000
netBorrowings,491000000,-22000000,-235000000,767000000
totalCashFromFinancingActivities,-429000000,-966000000,-1144000000,220000000
changeToOperatingActivities,-126000000,-25000000,-5000000,-523000000
issuanceOfStock,102000000,108000000,114000000,168000000
changeInCash,620000000,253000000,-256000000,-11000000
repurchaseOfStock,-528000000,-612000000,-315000000,-132000000
effectOfExchangeRate,-46000000,43000000,-1000000,-40000000
totalCashFromOperatingActivities,1837000000,1613000000,1823000000,1075000000
depreciation,438000000,409000000,394000000,360000000
dividendsPaid,-482000000,-436000000,-379000000,-337000000
changeToInventory,-284000000,-14000000,-74000000,71000000
changeToAccountReceivables,-202000000,257000000,-30000000,-189000000
otherCashflowsFromFinancingActivities,-12000000,-4000000,-329000000,-246000000
changeToNetincome,154000000,178000000,556000000,110000000
capitalExpenditures,-243000000,-217000000,-248000000,-197000000
