,2021,2020,2019,2018
intangibleAssets,353655000.0,348798000.0,397081000.0,282239000.0
capitalSurplus,6635000000.0,6617404000.0,6593539000.0,6579342000.0
totalLiab,137203755000.0,126413822000.0,104156108000.0,104637212000.0
totalStockholderEquity,16153405000.0,14937283000.0,14466649000.0,14228691000.0
totalAssets,155107160000.0,142601105000.0,119872757000.0,120097403000.0
commonStock,79871000.0,79871000.0,79871000.0,79883000.0
otherCurrentAssets,1255162000.0,1495936000.0,1462142000.0,1610965000.0
retainedEarnings,14646448000.0,13444428000.0,12820916000.0,11516672000.0
otherLiab,1562110000.0,1499008000.0,1657025000.0,1351388000.0
goodWill,4593112000.0,4593112000.0,4593112000.0,4593112000.0
treasuryStock,-5207914000.0,-5204420000.0,-5027677000.0,-3947206000.0
otherAssets,96831626000.0,101540738000.0,94208547000.0,90925645000.0
cash,1337577000.0,1552743000.0,770305000.0,921439000.0
totalCurrentLiabilities,132723594000.0,120915613000.0,96933376000.0,95486711000.0
shortLongTermDebt,903864000.0,849992000.0,1908479000.0,645801000.0
otherStockholderEquity,-126366000.0,-61688000.0,-205114000.0,-418355000.0
propertyPlantEquipment,1144765000.0,1161558000.0,1140924000.0,647408000.0
totalCurrentAssets,45028142000.0,27911202000.0,10035842000.0,10956186000.0
longTermInvestments,7155860000.0,7045697000.0,9497251000.0,12692813000.0
netTangibleAssets,11556295000.0,10330006000.0,9844503000.0,9588512000.0
shortTermInvestments,41872304000.0,23663810000.0,7190154000.0,8105197000.0
netReceivables,68000000.0,67000000.0,62000000.0,56000000.0
longTermDebt,2581505000.0,3532201000.0,5077707000.0,7799113000.0
inventory,23901000.0,34668000.0,85646000.0,78375000.0
accountsPayable,131543409000.0,119805738000.0,94770069000.0,90156572000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,2455149000.0,1769521000.0,2547261000.0,2508240000.0
minorityInterest,,,,
netIncome,1858746000.0,1353152000.0,1929149000.0,1918080000.0
sellingGeneralAdministrative,2759682000.0,2632982000.0,2587972000.0,2371485000.0
grossProfit,6066772000.0,5154761000.0,5967943000.0,5796302000.0
ebit,0.0,0.0,0.0,0.0
operatingIncome,2578880000.0,1838193000.0,2658286000.0,2736288000.0
otherOperatingExpenses,728210000.0,683586000.0,721685000.0,688529000.0
interestExpense,,,,
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,596403000.0,416369000.0,618112000.0,590160000.0
totalRevenue,6066772000.0,5154761000.0,5967943000.0,5796302000.0
totalOperatingExpenses,3487892000.0,3316568000.0,3309657000.0,3060014000.0
costOfRevenue,0.0,0.0,0.0,0.0
totalOtherIncomeExpenseNet,-123731000.0,-68672000.0,-111025000.0,-228048000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1858746000.0,1353152000.0,1929149000.0,1918080000.0
netIncomeApplicableToCommonShares,1776977000.0,1279066000.0,1849509000.0,1836028000.0
investments,-18451613000.0,-13929086000.0,4366318000.0,-1191636000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-13631599000.0,-22020481000.0,727007000.0,-1410051000.0
netBorrowings,-856027000.0,-2667904000.0,-5889508000.0,4537387000.0
totalCashFromFinancingActivities,10701474000.0,21347732000.0,-3253696000.0,-495250000.0
changeToOperatingActivities,-111083000.0,-960830000.0,206160000.0,-137259000.0
changeInCash,-215166000.0,116438000.0,-169134000.0,184551000.0
totalCashFromOperatingActivities,2714959000.0,789187000.0,2357555000.0,2089852000.0
depreciation,324208000.0,320288000.0,301315000.0,179005000.0
otherCashflowsFromInvestingActivities,-510302000.0,67411000.0,-195921000.0,47904000.0
dividendsPaid,-648460000.0,-636368000.0,-619592000.0,-582903000.0
otherCashflowsFromFinancingActivities,11710961000.0,25025754000.0,4590689000.0,-2255338000.0
changeToNetincome,10282000.0,770282000.0,272775000.0,149128000.0
capitalExpenditures,-149213000.0,-172289000.0,-178049000.0,-97676000.0
repurchaseOfStock,,-373750000.0,-1349785000.0,-2194396000.0
annualDilutedAverageShares,128812000.0,128704000.0,134462000.0,138509769.0
