,2021,2020,2019,2018
intangibleAssets,307450000.0,196785000.0,206242000.0,217308000.0
capitalSurplus,825974000.0,805140000.0,783871000.0,764717000.0
totalLiab,3155377000.0,2531874000.0,2368541000.0,2028784000.0
totalStockholderEquity,171421000.0,282675000.0,420780000.0,590063000.0
otherCurrentLiab,336420000.0,252615000.0,200625000.0,188189000.0
totalAssets,3326798000.0,2814549000.0,2789321000.0,2618847000.0
commonStock,448000.0,448000.0,448000.0,448000.0
otherCurrentAssets,108916000.0,71230000.0,61321000.0,63401000.0
retainedEarnings,5859272000.0,5095596000.0,4499288000.0,3941916000.0
otherLiab,339363000.0,335041000.0,316194000.0,309302000.0
goodWill,648622000.0,550270000.0,535979000.0,534780000.0
treasuryStock,-6514273000.0,-5618509000.0,-4862827000.0,-4117018000.0
otherAssets,183504000.0,113098000.0,101479000.0,102828000.0
cash,98564000.0,94254000.0,207785000.0,178110000.0
totalCurrentLiabilities,1146538000.0,840327000.0,754512000.0,734434000.0
deferredLongTermAssetCharges,39496000.0,41836000.0,36978000.0,35066000.0
shortLongTermDebt,101134000.0,50317000.0,56239000.0,49670000.0
otherStockholderEquity,-255224000.0,-334925000.0,-323673000.0,-302414000.0
propertyPlantEquipment,917864000.0,897492000.0,835974000.0,717526000.0
totalCurrentAssets,1269358000.0,1056904000.0,1109647000.0,1045860000.0
netTangibleAssets,-784651000.0,-464380000.0,-321441000.0,-162025000.0
netReceivables,647335000.0,593809000.0,566256000.0,535528000.0
longTermDebt,1581160000.0,1286676000.0,1236898000.0,985048000.0
inventory,414543000.0,297611000.0,274285000.0,268821000.0
accountsPayable,272911000.0,175801000.0,185592000.0,196641000.0
longTermInvestments,,,,545000.0
researchDevelopment,169766000,140102000,143950000,141071000
effectOfAccountingCharges,,,,
incomeBeforeTax,949361000,748743000,681394000,651858000
minorityInterest,,,,
netIncome,768985000,602739000,561109000,512611000
sellingGeneralAdministrative,932576000,808021000,814383000,806602000
grossProfit,2171553000,1801031000,1741211000,1684378000
ebit,1006136000,796243000,733188000,689181000
operatingIncome,1006136000,796243000,733188000,689181000
otherOperatingExpenses,,,,
interestExpense,-43242000,-38616000,-37411000,-34511000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,180376000,146004000,120285000,139247000
totalRevenue,3717930000,3085177000,3008652000,2935586000
totalOperatingExpenses,2711794000,2288934000,2275464000,2246405000
costOfRevenue,1546377000,1284146000,1267441000,1251208000
totalOtherIncomeExpenseNet,-56775000,-47500000,-51794000,-37323000
discontinuedOperations,,,,
netIncomeFromContinuingOps,768985000,602739000,561109000,512611000
netIncomeApplicableToCommonShares,768985000,602739000,561109000,512611000
changeToLiabilities,93973000,-17803000,-12221000,33671000
totalCashflowsFromInvestingActivities,-314108000,-100360000,-99083000,-138944000
netBorrowings,391973000,5171000,258297000,64291000
totalCashFromFinancingActivities,-590549000,-743908000,-477368000,-388022000
changeToOperatingActivities,75920000,31832000,-5720000,-25950000
issuanceOfStock,20463000,26719000,47581000,24600000
changeInCash,4310000,-113531000,29675000,29423000
repurchaseOfStock,-999998000,-774998000,-774999000,-474999000
effectOfExchangeRate,142000,6038000,2676000,-8616000
totalCashFromOperatingActivities,908825000,724699000,603450000,565005000
depreciation,67657000,58009000,54281000,51691000
otherCashflowsFromInvestingActivities,10682000,-4730000,-1160000,1119000
changeToInventory,-118718000,-3836000,-4603000,-21195000
changeToAccountReceivables,-66468000,-4495000,-31408000,-19540000
otherCashflowsFromFinancingActivities,-2987000,-800000,-8247000,-1914000
changeToNetincome,27388000,3504000,13788000,2245000
capitalExpenditures,-107580000,-92494000,-97341000,-142726000
