,2021,2020,2019,2018
intangibleAssets,500525000.0,500525000.0,827775000.0,846263000.0
capitalSurplus,7513725000.0,4889355000.0,4235690000.0,4129639000.0
totalLiab,16297187000.0,14045212000.0,10169020000.0,9242969000.0
totalStockholderEquity,2432650000.0,4354105000.0,6515579000.0,5963001000.0
otherCurrentLiab,1659928000.0,1160577000.0,1988455000.0,1617911000.0
totalAssets,18729837000.0,18399317000.0,16684599000.0,15205970000.0
commonStock,417000.0,316000.0,237000.0,235000.0
otherCurrentAssets,160283000.0,52579000.0,193200000.0,156668000.0
retainedEarnings,-4796406000.0,-295449000.0,3829068000.0,2898840000.0
otherLiab,326367000.0,264209000.0,320191000.0,281596000.0
goodWill,98134000.0,98134000.0,1388931000.0,1388931000.0
treasuryStock,-285086000.0,-240117000.0,-1549416000.0,-1065713000.0
otherAssets,506617000.0,622851000.0,365807000.0,301183000.0
cash,1506647000.0,3300482000.0,252876000.0,163851000.0
totalCurrentLiabilities,3730432000.0,1913903000.0,3584390000.0,3150500000.0
shortLongTermDebt,873493000.0,126518000.0,742117000.0,681218000.0
otherStockholderEquity,-285086000.0,-240117000.0,-295490000.0,-161647000.0
propertyPlantEquipment,14322993000.0,13620263000.0,13371941000.0,12119253000.0
totalCurrentAssets,3301568000.0,3557544000.0,730145000.0,550313000.0
netTangibleAssets,1833991000.0,3755446000.0,4298873000.0,3727807000.0
shortTermInvestments,240000000.0,,,
netReceivables,1167473000.0,20578000.0,75109000.0,55249000.0
longTermDebt,11567853000.0,11677038000.0,6048384000.0,5771349000.0
inventory,118205000.0,82381000.0,95427000.0,90202000.0
accountsPayable,233172000.0,83136000.0,100777000.0,159564000.0
longTermInvestments,,,,27000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,-4501320000.0,-4000047000.0,911365000.0,969310000.0
minorityInterest,,,,
netIncome,-4506587000.0,-4012514000.0,930228000.0,954843000.0
sellingGeneralAdministrative,891845000.0,745752000.0,968714000.0,898355000.0
grossProfit,-960051000.0,-413153000.0,2799115000.0,2678050000.0
ebit,-2552741000.0,-1851205000.0,1184213000.0,1218635000.0
operatingIncome,-2552741000.0,-1851205000.0,1184213000.0,1218635000.0
otherOperatingExpenses,,,,
interestExpense,-644112000.0,-454518000.0,-256191000.0,-264058000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,5267000.0,12467000.0,-18863000.0,14467000.0
totalRevenue,647986000.0,1279908000.0,6462376000.0,6055126000.0
totalOperatingExpenses,3200727000.0,3131113000.0,5278163000.0,4836491000.0
costOfRevenue,1608037000.0,1693061000.0,3663261000.0,3377076000.0
totalOtherIncomeExpenseNet,-1948579000.0,-2148842000.0,-272848000.0,-249325000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,-4506587000.0,-4012514000.0,930228000.0,954843000.0
netIncomeApplicableToCommonShares,-4506587000.0,-4012514000.0,930228000.0,954843000.0
investments,-240000000.0,-240000000.0,-240000000.0,-240000000.0
changeToLiabilities,673936000.0,-833265000.0,288741000.0,368990000.0
totalCashflowsFromInvestingActivities,-1004044000.0,-975362000.0,-1680192000.0,-1502708000.0
netBorrowings,488254000.0,5182609000.0,315565000.0,188621000.0
totalCashFromFinancingActivities,1678218000.0,6579211000.0,-53388000.0,-584802000.0
changeToOperatingActivities,319455000.0,-283466000.0,-103323000.0,85434000.0
issuanceOfStock,2668984000.0,1547265000.0,31937000.0,28819000.0
changeInCash,-1793835000.0,3047606000.0,89025000.0,-12339000.0
repurchaseOfStock,-16687000.0,-15407000.0,-370799000.0,-678666000.0
totalCashFromOperatingActivities,-2468009000.0,-2556243000.0,1822605000.0,2075171000.0
depreciation,758604000.0,714079000.0,647102000.0,566972000.0
otherCashflowsFromInvestingActivities,-11201000.0,-28817000.0,-43022000.0,64088000.0
changeToInventory,-37481000.0,10555000.0,-6155000.0,-9052000.0
changeToAccountReceivables,-1159998000.0,30797000.0,-14104000.0,-15886000.0
otherCashflowsFromFinancingActivities,-1462333000.0,-135256000.0,-30091000.0,-123576000.0
changeToNetincome,1484062000.0,1817571000.0,80116000.0,123870000.0
capitalExpenditures,-752843000.0,-946545000.0,-1637170000.0,-1566796000.0
annualDilutedAverageShares,365449967.0,254728932.0,216475076.0,224419205.0
