,2021,2020,2019,2018
intangibleAssets,2813000000.0,2255000000.0,2249000000.0,2300000000.0
capitalSurplus,1952000000.0,2547000000.0,2632000000.0,2716000000.0
totalLiab,13710000000.0,11543000000.0,8285000000.0,10251000000.0
totalStockholderEquity,6395000000.0,6433000000.0,5639000000.0,5449000000.0
minorityInterest,10000000.0,3000000.0,,
otherCurrentLiab,6318000000.0,4252000000.0,3307000000.0,5189000000.0
totalAssets,20115000000.0,17979000000.0,13924000000.0,15700000000.0
commonStock,2000000.0,2000000.0,2000000.0,2000000.0
otherCurrentAssets,6396000000.0,4329000000.0,3414000000.0,5339000000.0
retainedEarnings,6465000000.0,5628000000.0,5027000000.0,4558000000.0
otherLiab,640000000.0,689000000.0,731000000.0,725000000.0
goodWill,8433000000.0,6850000000.0,6366000000.0,6363000000.0
treasuryStock,-2024000000.0,-1744000000.0,-2022000000.0,-1827000000.0
otherAssets,141000000.0,82000000.0,84000000.0,112000000.0
cash,393000000.0,2745000000.0,332000000.0,545000000.0
totalCurrentLiabilities,7872000000.0,4924000000.0,4227000000.0,6570000000.0
deferredLongTermAssetCharges,2000000.0,3000000.0,1000000.0,4000000.0
otherStockholderEquity,-1587000000.0,-1368000000.0,-1686000000.0,-1530000000.0
propertyPlantEquipment,875000000.0,856000000.0,730000000.0,376000000.0
totalCurrentAssets,7423000000.0,7660000000.0,4290000000.0,6370000000.0
longTermInvestments,430000000.0,276000000.0,205000000.0,179000000.0
netTangibleAssets,-4851000000.0,-2672000000.0,-2976000000.0,-3214000000.0
netReceivables,588000000.0,566000000.0,422000000.0,384000000.0
longTermDebt,4812000000.0,5541000000.0,2996000000.0,2956000000.0
accountsPayable,185000000.0,175000000.0,148000000.0,198000000.0
shortTermInvestments,,,,9000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1534000000,1212000000,1019000000,1064000000
netIncome,1187000000,933000000,774000000,458000000
sellingGeneralAdministrative,1519000000,1356000000,1208000000,1235000000
grossProfit,3420000000,2903000000,2535000000,2526000000
ebit,1623000000,1345000000,1137000000,1081000000
operatingIncome,1623000000,1345000000,1137000000,1081000000
otherOperatingExpenses,,,,
interestExpense,-125000000,-101000000,-124000000,-150000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,347000000,279000000,245000000,606000000
totalRevenue,5886000000,5625000000,4258000000,4277000000
totalOperatingExpenses,4263000000,4280000000,3121000000,3196000000
costOfRevenue,2466000000,2722000000,1723000000,1751000000
totalOtherIncomeExpenseNet,-89000000,-133000000,-118000000,-17000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1187000000,933000000,774000000,458000000
netIncomeApplicableToCommonShares,1187000000,933000000,774000000,458000000
investments,-31000000,141000000,-25000000,122000000
changeToLiabilities,89000000,20000000,-64000000,40000000
totalCashflowsFromInvestingActivities,-2653000000,-122000000,-414000000,196000000
netBorrowings,442000000,1948000000,-419000000,-320000000
totalCashFromFinancingActivities,1418000000,1910000000,-2472000000,-1027000000
changeToOperatingActivities,-552000000,138000000,58000000,98000000
issuanceOfStock,26000000,50000000,37000000,17000000
changeInCash,-483000000,3393000000,-2111000000,187000000
repurchaseOfStock,-1004000000,-262000000,-239000000,-444000000
effectOfExchangeRate,-331000000,353000000,-188000000,-10000000
totalCashFromOperatingActivities,1083000000,1252000000,963000000,1028000000
depreciation,278000000,202000000,190000000,210000000
otherCashflowsFromInvestingActivities,-219000000,82000000,-188000000,-26000000
dividendsPaid,-350000000,-320000000,-305000000,-280000000
changeToAccountReceivables,-6000000,-167000000,-42000000,-35000000
otherCashflowsFromFinancingActivities,2304000000,494000000,-1546000000,-1546000000
changeToNetincome,87000000,126000000,47000000,257000000
capitalExpenditures,-163000000,-188000000,-127000000,-111000000
