,2021,2020,2019,2018
intangibleAssets,742000000.0,693000000.0,552000000.0,708000000.0
capitalSurplus,11271000000.0,11222000000.0,11955000000.0,10490000000.0
totalLiab,95243000000.0,82755000000.0,75844000000.0,65821000000.0
totalStockholderEquity,37202000000.0,36513000000.0,37005000000.0,34144000000.0
minorityInterest,8467000000.0,8416000000.0,4842000000.0,3737000000.0
deferredLongTermLiab,5409000000.0,4283000000.0,3938000000.0,3920000000.0
otherCurrentLiab,6110000000.0,4277000000.0,4624000000.0,3770000000.0
totalAssets,140912000000.0,127684000000.0,117691000000.0,103702000000.0
commonStock,20000000.0,20000000.0,20000000.0,5000000.0
otherCurrentAssets,2980000000.0,1751000000.0,2673000000.0,1563000000.0
retainedEarnings,25911000000.0,25363000000.0,25199000000.0,23837000000.0
otherLiab,26646000000.0,25129000000.0,24392000000.0,21413000000.0
goodWill,4844000000.0,4254000000.0,4204000000.0,891000000.0
otherAssets,10500000000.0,9102000000.0,8913000000.0,12592000000.0
cash,639000000.0,1105000000.0,600000000.0,638000000.0
totalCurrentLiabilities,17437000000.0,15558000000.0,13853000000.0,17563000000.0
deferredLongTermAssetCharges,196000000.0,191000000.0,210000000.0,235000000.0
shortLongTermDebt,1785000000.0,4138000000.0,2124000000.0,2716000000.0
propertyPlantEquipment,100100000000.0,92466000000.0,82010000000.0,70334000000.0
totalCurrentAssets,9288000000.0,7382000000.0,7408000000.0,6393000000.0
longTermInvestments,15438000000.0,13787000000.0,14604000000.0,12784000000.0
netTangibleAssets,31616000000.0,31566000000.0,32249000000.0,32545000000.0
netReceivables,4108000000.0,2974000000.0,2807000000.0,2969000000.0
longTermDebt,50960000000.0,41944000000.0,37543000000.0,26782000000.0
inventory,1561000000.0,1552000000.0,1328000000.0,1223000000.0
accountsPayable,6935000000.0,4615000000.0,3631000000.0,2386000000.0
treasuryStock,,-92000000.0,-169000000.0,-188000000.0
otherStockholderEquity,,-92000000.0,-169000000.0,-188000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3175000000,2413000000,3836000000,7352000000
netIncome,3573000000,2919000000,3769000000,6638000000
sellingGeneralAdministrative,-257000000,-200000000,-185000000,-168000000
grossProfit,8589000000,10707000000,11201000000,9665000000
ebit,3121000000,5146000000,5366000000,4371000000
operatingIncome,3121000000,5146000000,5366000000,4371000000
otherOperatingExpenses,1801000000,1709000000,1804000000,1551000000
interestExpense,-1270000000,-1950000000,-2249000000,-1498000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,348000000,44000000,448000000,1576000000
totalRevenue,17069000000,17997000000,19204000000,16727000000
totalOperatingExpenses,13948000000,12851000000,13838000000,12356000000
costOfRevenue,8480000000,7290000000,8003000000,7062000000
totalOtherIncomeExpenseNet,54000000,-2733000000,-1530000000,2981000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,2827000000,2369000000,3388000000,5776000000
netIncomeApplicableToCommonShares,3573000000,2919000000,3769000000,6638000000
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-13591000000.0,-13699000000.0,-16177000000.0,-10950000000.0
netBorrowings,6663000000.0,5394000000.0,3614000000.0,7561000000.0
totalCashFromFinancingActivities,5807000000.0,6174000000.0,3873000000.0,7634000000.0
changeToOperatingActivities,-486000000.0,-604000000.0,377000000.0,-605000000.0
issuanceOfStock,14000000.0,14000000.0,1494000000.0,718000000.0
changeInCash,-230000000.0,438000000.0,-4145000000.0,3270000000.0
effectOfExchangeRate,1000000.0,-20000000.0,4000000.0,-7000000.0
totalCashFromOperatingActivities,7553000000.0,7983000000.0,8155000000.0,6593000000.0
depreciation,4214000000.0,4315000000.0,4478000000.0,4147000000.0
otherCashflowsFromInvestingActivities,-275000000.0,-101000000.0,-31000000.0,-276000000.0
dividendsPaid,-3024000000.0,-2743000000.0,-2408000000.0,-2101000000.0
otherCashflowsFromFinancingActivities,2154000000.0,3523000000.0,1173000000.0,1456000000.0
changeToNetincome,252000000.0,1353000000.0,-469000000.0,-3587000000.0
capitalExpenditures,-16077000000.0,-14610000000.0,-17462000000.0,-13004000000.0
investments,,,,637000000.0
