,2021,2020,2019,2018
capitalSurplus,17981000000.0,18103000000.0,18216000000.0,9618000000.0
totalLiab,18703000000.0,17490000000.0,17557000000.0,9203000000.0
totalStockholderEquity,22022000000.0,23008000000.0,21420000000.0,10502000000.0
minorityInterest,-161000000.0,871000000.0,997000000.0,1010000000.0
otherCurrentLiab,1356000000.0,1554000000.0,966000000.0,262000000.0
totalAssets,40564000000.0,41369000000.0,39974000000.0,20715000000.0
commonStock,1276000000.0,1287000000.0,1298000000.0,855000000.0
otherCurrentAssets,498000000.0,436000000.0,1593000000.0,251000000.0
retainedEarnings,3098000000.0,4002000000.0,2291000000.0,383000000.0
otherLiab,9940000000.0,8076000000.0,8391000000.0,3808000000.0
goodWill,2771000000.0,2771000000.0,2674000000.0,58000000.0
treasuryStock,-333000000.0,-384000000.0,-385000000.0,-354000000.0
otherAssets,2730000000.0,2615000000.0,2553000000.0,2851000000.0
cash,4992000000.0,5540000000.0,2243000000.0,3397000000.0
totalCurrentLiabilities,2654000000.0,3369000000.0,2385000000.0,1787000000.0
deferredLongTermAssetCharges,269000000.0,337000000.0,549000000.0,401000000.0
shortLongTermDebt,87000000.0,551000000.0,,650000000.0
otherStockholderEquity,-133000000.0,-216000000.0,-265000000.0,-284000000.0
propertyPlantEquipment,24124000000.0,24281000000.0,25276000000.0,12258000000.0
totalCurrentAssets,7696000000.0,8505000000.0,6272000000.0,5277000000.0
longTermInvestments,3243000000.0,3197000000.0,3199000000.0,271000000.0
netTangibleAssets,19251000000.0,20237000000.0,18746000000.0,10444000000.0
shortTermInvestments,82000000.0,290000000.0,237000000.0,48000000.0
netReceivables,337000000.0,449000000.0,373000000.0,254000000.0
longTermDebt,5565000000.0,5480000000.0,6138000000.0,3604000000.0
inventory,1787000000.0,1790000000.0,1826000000.0,1327000000.0
accountsPayable,518000000.0,493000000.0,539000000.0,303000000.0
researchDevelopment,154000000.0,122000000.0,150000000.0,153000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1274000000.0,3332000000.0,3788000000.0,705000000.0
netIncome,1166000000.0,2829000000.0,2805000000.0,341000000.0
sellingGeneralAdministrative,259000000.0,269000000.0,313000000.0,244000000.0
grossProfit,4986000000.0,6159000000.0,4377000000.0,3276000000.0
ebit,2063000000.0,3391000000.0,1734000000.0,1205000000.0
operatingIncome,2063000000.0,3391000000.0,1734000000.0,1205000000.0
otherOperatingExpenses,,,,
interestExpense,-274000000.0,-308000000.0,-301000000.0,-207000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1098000000.0,704000000.0,832000000.0,386000000.0
totalRevenue,12222000000.0,11497000000.0,9740000000.0,7253000000.0
totalOperatingExpenses,10159000000.0,8106000000.0,8006000000.0,6048000000.0
costOfRevenue,7236000000.0,5338000000.0,5363000000.0,3977000000.0
totalOtherIncomeExpenseNet,-789000000.0,-59000000.0,2054000000.0,-500000000.0
discontinuedOperations,57000000.0,163000000.0,-72000000.0,61000000.0
netIncomeFromContinuingOps,176000000.0,2628000000.0,2956000000.0,319000000.0
netIncomeApplicableToCommonShares,1166000000.0,2829000000.0,2805000000.0,341000000.0
investments,3000000.0,268000000.0,59000000.0,-21000000.0
changeToLiabilities,-11000000.0,-50000000.0,144000000.0,-73000000.0
totalCashflowsFromInvestingActivities,-1868000000.0,91000000.0,-1226000000.0,-1177000000.0
netBorrowings,-463000000.0,-241000000.0,-1241000000.0,-4000000.0
totalCashFromFinancingActivities,-2958000000.0,-1680000000.0,-2777000000.0,-455000000.0
changeToOperatingActivities,-219000000.0,77000000.0,-175000000.0,-311000000.0
changeInCash,-555000000.0,3299000000.0,-1140000000.0,191000000.0
repurchaseOfStock,-557000000.0,-569000000.0,-529000000.0,-138000000.0
effectOfExchangeRate,-8000000.0,6000000.0,-3000000.0,-4000000.0
totalCashFromOperatingActivities,4279000000.0,4882000000.0,2866000000.0,1827000000.0
depreciation,2454000000.0,2329000000.0,2048000000.0,1579000000.0
otherCashflowsFromInvestingActivities,26000000.0,-31000000.0,21000000.0,-8000000.0
dividendsPaid,-1757000000.0,-834000000.0,-888120000.0,-301000000.0
changeToInventory,-136000000.0,-139000000.0,-132000000.0,-250000000.0
changeToAccountReceivables,142000000.0,29000000.0,-193000000.0,-109000000.0
otherCashflowsFromFinancingActivities,-181000000.0,-36000000.0,-118000000.0,-12000000.0
changeToNetincome,1200000000.0,-571000000.0,-1678000000.0,650000000.0
capitalExpenditures,-1653000000.0,-1302000000.0,-1463000000.0,-1032000000.0
annualDilutedAverageShares,801000000.0,806000000.0,736220472.0,535000000.0
