,2021,2020,2019,2018
capitalSurplus,7204300000.0,6890100000.0,6666200000.0,6403500000.0
totalLiab,16884000000.0,16202700000.0,16673100000.0,16053100000.0
totalStockholderEquity,5400800000.0,4872200000.0,5106700000.0,4870900000.0
minorityInterest,325600000.0,85600000.0,,
deferredLongTermLiab,2561100000.0,1981000000.0,2109600000.0,2065700000.0
otherCurrentLiab,760500000.0,704500000.0,885900000.0,826600000.0
totalAssets,24156900000.0,22040500000.0,22659800000.0,21804000000.0
commonStock,4100000.0,3900000.0,3800000.0,3800000.0
otherCurrentAssets,318500000.0,240800000.0,314900000.0,244800000.0
retainedEarnings,-1580900000.0,-1765200000.0,-1370800000.0,-1399300000.0
otherLiab,4926500000.0,4574100000.0,4943300000.0,4901400000.0
goodWill,1485900000.0,1485900000.0,1485900000.0,1690700000.0
treasuryStock,-226700000.0,-256600000.0,-192500000.0,-137100000.0
otherAssets,2746700000.0,2154700000.0,2267600000.0,2208400000.0
cash,84200000.0,116500000.0,139300000.0,112800000.0
totalCurrentLiabilities,2746200000.0,2279400000.0,3745800000.0,4036800000.0
shortLongTermDebt,166400000.0,70900000.0,13400000.0,50000000.0
otherStockholderEquity,-126800000.0,-156700000.0,-92600000.0,-37200000.0
propertyPlantEquipment,17915600000.0,16659400000.0,16976400000.0,15542500000.0
totalCurrentAssets,1920800000.0,1659400000.0,1853900000.0,2055400000.0
longTermInvestments,87900000.0,81100000.0,76000000.0,86300000.0
netTangibleAssets,3914900000.0,3386300000.0,3620800000.0,2959500000.0
netReceivables,925200000.0,825400000.0,905400000.0,1146900000.0
longTermDebt,9025900000.0,9147600000.0,7744300000.0,6920600000.0
inventory,498700000.0,401100000.0,424700000.0,422500000.0
accountsPayable,697800000.0,589000000.0,666000000.0,883800000.0
intangibleAssets,,,,220700000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,706600000.0,-31300000.0,506600000.0,-230600000.0
netIncome,584900000.0,-17600000.0,383100000.0,-50600000.0
sellingGeneralAdministrative,-19900000.0,11000000.0,16500000.0,-18000000.0
grossProfit,2066900000.0,2006800000.0,2319400000.0,1000300000.0
ebit,1050100000.0,970700000.0,1288700000.0,143900000.0
operatingIncome,1050100000.0,970700000.0,1288700000.0,143900000.0
otherOperatingExpenses,288300000.0,299200000.0,296800000.0,274800000.0
interestExpense,-348000000.0,-378000000.0,-386800000.0,-335500000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,117800000.0,-17100000.0,123500000.0,-180000000.0
totalRevenue,4899600000.0,4681700000.0,5208900000.0,5114500000.0
totalOperatingExpenses,3849500000.0,3711000000.0,3920200000.0,4970600000.0
costOfRevenue,2832700000.0,2674900000.0,2889500000.0,4114200000.0
totalOtherIncomeExpenseNet,-343500000.0,-1002000000.0,-782100000.0,-374500000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,588800000.0,-14200000.0,383100000.0,-50600000.0
netIncomeApplicableToCommonShares,529800000.0,-72700000.0,328000000.0,-65600000.0
changeToLiabilities,54900000.0,-29700000.0,-299900000.0,268400000.0
totalCashflowsFromInvestingActivities,-2204900000.0,-879100000.0,-1922400000.0,-1926100000.0
netBorrowings,31300000.0,81900000.0,494400000.0,75400000.0
totalCashFromFinancingActivities,956300000.0,-247700000.0,366400000.0,1468700000.0
changeToOperatingActivities,-162100000.0,-214000000.0,39000000.0,-33600000.0
issuanceOfStock,1139500000.0,211400000.0,244400000.0,848200000.0
changeInCash,-30700000.0,-22800000.0,27300000.0,82700000.0
totalCashFromOperatingActivities,1217900000.0,1104000000.0,1583300000.0,540100000.0
depreciation,689000000.0,665800000.0,660300000.0,545400000.0
otherCashflowsFromInvestingActivities,-367600000.0,-236900000.0,-120400000.0,-109700000.0
dividendsPaid,-400300000.0,-376700000.0,-354600000.0,-284900000.0
changeToInventory,-112900000.0,-1500000.0,-2000000.0,41400000.0
changeToAccountReceivables,-40300000.0,-3900000.0,187800000.0,-186200000.0
otherCashflowsFromFinancingActivities,185800000.0,-164300000.0,-17800000.0,-46000000.0
changeToNetincome,145000000.0,644800000.0,557900000.0,-126600000.0
capitalExpenditures,-1838000000.0,-1758100000.0,-1802400000.0,-1818200000.0
repurchaseOfStock,,,,-4000000.0
annualDilutedAverageShares,417300000.0,384300000.0,376000000.0,356500000.0
