,2022,2021,2020,2019
intangibleAssets,286000000.0,269000000.0,274000000.0,283000000.0
capitalSurplus,11484000000.0,9965000000.0,8299000000.0,7163000000.0
totalLiab,25040000000.0,24973000000.0,23287000000.0,14677000000.0
totalStockholderEquity,15281000000.0,12767000000.0,8055000000.0,9040000000.0
otherCurrentLiab,1700000000.0,2157000000.0,1929000000.0,2134000000.0
totalAssets,40321000000.0,37740000000.0,31342000000.0,23717000000.0
commonStock,3000000.0,3000000.0,3000000.0,3000000.0
otherCurrentAssets,868000000.0,345000000.0,405000000.0,1026000000.0
retainedEarnings,3476000000.0,3179000000.0,-191000000.0,1643000000.0
otherLiab,2613000000.0,2955000000.0,2684000000.0,3005000000.0
goodWill,284000000.0,242000000.0,223000000.0,154000000.0
treasuryStock,318000000.0,-380000000.0,-56000000.0,231000000.0
otherAssets,3821000000.0,2921000000.0,2326000000.0,2011000000.0
cash,8574000000.0,9889000000.0,8348000000.0,4466000000.0
totalCurrentLiabilities,10730000000.0,9674000000.0,8284000000.0,7866000000.0
deferredLongTermAssetCharges,2295000000.0,1668000000.0,1963000000.0,663000000.0
shortLongTermDebt,500000000.0,,3000000.0,6000000.0
otherStockholderEquity,318000000.0,-380000000.0,-56000000.0,231000000.0
propertyPlantEquipment,7717000000.0,8017000000.0,7963000000.0,4744000000.0
totalCurrentAssets,28213000000.0,26291000000.0,20556000000.0,16525000000.0
netTangibleAssets,14711000000.0,12256000000.0,7558000000.0,8603000000.0
shortTermInvestments,4423000000.0,3587000000.0,439000000.0,197000000.0
netReceivables,4667000000.0,4463000000.0,2749000000.0,4272000000.0
longTermDebt,8920000000.0,9413000000.0,9406000000.0,3464000000.0
inventory,8420000000.0,6854000000.0,7367000000.0,5622000000.0
accountsPayable,3358000000.0,2836000000.0,2248000000.0,2612000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,6651000000.0,6661000000.0,2887000000.0,4801000000.0
minorityInterest,,,,
netIncome,6046000000.0,5727000000.0,2539000000.0,4029000000.0
sellingGeneralAdministrative,14804000000.0,12770000000.0,13126000000.0,12702000000.0
grossProfit,21479000000.0,20001000000.0,16241000000.0,17474000000.0
ebit,6675000000.0,7231000000.0,3115000000.0,4772000000.0
operatingIncome,6675000000.0,7231000000.0,3115000000.0,4772000000.0
otherOperatingExpenses,,,,
interestExpense,-299000000.0,-296000000.0,-151000000.0,-131000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,605000000.0,934000000.0,348000000.0,772000000.0
totalRevenue,46710000000.0,44538000000.0,37403000000.0,39117000000.0
totalOperatingExpenses,40035000000.0,37307000000.0,34288000000.0,34345000000.0
costOfRevenue,25231000000.0,24537000000.0,21162000000.0,21643000000.0
totalOtherIncomeExpenseNet,-24000000.0,-570000000.0,-228000000.0,29000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,6046000000.0,5727000000.0,2539000000.0,4029000000.0
netIncomeApplicableToCommonShares,6046000000.0,5727000000.0,2539000000.0,4029000000.0
investments,-747000000.0,-3276000000.0,27000000.0,850000000.0
changeToLiabilities,1365000000.0,1326000000.0,24000000.0,1525000000.0
totalCashflowsFromInvestingActivities,-1524000000.0,-3800000000.0,-1028000000.0,-264000000.0
netBorrowings,15000000.0,-249000000.0,6177000000.0,-331000000.0
totalCashFromFinancingActivities,-4836000000.0,-1459000000.0,2491000000.0,-5293000000.0
changeToOperatingActivities,-845000000.0,-182000000.0,-654000000.0,-203000000.0
issuanceOfStock,1151000000.0,1172000000.0,885000000.0,700000000.0
changeInCash,-1315000000.0,1541000000.0,3882000000.0,217000000.0
repurchaseOfStock,-4014000000.0,-608000000.0,-3067000000.0,-4286000000.0
effectOfExchangeRate,-143000000.0,143000000.0,-66000000.0,-129000000.0
totalCashFromOperatingActivities,5188000000.0,6657000000.0,2485000000.0,5903000000.0
depreciation,840000000.0,797000000.0,1119000000.0,720000000.0
otherCashflowsFromInvestingActivities,-19000000.0,171000000.0,31000000.0,5000000.0
dividendsPaid,-1837000000.0,-1638000000.0,-1452000000.0,-1332000000.0
changeToInventory,-1676000000.0,507000000.0,-1854000000.0,-490000000.0
changeToAccountReceivables,-504000000.0,-1606000000.0,1239000000.0,-270000000.0
otherCashflowsFromFinancingActivities,-151000000.0,-136000000.0,-52000000.0,-44000000.0
changeToNetincome,-38000000.0,88000000.0,72000000.0,592000000.0
capitalExpenditures,-758000000.0,-695000000.0,-1086000000.0,-1119000000.0
annualDilutedAverageShares,1610800000.0,1609400000.0,1591600000.0,1618400000.0
