,2021,2020,2019,2018
intangibleAssets,578000000.0,783000000.0,1040000000.0,1372000000.0
totalLiab,29653000000.0,33890000000.0,32270000000.0,29466000000.0
totalStockholderEquity,12926000000.0,10579000000.0,8819000000.0,8187000000.0
deferredLongTermLiab,304000000.0,,,216000000.0
otherCurrentLiab,4842000000.0,4772000000.0,3973000000.0,3701000000.0
totalAssets,42579000000.0,44469000000.0,41089000000.0,37653000000.0
commonStock,156000000.0,167000000.0,168000000.0,171000000.0
otherCurrentAssets,182000000.0,1635000000.0,,127000000.0
retainedEarnings,12913000000.0,10482000000.0,8748000000.0,8068000000.0
otherLiab,5756000000.0,8706000000.0,8758000000.0,7309000000.0
goodWill,17515000000.0,17518000000.0,18708000000.0,18672000000.0
treasuryStock,-143000000.0,-128000000.0,-97000000.0,-52000000.0
otherAssets,2093000000.0,1824000000.0,1851000000.0,1222000000.0
cash,3530000000.0,4907000000.0,2245000000.0,1579000000.0
totalCurrentLiabilities,9530000000.0,9580000000.0,9434000000.0,8274000000.0
deferredLongTermAssetCharges,200000000.0,311000000.0,508000000.0,94000000.0
shortLongTermDebt,6000000.0,742000000.0,1109000000.0,517000000.0
otherStockholderEquity,-143000000.0,-128000000.0,-97000000.0,-52000000.0
propertyPlantEquipment,9549000000.0,8604000000.0,8423000000.0,6372000000.0
totalCurrentAssets,12426000000.0,15344000000.0,10685000000.0,9680000000.0
longTermInvestments,418000000.0,396000000.0,382000000.0,335000000.0
netTangibleAssets,-5167000000.0,-7722000000.0,-10929000000.0,-11857000000.0
netReceivables,7530000000.0,7433000000.0,7211000000.0,6474000000.0
longTermDebt,12777000000.0,14261000000.0,12770000000.0,13883000000.0
inventory,811000000.0,759000000.0,783000000.0,654000000.0
accountsPayable,2197000000.0,1806000000.0,2226000000.0,2182000000.0
capitalSurplus,,58000000.0,,
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,8938000000,3728000000,2548000000,3742000000
minorityInterest,,,,
netIncome,7005000000,3189000000,2248000000,3229000000
sellingGeneralAdministrative,-227000000,3249000000,4290000000,2617000000
grossProfit,7268000000,7478000000,7259000000,6820000000
ebit,7495000000,4229000000,2969000000,4203000000
operatingIncome,7495000000,4229000000,2969000000,4203000000
otherOperatingExpenses,,,,
interestExpense,-556000000,-593000000,-528000000,-562000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,1933000000,539000000,300000000,513000000
totalRevenue,35667000000,36799000000,33841000000,30095000000
totalOperatingExpenses,28172000000,32570000000,30872000000,25892000000
costOfRevenue,28399000000,29321000000,26582000000,23275000000
totalOtherIncomeExpenseNet,1443000000,-501000000,-421000000,-461000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,7005000000,3189000000,2248000000,3229000000
netIncomeApplicableToCommonShares,7005000000,3189000000,2248000000,3229000000
changeToLiabilities,376000000,719000000,617000000,381000000
totalCashflowsFromInvestingActivities,2058000000,-1211000000,-1207000000,-8878000000
netBorrowings,-2236000000,1134000000,-729000000,-2398000000
totalCashFromFinancingActivities,-7002000000,-432000000,-2424000000,-4595000000
changeToOperatingActivities,66000000,-147000000,-78000000,-1139000000
changeInCash,-1377000000,2662000000,666000000,-9646000000
repurchaseOfStock,-3739000000,-556000000,-809000000,-1348000000
totalCashFromOperatingActivities,3567000000,4305000000,4297000000,3827000000
depreciation,1239000000,1267000000,1265000000,800000000
otherCashflowsFromInvestingActivities,-11000000,4000000,57000000,28000000
dividendsPaid,-983000000,-953000000,-880000000,-821000000
changeToInventory,-52000000,18000000,-135000000,-37000000
changeToAccountReceivables,-424000000,-125000000,-213000000,-95000000
otherCashflowsFromFinancingActivities,-44000000,-57000000,-6000000,-28000000
changeToNetincome,-4858000000,-378000000,656000000,946000000
capitalExpenditures,-1415000000,-1420000000,-1264000000,-1249000000
