,2021,2020,2019,2018
intangibleAssets,2511000000.0,668000000.0,789000000.0,591000000.0
capitalSurplus,8531000000.0,8517000000.0,8501000000.0,8510000000.0
totalLiab,19582000000.0,13222000000.0,10853000000.0,11843000000.0
totalStockholderEquity,3600000000.0,1680000000.0,1658000000.0,-1234000000.0
otherCurrentLiab,4232000000.0,518000000.0,813000000.0,783000000.0
totalAssets,23182000000.0,14902000000.0,12531000000.0,10628000000.0
commonStock,4000000.0,4000000.0,4000000.0,4000000.0
otherCurrentAssets,5946000000.0,668000000.0,1108000000.0,1282000000.0
retainedEarnings,464000000.0,-1403000000.0,-1616000000.0,-6022000000.0
otherLiab,3465000000.0,2338000000.0,2208000000.0,2996000000.0
goodWill,1795000000.0,579000000.0,579000000.0,573000000.0
treasuryStock,-5399000000.0,-5438000000.0,-5231000000.0,-3726000000.0
otherAssets,5912000000.0,4425000000.0,4630000000.0,2382000000.0
cash,250000000.0,3905000000.0,345000000.0,563000000.0
totalCurrentLiabilities,7915000000.0,1915000000.0,2359000000.0,2398000000.0
deferredLongTermAssetCharges,2155000000.0,3066000000.0,3286000000.0,46000000.0
otherStockholderEquity,-126000000.0,-206000000.0,-192000000.0,-94000000.0
propertyPlantEquipment,1959000000.0,2848000000.0,3057000000.0,3048000000.0
totalCurrentAssets,10841000000.0,6028000000.0,3088000000.0,3600000000.0
longTermInvestments,164000000.0,354000000.0,388000000.0,434000000.0
netTangibleAssets,-706000000.0,433000000.0,290000000.0,-2398000000.0
netReceivables,3752000000.0,871000000.0,1007000000.0,1024000000.0
longTermDebt,7957000000.0,8688000000.0,5803000000.0,6448000000.0
inventory,498000000.0,327000000.0,383000000.0,412000000.0
accountsPayable,2274000000.0,649000000.0,722000000.0,863000000.0
minorityInterest,,,20000000.0,19000000.0
shortLongTermDebt,,,88000000.0,72000000.0
researchDevelopment,,,,11000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,2859000000,761000000,786000000,467000000
netIncome,2187000000,510000000,4438000000,268000000
sellingGeneralAdministrative,1293000000,810000000,760000000,799000000
grossProfit,6507000000,2553000000,2518000000,2370000000
ebit,3731000000,1200000000,1290000000,1139000000
operatingIncome,3731000000,1200000000,1290000000,1139000000
otherOperatingExpenses,,,,
interestExpense,-485000000,-401000000,-413000000,-483000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,672000000,251000000,-3334000000,7000000
totalRevenue,26989000000,9093000000,9821000000,9478000000
totalOperatingExpenses,23258000000,7893000000,8531000000,8339000000
costOfRevenue,20482000000,6540000000,7303000000,7108000000
totalOtherIncomeExpenseNet,-872000000,-439000000,-504000000,-672000000
discontinuedOperations,,,321000000.0,-192000000.0
netIncomeFromContinuingOps,2187000000,510000000,4120000000,460000000
netIncomeApplicableToCommonShares,2187000000,510000000,4438000000,268000000
changeToLiabilities,476000000.0,-56000000.0,-177000000.0,113000000.0
totalCashflowsFromInvestingActivities,-3039000000.0,-494000000.0,556000000.0,-205000000.0
netBorrowings,-761000000.0,2816000000.0,-655000000.0,-634000000.0
totalCashFromFinancingActivities,-272000000.0,2204000000.0,-2148000000.0,-1526000000.0
changeToOperatingActivities,-113000000.0,-122000000.0,-232000000.0,-337000000.0
issuanceOfStock,1000000.0,1000000.0,3000000.0,21000000.0
changeInCash,-2820000000.0,3545000000.0,-228000000.0,-473000000.0
repurchaseOfStock,-48000000.0,-229000000.0,-1440000000.0,-1250000000.0
effectOfExchangeRate,-2000000.0,-2000000.0,-2000000.0,1000000.0
totalCashFromOperatingActivities,493000000.0,1837000000.0,1413000000.0,1377000000.0
depreciation,972000000.0,604000000.0,548000000.0,578000000.0
otherCashflowsFromInvestingActivities,-41000000.0,-53000000.0,-75000000.0,-850000000.0
dividendsPaid,-319000000.0,-295000000.0,-32000000.0,-37000000.0
changeToInventory,-61000000.0,27000000.0,22000000.0,29000000.0
changeToAccountReceivables,-1232000000.0,-1232000000.0,5000000.0,-83000000.0
otherCashflowsFromFinancingActivities,855000000.0,-89000000.0,-24000000.0,374000000.0
changeToNetincome,-1775000000.0,826000000.0,-3217000000.0,780000000.0
capitalExpenditures,-269000000.0,-230000000.0,-228000000.0,-388000000.0
investments,,2000000.0,-91000000.0,-39000000.0
