,2021,2020,2019,2018
capitalSurplus,2215000000,2248000000,2209000000,2216000000
totalLiab,24852000000,23171000000,22739000000,20877000000
totalStockholderEquity,13641000000,14791000000,15184000000,15362000000
otherCurrentLiab,365000000,316000000,292000000,344000000
totalAssets,38493000000,37962000000,37923000000,36239000000
commonStock,242000000,254000000,259000000,269000000
otherCurrentAssets,134000000,134000000,337000000,288000000
retainedEarnings,11586000000,12883000000,13207000000,13440000000
otherLiab,8179000000,8031000000,7838000000,7446000000
treasuryStock,-402000000,-594000000,-491000000,-563000000
otherAssets,1440000000,1178000000,1028000000,733000000
cash,839000000,1115000000,580000000,358000000
totalCurrentLiabilities,2521000000,2160000000,2300000000,2591000000
shortLongTermDebt,553000000,579000000,316000000,585000000
otherStockholderEquity,-402000000,-594000000,-491000000,-563000000
propertyPlantEquipment,32064000000,31778000000,32153000000,31091000000
totalCurrentAssets,2167000000,2318000000,2081000000,1862000000
longTermInvestments,2822000000,2688000000,2661000000,2553000000
netTangibleAssets,13641000000,14791000000,15184000000,15362000000
netReceivables,976000000,848000000,920000000,1009000000
longTermDebt,13799000000,12611000000,12152000000,10838000000
inventory,218000000,221000000,244000000,207000000
accountsPayable,1351000000,1016000000,1428000000,1505000000
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,3878000000,2530000000,3491000000,3469000000
minorityInterest,,,,
netIncome,3005000000,2013000000,2722000000,2666000000
sellingGeneralAdministrative,,,,
grossProfit,5730000000,4632000000,5190000000,5122000000
ebit,4549000000,3478000000,4052000000,4020000000
operatingIncome,4549000000,3478000000,4052000000,4020000000
otherOperatingExpenses,,,,
interestExpense,-646000000,-625000000,-604000000,-557000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,873000000,517000000,769000000,803000000
totalRevenue,11142000000,9789000000,11296000000,11458000000
totalOperatingExpenses,6593000000,6311000000,7244000000,7438000000
costOfRevenue,5412000000,5157000000,6106000000,6336000000
totalOtherIncomeExpenseNet,-671000000,-948000000,-561000000,-551000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,3005000000,2013000000,2722000000,2666000000
netIncomeApplicableToCommonShares,3003000000,2010000000,2717000000,2660000000
investments,89000000.0,-14000000.0,-122000000.0,89000000.0
changeToLiabilities,0.0,0.0,0.0,0.0
totalCashflowsFromInvestingActivities,-1222000000.0,-1175000000.0,-1764000000.0,-1658000000.0
netBorrowings,1092000000.0,403000000.0,1004000000.0,1273000000.0
totalCashFromFinancingActivities,-3309000000.0,-1927000000.0,-1994000000.0,-2312000000.0
changeToOperatingActivities,277000000.0,37000000.0,-189000000.0,177000000.0
issuanceOfStock,17000000.0,69000000.0,27000000.0,40000000.0
changeInCash,-276000000.0,535000000.0,134000000.0,-244000000.0
repurchaseOfStock,-3390000000.0,-1439000000.0,-2099000000.0,-2781000000.0
totalCashFromOperatingActivities,4255000000.0,3637000000.0,3892000000.0,3726000000.0
depreciation,1181000000.0,1154000000.0,1139000000.0,1104000000.0
dividendsPaid,-1028000000.0,-960000000.0,-949000000.0,-844000000.0
changeToInventory,3000000.0,23000000.0,-37000000.0,15000000.0
changeToAccountReceivables,-133000000.0,71000000.0,87000000.0,-70000000.0
changeToNetincome,-78000000.0,339000000.0,170000000.0,-166000000.0
capitalExpenditures,-1470000000.0,-1494000000.0,-2019000000.0,-1951000000.0
otherCashflowsFromFinancingActivities,,,23000000.0,23000000.0
