,2022,2021,2020,2019
intangibleAssets,142000000.0,101000000.0,44000000.0,47000000.0
totalLiab,9188000000.0,8675000000.0,7280000000.0,7651000000.0
totalStockholderEquity,838000000.0,685000000.0,242000000.0,1090000000.0
deferredLongTermLiab,117000000.0,111000000.0,89000000.0,97000000.0
otherCurrentLiab,2217000000.0,2084000000.0,1922000000.0,1850000000.0
totalAssets,10026000000.0,9360000000.0,7522000000.0,8741000000.0
commonStock,760000000.0,504000000.0,284000000.0,1133000000.0
otherCurrentAssets,371000000.0,338000000.0,268000000.0,358000000.0
retainedEarnings,122000000.0,211000000.0,,
otherLiab,2592000000.0,2520000000.0,2425000000.0,2640000000.0
goodWill,2346000000.0,2039000000.0,1778000000.0,1735000000.0
treasuryStock,-44000000.0,-30000000.0,-42000000.0,-43000000.0
otherAssets,594000000.0,477000000.0,468000000.0,561000000.0
cash,4112000000.0,4529000000.0,2658000000.0,2325000000.0
totalCurrentLiabilities,3953000000.0,3452000000.0,3616000000.0,3867000000.0
deferredLongTermAssetCharges,362000000.0,219000000.0,220000000.0,201000000.0
shortLongTermDebt,250000000.0,,,400000000.0
otherStockholderEquity,-44000000.0,-30000000.0,-42000000.0,-43000000.0
propertyPlantEquipment,896000000.0,639000000.0,864000000.0,759000000.0
totalCurrentAssets,5945000000.0,6001000000.0,4274000000.0,5610000000.0
longTermInvestments,103000000.0,103000000.0,94000000.0,29000000.0
netTangibleAssets,-1650000000.0,-1455000000.0,-1580000000.0,-692000000.0
shortTermInvestments,28000000.0,75000000.0,230000000.0,1580000000.0
netReceivables,1230000000.0,945000000.0,973000000.0,1216000000.0
longTermDebt,2386000000.0,2632000000.0,1146000000.0,1144000000.0
inventory,204000000.0,114000000.0,145000000.0,131000000.0
accountsPayable,607000000.0,420000000.0,426000000.0,542000000.0
researchDevelopment,881000000,881000000,847000000,827000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1095000000,962000000,944000000,1268000000
minorityInterest,,,,
netIncome,937000000,730000000,819000000,1169000000
sellingGeneralAdministrative,2136000000,1996000000,1848000000,1935000000
grossProfit,4220000000,3815000000,3623000000,3945000000
ebit,1203000000,938000000,928000000,1183000000
operatingIncome,1203000000,938000000,928000000,1183000000
otherOperatingExpenses,,,,
interestExpense,-73000000,-74000000,-55000000,-58000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,158000000,232000000,125000000,99000000
totalRevenue,6318000000,5744000000,5412000000,6146000000
totalOperatingExpenses,5115000000,4806000000,4484000000,4963000000
costOfRevenue,2098000000,1929000000,1789000000,2201000000
totalOtherIncomeExpenseNet,-108000000,24000000,16000000,85000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,937000000,730000000,819000000,1169000000
netIncomeApplicableToCommonShares,937000000,730000000,819000000,1169000000
investments,45000000.0,160000000.0,1370000000.0,876000000.0
changeToLiabilities,565000000.0,182000000.0,-63000000.0,286000000.0
totalCashflowsFromInvestingActivities,-561000000.0,21000000.0,1269000000.0,704000000.0
totalCashFromFinancingActivities,-1017000000.0,444000000.0,-1960000000.0,-2631000000.0
changeToOperatingActivities,-139000000.0,67000000.0,-100000000.0,-37000000.0
issuanceOfStock,105000000.0,98000000.0,102000000.0,121000000.0
changeInCash,-416000000.0,1869000000.0,335000000.0,-616000000.0
repurchaseOfStock,-674000000.0,-167000000.0,-1490000000.0,-2207000000.0
effectOfExchangeRate,-49000000.0,71000000.0,-34000000.0,-30000000.0
totalCashFromOperatingActivities,1211000000.0,1333000000.0,1060000000.0,1341000000.0
depreciation,161000000.0,166000000.0,154000000.0,161000000.0
dividendsPaid,-446000000.0,-427000000.0,-439000000.0,-403000000.0
changeToInventory,-90000000.0,31000000.0,-14000000.0,-9000000.0
changeToAccountReceivables,-313000000.0,62000000.0,238000000.0,-185000000.0
otherCashflowsFromFinancingActivities,-2000000.0,-8000000.0,-6000000.0,-6000000.0
changeToNetincome,102000000.0,111000000.0,150000000.0,84000000.0
capitalExpenditures,-226000000.0,-162000000.0,-124000000.0,-173000000.0
netBorrowings,,948000000.0,-127000000.0,-136000000.0
otherCashflowsFromInvestingActivities,,2000000.0,2000000.0,4000000.0
