,2021,2020,2019,2018
intangibleAssets,1103759000.0,668021000.0,742186000.0,828504000.0
capitalSurplus,2140608000.0,2121288000.0,2107646000.0,2073715000.0
totalLiab,11219278000.0,8893533000.0,7553490000.0,7718620000.0
totalStockholderEquity,14016389000.0,10788665000.0,10357866000.0,9792078000.0
minorityInterest,587405000.0,443196000.0,433310000.0,409890000.0
otherCurrentLiab,394328000.0,260261000.0,243999000.0,221600000.0
totalAssets,25823072000.0,20125394000.0,18344666000.0,17920588000.0
commonStock,152061000.0,152061000.0,152061000.0,152061000.0
otherCurrentAssets,201340000.0,116948000.0,148728000.0,152111000.0
retainedEarnings,17674100000.0,11343852000.0,11115056000.0,10337445000.0
otherLiab,1026294000.0,918148000.0,723538000.0,679044000.0
goodWill,2827344000.0,2229672000.0,2201063000.0,2184336000.0
treasuryStock,-5950380000.0,-2828536000.0,-3016897000.0,-2771143000.0
otherAssets,260676000.0,226041000.0,112169000.0,66835000.0
cash,2364858000.0,2639671000.0,1534605000.0,1398886000.0
totalCurrentLiabilities,5157413000.0,2627860000.0,2463774000.0,2806300000.0
shortLongTermDebt,601000000.0,,20000000.0,
otherStockholderEquity,-115282000.0,-118861000.0,-302966000.0,-304133000.0
propertyPlantEquipment,8207136000.0,6992998000.0,6269678000.0,5334748000.0
totalCurrentAssets,12799557000.0,9488662000.0,8226370000.0,8636265000.0
longTermInvestments,624600000.0,520000000.0,793200000.0,869900000.0
netTangibleAssets,10085286000.0,7890972000.0,7414617000.0,6779238000.0
shortTermInvestments,253005000.0,408004000.0,300040000.0,
netReceivables,3969172000.0,2754950000.0,2400902000.0,2531768000.0
longTermDebt,4797035000.0,5192336000.0,4215341000.0,4233276000.0
inventory,6011182000.0,3569089000.0,3842095000.0,4553500000.0
accountsPayable,1830241000.0,1221659000.0,1085298000.0,1338391000.0
deferredLongTermAssetCharges,,,,700000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,9200858000.0,835538000.0,1782807000.0,3229391000.0
netIncome,6827461000.0,721470000.0,1271143000.0,2360767000.0
sellingGeneralAdministrative,1728112000.0,617800000.0,732523000.0,860722000.0
grossProfit,11046917000.0,2248909000.0,2700360000.0,4295408000.0
ebit,9276805000.0,1604109000.0,1932837000.0,3324686000.0
operatingIncome,9276805000.0,1604109000.0,1932837000.0,3324686000.0
otherOperatingExpenses,,,,
interestExpense,-163121000.0,-166613000.0,-157358000.0,-161256000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,2078488000.0,-490000.0,411897000.0,748307000.0
totalRevenue,36483939000.0,20139658000.0,22588858000.0,25067279000.0
totalOperatingExpenses,27207134000.0,18535549000.0,20656021000.0,21742593000.0
costOfRevenue,25437022000.0,17890749000.0,19888498000.0,20771871000.0
totalOtherIncomeExpenseNet,-75947000.0,-768571000.0,-150030000.0,-95295000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,7122370000.0,836028000.0,1370910000.0,2481084000.0
netIncomeApplicableToCommonShares,6795150000.0,717114000.0,1264108000.0,2351423000.0
investments,154761000.0,-140766000.0,-278283000.0,-71412000.0
changeToLiabilities,383428000.0,250561000.0,-253457000.0,235572000.0
totalCashflowsFromInvestingActivities,-2873852000.0,-1764294000.0,-1794191000.0,-1030069000.0
netBorrowings,246807000.0,1135947000.0,4574000.0,500747000.0
totalCashFromFinancingActivities,-3602879000.0,285854000.0,-880410000.0,-908177000.0
changeToOperatingActivities,1139423000.0,-4077000.0,-226933000.0,195055000.0
issuanceOfStock,145255000.0,11846000.0,16145000.0,24101000.0
changeInCash,-246271000.0,1220324000.0,135719000.0,449782000.0
repurchaseOfStock,-3349348000.0,-58601000.0,-323588000.0,-876120000.0
effectOfExchangeRate,-316000.0,1887000.0,907000.0,-5924000.0
totalCashFromOperatingActivities,6230776000.0,2696877000.0,2809413000.0,2393952000.0
depreciation,906563000.0,812466000.0,769653000.0,829637000.0
otherCashflowsFromInvestingActivities,399000.0,-33171000.0,2873000.0,25348000.0
dividendsPaid,-483469000.0,-491655000.0,-492062000.0,-485376000.0
changeToInventory,-2307336000.0,284081000.0,712645000.0,-1092101000.0
changeToAccountReceivables,-1392084000.0,-129290000.0,361340000.0,-485433000.0
otherCashflowsFromFinancingActivities,-162124000.0,-311683000.0,-85479000.0,-71529000.0
changeToNetincome,359642000.0,958941000.0,355347000.0,186712000.0
capitalExpenditures,-1621989000.0,-1543219000.0,-1477293000.0,-982531000.0
annualDilutedAverageShares,293390000.0,303271000.0,305503000.0,316733000.0
