,2021,2020,2019,2018
intangibleAssets,3370000000.0,3564000000.0,4916000000.0,6150600000.0
capitalSurplus,7734000000.0,8078000000.0,8430000000.0,8781100000.0
totalLiab,10088000000.0,10800000000.0,10646000000.0,12469200000.0
totalStockholderEquity,4091000000.0,3874000000.0,4963000000.0,5218400000.0
otherCurrentLiab,59000000.0,102000000.0,131000000.0,458300000.0
totalAssets,14179000000.0,14700000000.0,15642000000.0,17722400000.0
commonStock,450000000.0,448000000.0,447000000.0,446100000.0
otherCurrentAssets,74000000.0,61000000.0,33000000.0,1243800000.0
retainedEarnings,-2602000000.0,-3174000000.0,-2404000000.0,-2511300000.0
otherLiab,1347000000.0,1464000000.0,1736000000.0,2469400000.0
goodWill,3504000000.0,3553000000.0,3709000000.0,3873900000.0
treasuryStock,-1491000000.0,-1478000000.0,-1510000000.0,-1497500000.0
otherAssets,1278000000.0,1242000000.0,1135000000.0,513300000.0
cash,440000000.0,981000000.0,349000000.0,495700000.0
totalCurrentLiabilities,3317000000.0,3621000000.0,2978000000.0,3303500000.0
deferredLongTermAssetCharges,814000000.0,838000000.0,776000000.0,183300000.0
otherStockholderEquity,-882000000.0,-880000000.0,-920000000.0,-912800000.0
propertyPlantEquipment,1762000000.0,1706000000.0,1770000000.0,1226100000.0
totalCurrentAssets,4262000000.0,4628000000.0,4110000000.0,5958500000.0
longTermInvestments,3000000.0,7000000.0,2000000.0,
netTangibleAssets,-2783000000.0,-3243000000.0,-3662000000.0,-4806100000.0
netReceivables,1500000000.0,1678000000.0,1842000000.0,2163500000.0
longTermDebt,4922000000.0,5238000000.0,5381000000.0,6696300000.0
inventory,1997000000.0,1638000000.0,1606000000.0,1760700000.0
accountsPayable,1680000000.0,1526000000.0,1102000000.0,1191600000.0
minorityInterest,,26000000.0,33000000.0,34800000.0
shortLongTermDebt,,463000000.0,305000000.0,
researchDevelopment,153000000,144000000,149000000,151000000
effectOfAccountingCharges,,,,
incomeBeforeTax,693000000,-1006000000,-852000000,-7992000000
netIncome,572000000,-770000000,107000000,-6942000000
sellingGeneralAdministrative,2113000000,2079000000,2264000000,2480000000
grossProfit,3318000000,3083000000,3235000000,3518000000
ebit,1052000000,860000000,822000000,887000000
operatingIncome,1052000000,860000000,822000000,887000000
otherOperatingExpenses,,,,
interestExpense,-256000000,-274000000,-303000000,-446000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,121000000,-236000000,-1038000000,-1359000000
totalRevenue,10589000000,9385000000,9715000000,10154000000
totalOperatingExpenses,9537000000,8525000000,8893000000,9267000000
costOfRevenue,7271000000,6302000000,6480000000,6636000000
totalOtherIncomeExpenseNet,-359000000,-1866000000,-1674000000,-8879000000
discontinuedOperations,,,-79000000.0,-309000000.0
netIncomeFromContinuingOps,572000000,-770000000,186000000,-6633000000
netIncomeApplicableToCommonShares,572000000,-770000000,107000000,-6942000000
changeToLiabilities,177000000.0,415000000.0,-109000000.0,-309000000.0
totalCashflowsFromInvestingActivities,-268000000.0,-228000000.0,736000000.0,4807000000.0
netBorrowings,-704000000.0,-160000000.0,-1298000000.0,-3484000000.0
totalCashFromFinancingActivities,-1143000000.0,-559000000.0,-1904000000.0,-5454000000.0
changeToOperatingActivities,6000000.0,-75000000.0,-198000000.0,-259000000.0
changeInCash,-544000000.0,650000000.0,-125000000.0,10000000.0
repurchaseOfStock,-12000000.0,-12000000.0,-5000000.0,-1525000000.0
effectOfExchangeRate,-17000000.0,5000000.0,-1000000.0,-23000000.0
totalCashFromOperatingActivities,884000000.0,1432000000.0,1044000000.0,680000000.0
depreciation,325000000.0,357000000.0,446000000.0,372000000.0
otherCashflowsFromInvestingActivities,21000000.0,15000000.0,5000000.0,58000000.0
dividendsPaid,-394000000.0,-392000000.0,-391000000.0,-435000000.0
changeToInventory,-396000000.0,-29000000.0,131000000.0,126000000.0
changeToAccountReceivables,130000000.0,168000000.0,311000000.0,162000000.0
otherCashflowsFromFinancingActivities,-33000000.0,-18000000.0,-210000000.0,-10000000.0
changeToNetincome,70000000.0,1366000000.0,356000000.0,7530000000.0
capitalExpenditures,-289000000.0,-259000000.0,-265000000.0,-384000000.0
issuanceOfStock,,11000000.0,11000000.0,11000000.0
