,2022,2021,2020,2019
intangibleAssets,3243000000.0,2711000000.0,2345000000.0,2939000000.0
capitalSurplus,11779000000.0,12057000000.0,12148000000.0,12243000000.0
totalLiab,8078000000.0,7625000000.0,5872000000.0,5400000000.0
totalStockholderEquity,8222000000.0,8211000000.0,7582000000.0,9144000000.0
minorityInterest,921000000.0,935000000.0,807000000.0,1167000000.0
otherCurrentLiab,1225000000.0,1191000000.0,936000000.0,941000000.0
totalAssets,17221000000.0,16771000000.0,14261000000.0,15711000000.0
commonStock,6000000.0,6000000.0,6000000.0,6000000.0
otherCurrentAssets,334000000.0,469000000.0,393000000.0,462000000.0
retainedEarnings,-2293000000.0,-2911000000.0,-3241000000.0,-1979000000.0
otherLiab,836000000.0,974000000.0,827000000.0,1020000000.0
goodWill,5169000000.0,4653000000.0,3951000000.0,5147000000.0
treasuryStock,-1270000000.0,-941000000.0,-1331000000.0,-1126000000.0
otherAssets,1745000000.0,1734000000.0,1249000000.0,1095000000.0
cash,1822000000.0,2236000000.0,1517000000.0,1643000000.0
totalCurrentLiabilities,3519000000.0,3234000000.0,2682000000.0,3340000000.0
deferredLongTermAssetCharges,422000000.0,378000000.0,332000000.0,269000000.0
shortLongTermDebt,266000000.0,6000000.0,48000000.0,449000000.0
otherStockholderEquity,-1270000000.0,-941000000.0,-1331000000.0,-1126000000.0
propertyPlantEquipment,2422000000.0,2775000000.0,2836000000.0,2041000000.0
totalCurrentAssets,4093000000.0,4456000000.0,3461000000.0,4050000000.0
longTermInvestments,549000000.0,442000000.0,419000000.0,439000000.0
netTangibleAssets,-190000000.0,847000000.0,1286000000.0,1058000000.0
netReceivables,1565000000.0,1498000000.0,1203000000.0,1544000000.0
longTermDebt,2736000000.0,2229000000.0,1127000000.0,1040000000.0
inventory,311000000.0,253000000.0,348000000.0,348000000.0
accountsPayable,411000000.0,321000000.0,351000000.0,411000000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,812000000.0,450000000.0,-1524000000.0,354000000.0
netIncome,623000000.0,330000000.0,-1269000000.0,155000000.0
sellingGeneralAdministrative,3628000000.0,3293000000.0,3065000000.0,3177000000.0
grossProfit,5309000000.0,4579000000.0,4081000000.0,4435000000.0
ebit,993000000.0,606000000.0,372000000.0,599000000.0
operatingIncome,993000000.0,606000000.0,372000000.0,599000000.0
otherOperatingExpenses,,,,
interestExpense,-99000000.0,-53000000.0,-25000000.0,-59000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,52000000.0,61000000.0,21000000.0,126000000.0
totalRevenue,10385000000.0,9358000000.0,9008000000.0,10074000000.0
totalOperatingExpenses,9392000000.0,8752000000.0,8636000000.0,9475000000.0
costOfRevenue,5076000000.0,4779000000.0,4927000000.0,5639000000.0
totalOtherIncomeExpenseNet,-181000000.0,-156000000.0,-1896000000.0,-245000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,760000000.0,389000000.0,-1545000000.0,228000000.0
netIncomeApplicableToCommonShares,623000000.0,330000000.0,-1269000000.0,155000000.0
investments,-112000000.0,-39000000.0,3000000.0,-38000000.0
changeToLiabilities,45000000.0,363000000.0,1298000000.0,-147000000.0
totalCashflowsFromInvestingActivities,-2076000000.0,-1292000000.0,-427000000.0,-677000000.0
netBorrowings,852000000.0,958000000.0,-300000000.0,-435000000.0
totalCashFromFinancingActivities,404000000.0,699000000.0,-472000000.0,-610000000.0
changeInCash,-414000000.0,719000000.0,-126000000.0,-391000000.0
repurchaseOfStock,-179000000.0,-179000000.0,-179000000.0,-179000000.0
effectOfExchangeRate,-96000000.0,75000000.0,-7000000.0,-32000000.0
totalCashFromOperatingActivities,1354000000.0,1237000000.0,780000000.0,928000000.0
depreciation,425000000.0,430000000.0,413000000.0,441000000.0
otherCashflowsFromInvestingActivities,33000000.0,-1000000.0,4000000.0,18000000.0
dividendsPaid,-118000000.0,-118000000.0,-117000000.0,-117000000.0
changeToInventory,-87000000.0,6000000.0,9000000.0,-58000000.0
changeToAccountReceivables,-51000000.0,-166000000.0,-1470000000.0,134000000.0
otherCashflowsFromFinancingActivities,-151000000.0,-141000000.0,-55000000.0,-58000000.0
changeToNetincome,136000000.0,24000000.0,1568000000.0,185000000.0
capitalExpenditures,-499000000.0,-390000000.0,-438000000.0,-572000000.0
annualDilutedAverageShares,593000000.0,593000000.0,588000000.0,588000000.0
