,2021,2020,2019,2018
intangibleAssets,1694000000.0,2242000000.0,3620000000.0,4467000000.0
capitalSurplus,13727000000.0,14133000000.0,15184000000.0,15460000000.0
totalLiab,14094000000.0,10696000000.0,10361000000.0,10840000000.0
totalStockholderEquity,6528000000.0,8944000000.0,9441000000.0,10505000000.0
minorityInterest,242000000.0,207000000.0,214000000.0,185000000.0
otherCurrentLiab,668000000.0,680000000.0,32000000.0,60000000.0
totalAssets,20864000000.0,19847000000.0,20016000000.0,21530000000.0
commonStock,56000000.0,59000000.0,64000000.0,67000000.0
otherCurrentAssets,286000000.0,254000000.0,363000000.0,365000000.0
retainedEarnings,-5371000000.0,-4328000000.0,-2845000000.0,-1907000000.0
otherLiab,866000000.0,869000000.0,1004000000.0,1208000000.0
goodWill,9961000000.0,9984000000.0,9949000000.0,8857000000.0
treasuryStock,-1884000000.0,-920000000.0,-2962000000.0,-3115000000.0
otherAssets,1525000000.0,981000000.0,758000000.0,823000000.0
cash,2830000000.0,2275000000.0,1045000000.0,2789000000.0
totalCurrentLiabilities,2452000000.0,2017000000.0,1791000000.0,3385000000.0
deferredLongTermAssetCharges,441000000.0,477000000.0,293000000.0,293000000.0
otherStockholderEquity,48000000.0,117000000.0,75000000.0,123000000.0
propertyPlantEquipment,2438000000.0,2297000000.0,2421000000.0,2158000000.0
totalCurrentAssets,5228000000.0,4324000000.0,3267000000.0,5225000000.0
longTermInvestments,18000000.0,19000000.0,1000000.0,
netTangibleAssets,-5127000000.0,-3282000000.0,-4128000000.0,-2819000000.0
netReceivables,923000000.0,765000000.0,667000000.0,792000000.0
longTermDebt,10572000000.0,7609000000.0,7365000000.0,6220000000.0
inventory,1189000000.0,1030000000.0,1192000000.0,1279000000.0
accountsPayable,1252000000.0,991000000.0,944000000.0,999000000.0
shortLongTermDebt,,,,1107000000.0
researchDevelopment,1935000000,1686000000,1627000000,1700000000
effectOfAccountingCharges,,,,
incomeBeforeTax,2178000000,-3000000,292000000,2434000000
netIncome,1871000000,52000000,243000000,2208000000
sellingGeneralAdministrative,966000000,865000000,920000000,996000000
grossProfit,6067000000,4250000000,4621000000,4851000000
ebit,2609000000,412000000,644000000,706000000
operatingIncome,2609000000,412000000,644000000,706000000
otherOperatingExpenses,1000000,-4000000,-5000000,40000000
interestExpense,-369000000,-362000000,-370000000,-273000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,272000000,-83000000,20000000,176000000
totalRevenue,11063000000,8612000000,8877000000,9407000000
totalOperatingExpenses,8454000000,8200000000,8233000000,8701000000
costOfRevenue,4996000000,4362000000,4256000000,4556000000
totalOtherIncomeExpenseNet,-431000000,-415000000,-352000000,1728000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1906000000,80000000,272000000,2258000000
netIncomeApplicableToCommonShares,1871000000,52000000,243000000,2208000000
investments,10000000,-27000000,-18000000,-3000000
changeToLiabilities,248000000,319000000,-460000000,-129000000
totalCashflowsFromInvestingActivities,-934000000,-418000000,-2284000000,-522000000
netBorrowings,2979000000,191000000,191000000,723000000
totalCashFromFinancingActivities,-1585000000,-835000000,-1831000000,-4597000000
changeToOperatingActivities,-350000000,7000000,43000000,-22000000
issuanceOfStock,62000000,72000000,84000000,39000000
changeInCash,555000000,1230000000,-1744000000,-758000000
repurchaseOfStock,-4015000000,-627000000,-1571000000,-5148000000
effectOfExchangeRate,-3000000,1000000,-2000000,-8000000
totalCashFromOperatingActivities,3077000000,2482000000,2373000000,4369000000
depreciation,1219000000,1946000000,2039000000,1979000000
otherCashflowsFromInvestingActivities,10000000,10000000,10000000,10000000
dividendsPaid,-562000000,-420000000,-319000000,-74000000
changeToInventory,-159000000,163000000,128000000,-65000000
changeToAccountReceivables,-176000000,-51000000,116000000,187000000
otherCashflowsFromFinancingActivities,-49000000,-51000000,-25000000,-137000000
changeToNetincome,410000000,31000000,245000000,193000000
capitalExpenditures,-800000000,-392000000,-526000000,-611000000
