,2021,2020,2019,2018
intangibleAssets,651000000.0,503000000.0,569000000.0,812000000.0
totalLiab,12189000000.0,4623000000.0,3513000000.0,4146000000.0
totalStockholderEquity,-1508000000.0,5486000000.0,7035000000.0,6348000000.0
otherCurrentLiab,185000000.0,265000000.0,252000000.0,328000000.0
totalAssets,10681000000.0,10109000000.0,10548000000.0,10494000000.0
commonStock,3000000.0,6108000000.0,7949000000.0,7256000000.0
otherCurrentAssets,596000000.0,1237000000.0,805000000.0,871000000.0
retainedEarnings,-998000000.0,,,
otherLiab,283000000.0,1927000000.0,2034000000.0,2567000000.0
goodWill,4603000000.0,4603000000.0,4603000000.0,4603000000.0
treasuryStock,-513000000.0,-622000000.0,-914000000.0,-908000000.0
otherAssets,464000000.0,421000000.0,659000000.0,714000000.0
cash,737000000.0,12000000.0,319000000.0,244000000.0
totalCurrentLiabilities,2597000000.0,2673000000.0,1341000000.0,1545000000.0
deferredLongTermAssetCharges,272000000.0,150000000.0,197000000.0,271000000.0
shortLongTermDebt,9000000.0,,,
otherStockholderEquity,-513000000.0,-622000000.0,-914000000.0,-908000000.0
propertyPlantEquipment,1203000000.0,1015000000.0,762000000.0,651000000.0
totalCurrentAssets,3760000000.0,3567000000.0,3955000000.0,3714000000.0
netTangibleAssets,-6762000000.0,380000000.0,1863000000.0,933000000.0
netReceivables,1512000000.0,1405000000.0,1760000000.0,1605000000.0
longTermDebt,9125000000.0,,70000000.0,34000000.0
inventory,915000000.0,913000000.0,1071000000.0,994000000.0
accountsPayable,1382000000.0,259000000.0,258000000.0,289000000.0
researchDevelopment,443000000,210000000,220000000,365000000
effectOfAccountingCharges,,,,
incomeBeforeTax,1529000000,2752000000,3696000000,2729000000
minorityInterest,,,,
netIncome,1351000000,2160000000,3218000000,2153000000
sellingGeneralAdministrative,1669000000,1356000000,1443000000,1956000000
grossProfit,3929000000,4413000000,5503000000,5091000000
ebit,1817000000,2847000000,3840000000,2770000000
operatingIncome,1817000000,2847000000,3840000000,2770000000
otherOperatingExpenses,,,,
interestExpense,-258000000,-258000000,-258000000,-6000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,178000000,496000000,390000000,576000000
totalRevenue,6304000000,6532000000,7777000000,9777000000
totalOperatingExpenses,4487000000,3685000000,3937000000,7007000000
costOfRevenue,2375000000,2119000000,2274000000,4686000000
totalOtherIncomeExpenseNet,-288000000,-95000000,-144000000,-41000000
discontinuedOperations,,-96000000.0,-88000000.0,-88000000.0
netIncomeFromContinuingOps,1351000000,2256000000,3306000000,2153000000
netIncomeApplicableToCommonShares,1351000000,2160000000,3218000000,2153000000
changeToLiabilities,663000000.0,37000000.0,-35000000.0,20000000.0
totalCashflowsFromInvestingActivities,-481000000.0,-258000000.0,-102000000.0,-69000000.0
netBorrowings,7846000000.0,1512000000.0,1512000000.0,59000000.0
totalCashFromFinancingActivities,-1333000000.0,-2175000000.0,-2621000000.0,-4164000000.0
changeToOperatingActivities,573000000.0,-83000000.0,-156000000.0,-322000000.0
changeInCash,667000000.0,-249000000.0,75000000.0,-527000000.0
effectOfExchangeRate,23000000.0,-3000000.0,31000000.0,19000000.0
totalCashFromOperatingActivities,2458000000.0,2187000000.0,2767000000.0,3687000000.0
depreciation,195000000.0,142000000.0,333000000.0,1673000000.0
dividendsPaid,-145000000.0,-145000000.0,-145000000.0,-145000000.0
changeToInventory,-138000000.0,34000000.0,-91000000.0,44000000.0
changeToAccountReceivables,-277000000.0,13000000.0,200000000.0,250000000.0
otherCashflowsFromFinancingActivities,-9034000000.0,-3687000000.0,-2621000000.0,-4223000000.0
changeToNetincome,210000000.0,2000000.0,-112000000.0,35000000.0
capitalExpenditures,-192000000.0,-255000000.0,-92000000.0,-101000000.0
otherCashflowsFromInvestingActivities,,-8000000.0,-14000000.0,-14000000.0
