,2021,2020,2019,2018
intangibleAssets,235703000.0,246131000.0,276837000.0,286042000.0
capitalSurplus,7213861000.0,7353396000.0,7403895000.0,7615138000.0
totalLiab,17606450000.0,17036356000.0,15586170000.0,11652128000.0
totalStockholderEquity,6015163000.0,6042398000.0,6225951000.0,6579543000.0
otherCurrentLiab,553702000.0,352000000.0,298005000.0,306295000.0
totalAssets,23621613000.0,23078754000.0,21812121000.0,18231671000.0
commonStock,4749000.0,4749000.0,4450000.0,4450000.0
otherCurrentAssets,205298000.0,144495000.0,107580000.0,109153000.0
otherLiab,1577477000.0,1150228000.0,936530000.0,559866000.0
goodWill,527592000.0,527592000.0,680996000.0,681100000.0
treasuryStock,-1203447000.0,-1315747000.0,-1182394000.0,-1040045000.0
otherAssets,276899000.0,375142000.0,157697000.0,130096000.0
cash,146391000.0,524496000.0,20958000.0,11975000.0
totalCurrentLiabilities,3184619000.0,1344547000.0,2020298000.0,2108436000.0
shortLongTermDebt,1041338000.0,7650000.0,97811000.0,522662000.0
otherStockholderEquity,-471351000.0,-551449000.0,-374000000.0,-188239000.0
propertyPlantEquipment,19409432000.0,19255082000.0,18363832000.0,14766651000.0
totalCurrentAssets,2374374000.0,1869775000.0,1470334000.0,1398632000.0
longTermInvestments,797613000.0,805032000.0,862425000.0,969150000.0
netTangibleAssets,5251868000.0,5268675000.0,5268118000.0,5612401000.0
netReceivables,1441786000.0,829796000.0,835121000.0,820658000.0
longTermDebt,12747636000.0,14431828000.0,12591537000.0,8957582000.0
inventory,580899000.0,370988000.0,506675000.0,437841000.0
accountsPayable,1332391000.0,719302000.0,1209900000.0,1116337000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1984204000.0,802316000.0,1650991000.0,1517935000.0
minorityInterest,,,,
netIncome,1499706000.0,612809000.0,1278577000.0,1151703000.0
sellingGeneralAdministrative,923899000.0,779601000.0,876427000.0,819882000.0
grossProfit,4283654000.0,3432096000.0,3376327000.0,3170488000.0
ebit,2571386000.0,1948805000.0,1904209000.0,1818127000.0
operatingIncome,2571386000.0,1948805000.0,1904209000.0,1818127000.0
otherOperatingExpenses,166668000.0,125028000.0,119156000.0,103922000.0
interestExpense,-732924000.0,-712886000.0,-491773000.0,-469620000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,484498000.0,189507000.0,372414000.0,362903000.0
totalRevenue,16540309000.0,8542242000.0,10164367000.0,12593196000.0
totalOperatingExpenses,13968923000.0,6593437000.0,8260158000.0,10775069000.0
costOfRevenue,12256655000.0,5110146000.0,6788040000.0,9422708000.0
totalOtherIncomeExpenseNet,-587182000.0,-1146489000.0,-253218000.0,-300192000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1499706000.0,612809000.0,1278577000.0,1155032000.0
netIncomeApplicableToCommonShares,1498606000.0,611709000.0,1277477000.0,1150603000.0
investments,19363000.0,31808000.0,94168000.0,26757000.0
changeToLiabilities,622425000.0,-80257000.0,-62946000.0,-320132000.0
totalCashflowsFromInvestingActivities,-665292000.0,-2270529000.0,-3768758000.0,-2114888000.0
netBorrowings,-604894000.0,1567555000.0,3348087000.0,248450000.0
totalCashFromFinancingActivities,-2259085000.0,874999000.0,1830962000.0,-97049000.0
changeToOperatingActivities,-48629000.0,-251263000.0,-71069000.0,104088000.0
issuanceOfStock,32791000.0,969759000.0,29040000.0,1203981000.0
changeInCash,-378105000.0,503538000.0,8983000.0,-25218000.0
totalCashFromOperatingActivities,2546272000.0,1899068000.0,1946779000.0,2186719000.0
depreciation,621701000.0,578662000.0,476535000.0,428557000.0
otherCashflowsFromInvestingActivities,12199000.0,-106956000.0,-14577000.0,-170000.0
dividendsPaid,-1667431000.0,-1605366000.0,-1457628000.0,-1335058000.0
changeToInventory,-105038000.0,172316000.0,-10193000.0,38456000.0
changeToAccountReceivables,-610531000.0,-1297000.0,-19688000.0,383993000.0
otherCashflowsFromFinancingActivities,-19551000.0,-56949000.0,-88537000.0,-214422000.0
changeToNetincome,566638000.0,868098000.0,355563000.0,400054000.0
capitalExpenditures,-696854000.0,-2195381000.0,-3848349000.0,-2141475000.0
annualDilutedAverageShares,447403000.0,431782000.0,415444000.0,414195000.0
