,2021,2020,2019,2018
intangibleAssets,298000000.0,298500000.0,338200000.0,382800000.0
capitalSurplus,622000000.0,747800000.0,760900000.0,728800000.0
totalLiab,24302800000.0,23860600000.0,23202400000.0,21265800000.0
totalStockholderEquity,3270200000.0,3084400000.0,2853900000.0,2547100000.0
minorityInterest,848800000.0,702200000.0,727100000.0,804100000.0
otherCurrentLiab,4027100000.0,3723000000.0,3249400000.0,3246800000.0
totalAssets,28421800000.0,27647200000.0,26783400000.0,24617000000.0
commonStock,44600000.0,44600000.0,44600000.0,44600000.0
otherCurrentAssets,919200000.0,1075000000.0,1188800000.0,1241400000.0
retainedEarnings,8998800000.0,8190600000.0,7806300000.0,7016100000.0
otherLiab,1356400000.0,1414200000.0,1322800000.0,1469800000.0
goodWill,9738600000.0,9609700000.0,9440500000.0,9384300000.0
treasuryStock,-6395200000.0,-5898600000.0,-5757900000.0,-5242400000.0
otherAssets,204400000.0,255000000.0,251500000.0,307700000.0
cash,5316800000.0,5600500000.0,4305700000.0,3652400000.0
totalCurrentLiabilities,16226200000.0,15525100000.0,15980900000.0,15270200000.0
otherStockholderEquity,-1252300000.0,-1213800000.0,-1197600000.0,-1228500000.0
propertyPlantEquipment,2195000000.0,1808600000.0,2061700000.0,694400000.0
totalCurrentAssets,15909500000.0,15590100000.0,14584700000.0,13726900000.0
longTermInvestments,76300000.0,85300000.0,106800000.0,120900000.0
netTangibleAssets,-6766400000.0,-6823800000.0,-6924800000.0,-7220000000.0
netReceivables,8472500000.0,7813400000.0,7829000000.0,7666100000.0
longTermDebt,5685700000.0,5807300000.0,4531900000.0,4436900000.0
inventory,1201000000.0,1101200000.0,1257600000.0,1161500000.0
accountsPayable,11897200000.0,11513000000.0,11768400000.0,11464300000.0
shortLongTermDebt,,,602400000.0,499600000.0
shortTermInvestments,,,3600000.0,5500000.0
researchDevelopment,,,,
effectOfAccountingCharges,,,,
incomeBeforeTax,1996300000,1402500000,1940300000,1933200000
netIncome,1407800000,945400000,1339100000,1326400000
sellingGeneralAdministrative,379700000,360500000,405900000,453200000
grossProfit,2703900000,2315000000,2706500000,2764400000
ebit,2112100000,1731900000,2069100000,2047200000
operatingIncome,2112100000,1731900000,2069100000,2047200000
otherOperatingExpenses,,,,
interestExpense,-201100000,-183800000,-191100000,-209100000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,488700000,381700000,504400000,492700000
totalRevenue,14289400000,13171100000,14953700000,15290200000
totalOperatingExpenses,12177300000,11439200000,12884600000,13243000000
costOfRevenue,11585500000,10856100000,12247200000,12525800000
totalOtherIncomeExpenseNet,-115800000,-329400000,-128800000,-114000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,1507600000,1020800000,1435900000,1440500000
netIncomeApplicableToCommonShares,1407800000,945400000,1339100000,1326400000
investments,2500000,3200000,1900000,15900000
changeToLiabilities,1260100000,-362700000,363500000,297200000
totalCashflowsFromInvestingActivities,-709200000,-136100000,-30900000,-221800000
netBorrowings,-22300000,581000000,214400000,214400000
totalCashFromFinancingActivities,-1391000000,-408400000,-1222000000,-1441100000
changeToOperatingActivities,171200000,-40600000,18000000,-35700000
issuanceOfStock,9100000,4100000,6500000,13000000
changeInCash,-283700000,1294800000,653300000,-143600000
repurchaseOfStock,-527300000,-222000000,-610200000,-581300000
effectOfExchangeRate,-128900000,114700000,50200000,-203000000
totalCashFromOperatingActivities,1945400000,1724600000,1856000000,1722300000
depreciation,212100000,222600000,231500000,264000000
dividendsPaid,-592300000,-562700000,-564300000,-548500000
changeToAccountReceivables,-1270800000,434200000,-256400000,-181000000
otherCashflowsFromFinancingActivities,-258200000,-208800000,-268400000,-324300000
changeToNetincome,165000000,525700000,160300000,51400000
capitalExpenditures,-665800000,-75400000,-102200000,-195700000
