,2021,2020,2019,2018
intangibleAssets,495700000.0,469000000.0,590500000.0,566400000.0
capitalSurplus,4633300000.0,4133100000.0,3809500000.0,3702300000.0
totalLiab,5021600000.0,5109900000.0,5101400000.0,4393500000.0
totalStockholderEquity,4585400000.0,3538500000.0,3301700000.0,3171600000.0
minorityInterest,19000000.0,19600000.0,22400000.0,22500000.0
otherCurrentLiab,253500000.0,258800000.0,269800000.0,333000000.0
totalAssets,9626000000.0,8668000000.0,8425500000.0,7587600000.0
commonStock,6000000.0,5700000.0,5700000.0,5600000.0
otherCurrentAssets,240100000.0,176000000.0,188400000.0,187000000.0
retainedEarnings,2435100000.0,1425500000.0,1191300000.0,979600000.0
otherLiab,411700000.0,360000000.0,318600000.0,296600000.0
goodWill,1937500000.0,1663400000.0,1659200000.0,932500000.0
treasuryStock,-2489000000.0,-2025800000.0,-1704800000.0,-1515900000.0
otherAssets,694500000.0,702900000.0,454000000.0,371300000.0
cash,1352600000.0,1080700000.0,894200000.0,1069600000.0
totalCurrentLiabilities,1543400000.0,1674500000.0,1818400000.0,1469300000.0
deferredLongTermAssetCharges,366300000.0,429000000.0,307800000.0,266200000.0
shortLongTermDebt,160700000.0,531600000.0,736000000.0,138500000.0
otherStockholderEquity,-40600000.0,-57600000.0,-54300000.0,-37900000.0
propertyPlantEquipment,2716700000.0,2648600000.0,2701800000.0,2549600000.0
totalCurrentAssets,3781600000.0,3184100000.0,3020000000.0,3167800000.0
netTangibleAssets,2152200000.0,1406100000.0,1052000000.0,1672700000.0
netReceivables,809400000.0,676000000.0,705000000.0,686000000.0
longTermDebt,2913900000.0,2959700000.0,2876400000.0,2627600000.0
inventory,1379500000.0,1251400000.0,1232400000.0,1225200000.0
accountsPayable,635100000.0,572900000.0,543600000.0,671700000.0
researchDevelopment,655000000.0,642900000.0,640900000.0,650700000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,1157800000.0,176600000.0,276600000.0,755000000.0
netIncome,1009600000.0,234200000.0,211700000.0,627400000.0
sellingGeneralAdministrative,574600000.0,538200000.0,599600000.0,622400000.0
grossProfit,2714300000.0,1715800000.0,1973600000.0,2238700000.0
ebit,1385100000.0,418300000.0,617500000.0,858100000.0
operatingIncome,1385100000.0,418300000.0,617500000.0,858100000.0
otherOperatingExpenses,600000.0,-3900000.0,400000.0,-4200000.0
interestExpense,-130400000.0,-168400000.0,-148300000.0,-128200000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,146600000.0,-59800000.0,62700000.0,125100000.0
totalRevenue,6739800000.0,5255000000.0,5517900000.0,5878300000.0
totalOperatingExpenses,5354700000.0,4836700000.0,4900400000.0,5020200000.0
costOfRevenue,4025500000.0,3539200000.0,3544300000.0,3639600000.0
totalOtherIncomeExpenseNet,-227300000.0,-241700000.0,-340900000.0,-103100000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,1011200000.0,236400000.0,213900000.0,629900000.0
netIncomeApplicableToCommonShares,1009600000.0,234200000.0,211700000.0,627400000.0
investments,-44700000.0,-44700000.0,-44700000.0,-24600000.0
changeToLiabilities,70700000.0,34200000.0,-79900000.0,44800000.0
totalCashflowsFromInvestingActivities,-915100000.0,-453600000.0,-1510900000.0,-548900000.0
netBorrowings,-483200000.0,-165900000.0,809600000.0,-286700000.0
totalCashFromFinancingActivities,-569400000.0,-244000000.0,623100000.0,-605100000.0
changeToOperatingActivities,129500000.0,-38000000.0,-226100000.0,17700000.0
issuanceOfStock,23500000.0,23600000.0,27900000.0,30700000.0
changeInCash,296200000.0,187300000.0,-192900000.0,120500000.0
repurchaseOfStock,-38900000.0,-85400000.0,-172500000.0,-346900000.0
effectOfExchangeRate,-1300000.0,600000.0,200000.0,300000.0
totalCashFromOperatingActivities,1782000000.0,884300000.0,694700000.0,1274200000.0
depreciation,596700000.0,625100000.0,593100000.0,508700000.0
changeToInventory,-122800000.0,-26300000.0,34600000.0,-129500000.0
changeToAccountReceivables,-136300000.0,31400000.0,4700000.0,-2700000.0
otherCashflowsFromFinancingActivities,-70800000.0,-16300000.0,-41900000.0,-2200000.0
changeToNetincome,223900000.0,11600000.0,143600000.0,194600000.0
capitalExpenditures,-492000000.0,-483600000.0,-630000000.0,-514800000.0
otherCashflowsFromInvestingActivities,,28200000.0,28200000.0,16500000.0
annualDilutedAverageShares,443800000.0,418800000.0,416000000.0,435900000.0
