,2022,2021,2020,2019
intangibleAssets,1440000000.0,2430000000.0,3738000000.0,5279000000.0
totalLiab,115065000000.0,125155000000.0,102721000000.0,86346000000.0
totalStockholderEquity,-6220000000.0,5238000000.0,12074000000.0,21785000000.0
minorityInterest,452000000.0,714000000.0,643000000.0,578000000.0
otherCurrentLiab,11774000000.0,13152000000.0,12488000000.0,11923000000.0
totalAssets,109297000000.0,131107000000.0,115438000000.0,108709000000.0
commonStock,26808000000.0,26533000000.0,26486000000.0,26909000000.0
retainedEarnings,-31336000000.0,-20120000000.0,-12696000000.0,-3496000000.0
otherLiab,20544000000.0,24996000000.0,16278000000.0,15818000000.0
goodWill,43811000000.0,43935000000.0,43769000000.0,43779000000.0
treasuryStock,-1692000000.0,-1175000000.0,-1716000000.0,-1628000000.0
otherAssets,20797000000.0,22126000000.0,9518000000.0,7008000000.0
cash,21383000000.0,30098000000.0,37239000000.0,20514000000.0
totalCurrentLiabilities,19511000000.0,24164000000.0,17200000000.0,18630000000.0
deferredLongTermAssetCharges,12782000000.0,13636000000.0,3252000000.0,2696000000.0
shortLongTermDebt,3749000000.0,8250000000.0,2622000000.0,4499000000.0
otherStockholderEquity,-1692000000.0,-1175000000.0,-1716000000.0,-1628000000.0
propertyPlantEquipment,11616000000.0,7049000000.0,6244000000.0,6252000000.0
totalCurrentAssets,31633000000.0,55567000000.0,52140000000.0,46386000000.0
netTangibleAssets,-51471000000.0,-41127000000.0,-35433000000.0,-27273000000.0
shortTermInvestments,519000000.0,16456000000.0,5818000000.0,17313000000.0
netReceivables,6744000000.0,6207000000.0,6329000000.0,5910000000.0
longTermDebt,72110000000.0,75995000000.0,69243000000.0,51898000000.0
inventory,314000000.0,142000000.0,211000000.0,320000000.0
accountsPayable,1317000000.0,745000000.0,637000000.0,580000000.0
longTermInvestments,,,29000000.0,5000000.0
researchDevelopment,7219000000,6527000000,6067000000,6026000000
effectOfAccountingCharges,,,,
incomeBeforeTax,7649000000,12999000000,12063000000,12268000000
netIncome,6717000000,13746000000,10135000000,11083000000
sellingGeneralAdministrative,9364000000,8936000000,9275000000,9774000000
grossProfit,33563000000,32624000000,31130000000,31511000000
ebit,15836000000,15653000000,14151000000,14006000000
operatingIncome,15836000000,15653000000,14151000000,14006000000
otherOperatingExpenses,-6000000,129000000,51000000,16000000
interestExpense,-2755000000,-2496000000,-1995000000,-2082000000
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,932000000,-747000000,1928000000,1185000000
totalRevenue,42440000000,40479000000,39068000000,39506000000
totalOperatingExpenses,26604000000,24826000000,24917000000,25500000000
costOfRevenue,8877000000,7855000000,7938000000,7995000000
totalOtherIncomeExpenseNet,-8187000000,-2654000000,-2088000000,-1738000000
discontinuedOperations,,,,
netIncomeFromContinuingOps,6717000000,13746000000,10135000000,11083000000
netIncomeApplicableToCommonShares,6717000000,13746000000,10135000000,11083000000
investments,15879000000,-10922000000,11531000000,28580000000
changeToLiabilities,-726000000,382000000,-718000000,204000000
totalCashflowsFromInvestingActivities,11220000000,-13098000000,9843000000,26557000000
netBorrowings,-8250000000,12303000000,15388000000,-4500000000
totalCashFromFinancingActivities,-29126000000,-10378000000,-6132000000,-42056000000
changeToOperatingActivities,11000000,622000000,665000000,261000000
issuanceOfStock,482000000,1786000000,1588000000,2155000000
changeInCash,-8715000000,-7141000000,16725000000,-1106000000
repurchaseOfStock,-17341000000,-21600000000,-19905000000,-36643000000
effectOfExchangeRate,-348000000,448000000,-125000000,-158000000
totalCashFromOperatingActivities,9539000000,15887000000,13139000000,14551000000
depreciation,2647000000,2295000000,2968000000,2919000000
dividendsPaid,-3457000000,-3063000000,-3070000000,-2932000000
changeToAccountReceivables,-874000000,333000000,-445000000,-272000000
otherCashflowsFromFinancingActivities,-560000000,196000000,-133000000,-136000000
changeToNetincome,1687000000,-627000000,978000000,809000000
capitalExpenditures,-4511000000,-2135000000,-1564000000,-1660000000
